year,hhtyp,quintil_oecd_hh,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,0.99892,984,984,0.99687,1.00097
2016,Single-person household,2nd Quintile,No,0.99776,726,726,0.99433,1.00120
2016,Single-person household,3rd Quintile,No,0.99872,631,631,0.99593,1.00151
2016,Single-person household,5th Quintile,No,0.98799,476,476,0.97820,0.99779
2016,Couple without children,1st Quintile,No,0.99894,432,432,0.99586,1.00201
2016,Couple without children,2nd Quintile,No,0.99853,707,707,0.99571,1.00136
2016,Couple without children,3rd Quintile,No,0.99769,757,757,0.99427,1.00111
2016,Couple without children,4th Quintile,No,0.99825,922,922,0.99555,1.00095
2016,Couple without children,5th Quintile,No,0.99693,1259,1259,0.99387,0.99999
2016,Single parent,2nd Quintile,No,0.99323,404,404,0.98522,1.00123
2016,Single parent,3rd Quintile,No,0.99717,229,229,0.99027,1.00407
2016,Couple with children,2nd Quintile,No,0.99988,1109,1109,0.99922,1.00053
2016,Couple with children,3rd Quintile,No,0.99979,1054,1054,0.99890,1.00067
2016,Couple with children,4th Quintile,No,0.99720,987,987,0.99390,1.00050
2016,Couple with children,5th Quintile,No,0.98833,894,894,0.98128,0.99537
2017,Single-person household,1st Quintile,No,0.99862,1124,1124,0.99644,1.00079
2017,Single-person household,2nd Quintile,No,0.99774,822,822,0.99449,1.00099
2017,Single-person household,3rd Quintile,No,0.99567,705,705,0.99082,1.00052
2017,Single-person household,5th Quintile,No,0.99986,559,559,0.99889,1.00084
2017,Couple without children,2nd Quintile,No,0.99511,762,762,0.99016,1.00007
2017,Couple without children,5th Quintile,No,0.99777,1423,1423,0.99531,1.00022
2017,Single parent,1st Quintile,No,0.99686,644,644,0.99254,1.00118
2017,Single parent,3rd Quintile,No,0.98789,231,231,0.97376,1.00203
2017,Single parent,4th Quintile,No,0.99765,166,166,0.99025,1.00504
2017,Couple with children,1st Quintile,No,0.99921,865,865,0.99733,1.00108
2017,Couple with children,2nd Quintile,No,0.99992,1170,1170,0.99940,1.00044
2017,Couple with children,3rd Quintile,No,0.99941,1185,1185,0.99803,1.00079
2017,Couple with children,4th Quintile,No,0.99759,1118,1118,0.99472,1.00047
2018,Single-person household,1st Quintile,No,0.99922,1238,1238,0.99765,1.00078
2018,Single-person household,2nd Quintile,No,0.99857,880,880,0.99607,1.00107
2018,Single-person household,3rd Quintile,No,0.99338,690,690,0.98732,0.99943
2018,Single-person household,4th Quintile,No,0.99911,638,638,0.99678,1.00143
2018,Single-person household,5th Quintile,No,0.99266,563,563,0.98560,0.99972
2018,Couple without children,3rd Quintile,No,0.99807,861,861,0.99514,1.00100
2018,Couple without children,4th Quintile,No,0.99513,974,974,0.99076,0.99951
2018,Couple without children,5th Quintile,No,0.99853,1399,1399,0.99652,1.00054
2018,Single parent,1st Quintile,No,0.99685,630,630,0.99248,1.00123
2018,Single parent,2nd Quintile,No,0.99308,396,396,0.98490,1.00125
2018,Single parent,3rd Quintile,No,0.98546,232,232,0.97002,1.00089
2018,Couple with children,2nd Quintile,No,0.99918,1141,1141,0.99751,1.00084
2018,Couple with children,3rd Quintile,No,0.99810,1089,1089,0.99550,1.00069
2018,Couple with children,4th Quintile,No,0.99806,1040,1040,0.99538,1.00073
2018,Couple with children,5th Quintile,No,0.99828,907,907,0.99557,1.00098
2019,Single-person household,1st Quintile,No,0.99782,1208,1208,0.99518,1.00045
2019,Single-person household,2nd Quintile,No,0.99770,811,811,0.99439,1.00100
2019,Single-person household,3rd Quintile,No,0.99541,703,703,0.99041,1.00041
2019,Single-person household,4th Quintile,No,0.99804,658,658,0.99465,1.00142
2019,Single-person household,5th Quintile,No,0.99985,741,741,0.99898,1.00073
2019,Couple without children,1st Quintile,No,0.99516,459,459,0.98880,1.00152
2019,Couple without children,2nd Quintile,No,0.99848,796,796,0.99578,1.00119
2019,Couple without children,3rd Quintile,No,0.99997,828,828,0.99962,1.00033
2019,Couple without children,4th Quintile,No,0.99841,996,996,0.99593,1.00089
2019,Couple without children,5th Quintile,No,0.99474,1992,1992,0.99156,0.99791
2019,Single parent,5th Quintile,No,0.99795,123,123,0.98994,1.00597
2019,Couple with children,1st Quintile,No,0.99874,663,663,0.99604,1.00144
2019,Couple with children,2nd Quintile,No,0.99838,982,982,0.99586,1.00090
2019,Couple with children,3rd Quintile,No,0.99974,1034,1034,0.99876,1.00072
2019,Couple with children,4th Quintile,No,0.99748,1035,1035,0.99442,1.00053
2019,Couple with children,5th Quintile,No,0.99864,1424,1424,0.99673,1.00056
2020,Single-person household,1st Quintile,No,0.99352,1490,1490,0.98944,0.99759
2020,Single-person household,2nd Quintile,No,0.99586,992,992,0.99187,0.99986
2020,Single-person household,3rd Quintile,No,0.99291,720,720,0.98677,0.99904
2020,Single-person household,4th Quintile,No,0.99962,661,661,0.99814,1.00111
2020,Single-person household,5th Quintile,No,0.98947,697,697,0.98188,0.99705
2020,Couple without children,1st Quintile,No,0.99754,522,522,0.99328,1.00179
2020,Couple without children,2nd Quintile,No,0.99665,862,862,0.99279,1.00051
2020,Couple without children,3rd Quintile,No,0.99779,879,879,0.99468,1.00089
2020,Couple without children,4th Quintile,No,0.99490,1010,1010,0.99050,0.99929
2020,Couple without children,5th Quintile,No,0.99552,1723,1723,0.99236,0.99867
2020,Single parent,3rd Quintile,No,0.99659,232,232,0.98906,1.00411
2020,Single parent,5th Quintile,No,0.97808,114,114,0.95108,1.00508
2020,Couple with children,2nd Quintile,No,0.99975,998,998,0.99875,1.00074
2020,Couple with children,3rd Quintile,No,0.99647,968,968,0.99274,1.00021
2020,Couple with children,4th Quintile,No,0.99665,968,968,0.99301,1.00029
2020,Couple with children,5th Quintile,No,0.99322,1128,1128,0.98843,0.99801
2020,Other Combinations,1st Quintile,No,0.96107,87,87,0.92019,1.00195
2021,Single-person household,1st Quintile,No,0.99641,932,932,0.99256,1.00025
2021,Single-person household,2nd Quintile,No,0.99393,621,621,0.98782,1.00004
2021,Single-person household,3rd Quintile,No,0.99886,560,560,0.99607,1.00166
2021,Single-person household,4th Quintile,No,0.99902,511,511,0.99631,1.00173
2021,Couple without children,1st Quintile,No,0.98410,334,334,0.97067,0.99754
2021,Couple without children,2nd Quintile,No,0.99586,560,560,0.99054,1.00118
2021,Couple without children,3rd Quintile,No,0.99898,564,564,0.99635,1.00162
2021,Couple without children,4th Quintile,No,0.98682,694,694,0.97833,0.99531
2021,Couple without children,5th Quintile,No,0.99421,1240,1240,0.98999,0.99844
2021,Single parent,2nd Quintile,No,0.99810,276,276,0.99296,1.00325
2021,Couple with children,2nd Quintile,No,0.99805,629,629,0.99460,1.00150
2021,Couple with children,3rd Quintile,No,0.99636,686,686,0.99186,1.00087
2021,Couple with children,4th Quintile,No,0.99990,673,673,0.99912,1.00067
2021,Couple with children,5th Quintile,No,0.99764,770,770,0.99421,1.00107
2021,Other Combinations,1st Quintile,No,0.99291,53,53,0.97010,1.01572
2022,No answer / don't know,1st Quintile,No,0.99907,168,168,0.99446,1.00369
2022,No answer / don't know,3rd Quintile,No,0.95427,52,52,0.89694,1.01160
2022,Single-person household,Not included in this version of the questionnaire,No,0.99976,104,104,0.99677,1.00275
2022,Single-person household,1st Quintile,No,0.99951,1370,1370,0.99833,1.00068
2022,Single-person household,2nd Quintile,No,0.99883,1098,1098,0.99680,1.00085
2022,Single-person household,3rd Quintile,No,0.99824,1019,1019,0.99567,1.00082
2022,Single-person household,4th Quintile,No,0.99658,986,986,0.99294,1.00023
2022,Single-person household,5th Quintile,No,0.99103,981,981,0.98513,0.99694
2022,Couple without children,1st Quintile,No,0.99895,892,892,0.99683,1.00108
2022,Couple without children,2nd Quintile,No,0.99826,1050,1050,0.99573,1.00078
2022,Couple without children,4th Quintile,No,0.99583,1090,1090,0.99200,0.99966
2022,Couple without children,5th Quintile,No,0.99247,1597,1597,0.98823,0.99671
2022,Single parent,2nd Quintile,No,0.99807,330,330,0.99332,1.00281
2022,Couple with children,1st Quintile,No,0.99999,1098,1098,0.99981,1.00017
2022,Couple with children,2nd Quintile,No,0.99715,1062,1062,0.99394,1.00036
2022,Couple with children,3rd Quintile,No,0.99918,945,945,0.99736,1.00101
2022,Couple with children,4th Quintile,No,0.99542,1023,1023,0.99128,0.99956
2022,Couple with children,5th Quintile,No,0.99412,991,991,0.98935,0.99888
2022,Other Combinations,1st Quintile,No,0.99862,599,599,0.99565,1.00160
