year,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,No,0.99752,11186,11186,0.99660,0.99844
2016,East,No,0.99652,3056,3056,0.99443,0.99861
2017,West,No,0.99873,12219,12219,0.99810,0.99936
2017,East,No,0.99738,3406,3406,0.99567,0.99910
2018,West,Yes,0.00287,32,12004,0.00191,0.00383
2018,West,No,0.99713,11972,12004,0.99617,0.99809
2018,East,No,0.99957,3426,3426,0.99887,1.00026
2019,Does not apply,No,0.98847,62,62,0.96168,1.01526
2019,West,Yes,0.00210,34,12472,0.00129,0.00290
2019,West,No,0.99790,12438,12472,0.99710,0.99871
2019,East,No,0.99817,3580,3580,0.99677,0.99957
2020,West,Yes,0.00447,49,12836,0.00331,0.00562
2020,West,No,0.99553,12787,12836,0.99438,0.99669
2020,East,No,0.99621,3428,3428,0.99415,0.99827
2021,West,Yes,0.00428,40,8682,0.00290,0.00565
2021,West,No,0.99572,8642,8682,0.99435,0.99710
2021,East,No,0.99972,2391,2391,0.99905,1.00039
2022,West,Yes,0.00323,49,14994,0.00232,0.00414
2022,West,No,0.99677,14945,14994,0.99586,0.99768
2022,East,No,0.99832,4190,4190,0.99708,0.99956
