,Unnamed: 0,year,bula_h,sampreg,marstat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,West,Married,0.74457,223,10345,0.71466,0.77479
1,1,1984,Schleswig-Holstein,West,Single,0.25543,73,10345,0.23352,0.27591
2,2,1984,Hamburg,West,Married,0.70037,164,10345,0.64,0.76024
3,3,1984,Hamburg,West,Single,0.29963,53,10345,0.27515,0.32242
4,4,1984,Lower Saxony,West,Married,0.6314,711,10345,0.61386,0.64597
5,5,1984,Lower Saxony,West,Single,0.23565,252,10345,0.22303,0.24799
6,6,1984,Lower Saxony,West,Divorced,0.03145,31,10345,0.02817,0.03551
7,7,1984,Lower Saxony,West,Widowed,0.1015,71,10345,0.09459,0.10738
8,8,1984,Bremen,West,Married,1.0,72,10345,0.87874,1.13222
9,9,1984,North Rhine-Westphalia,West,Married,0.61003,1901,10345,0.59484,0.62315
10,10,1984,North Rhine-Westphalia,West,"Married, living apart",0.0147,48,10345,0.01259,0.01687
11,11,1984,North Rhine-Westphalia,West,Single,0.23032,650,10345,0.22228,0.23972
12,12,1984,North Rhine-Westphalia,West,Divorced,0.04301,100,10345,0.0401,0.04583
13,13,1984,North Rhine-Westphalia,West,Widowed,0.10194,165,10345,0.09765,0.1058
14,14,1984,Hesse,West,Married,0.66707,748,10345,0.6363,0.69464
15,15,1984,Hesse,West,Single,0.22854,234,10345,0.20928,0.24541
16,16,1984,Hesse,West,Widowed,0.10439,59,10345,0.09325,0.11484
17,17,1984,"Rhineland-Palatinate, Saarland",West,Married,0.64851,487,10345,0.62715,0.6708
18,18,1984,"Rhineland-Palatinate, Saarland",West,Single,0.2163,156,10345,0.20448,0.23043
19,19,1984,"Rhineland-Palatinate, Saarland",West,Widowed,0.1352,68,10345,0.12742,0.14434
20,20,1984,Baden-Wuerttemberg,West,Married,0.61528,1318,10345,0.58728,0.634
21,21,1984,Baden-Wuerttemberg,West,"Married, living apart",0.01814,46,10345,0.01407,0.02188
22,22,1984,Baden-Wuerttemberg,West,Single,0.22674,414,10345,0.21441,0.23937
23,23,1984,Baden-Wuerttemberg,West,Divorced,0.03615,54,10345,0.0307,0.04021
24,24,1984,Baden-Wuerttemberg,West,Widowed,0.10369,112,10345,0.09525,0.11143
25,25,1984,Bavaria,West,Married,0.65011,1262,10345,0.63045,0.6675
26,26,1984,Bavaria,West,Single,0.22955,405,10345,0.22037,0.23944
27,27,1984,Bavaria,West,Divorced,0.02803,44,10345,0.025,0.03119
28,28,1984,Bavaria,West,Widowed,0.09231,104,10345,0.08579,0.09778
29,29,1984,Berlin,West,Married,0.56463,209,10345,0.52649,0.60354
30,30,1984,Berlin,West,Single,0.2676,80,10345,0.23942,0.29259
31,31,1984,Berlin,West,Widowed,0.16777,31,10345,0.14442,0.18369
32,32,1985,Schleswig-Holstein,West,Married,0.70547,196,9830,0.67049,0.73924
33,33,1985,Schleswig-Holstein,West,Single,0.29453,77,9830,0.26163,0.31975
34,34,1985,Hamburg,West,Married,0.62968,136,9830,0.56574,0.68108
35,35,1985,Hamburg,West,Single,0.37032,56,9830,0.34205,0.4009
36,36,1985,Lower Saxony,West,Married,0.59083,644,9830,0.57484,0.60852
37,37,1985,Lower Saxony,West,Single,0.27059,268,9830,0.25778,0.28572
38,38,1985,Lower Saxony,West,Divorced,0.03395,31,9830,0.02844,0.03852
39,39,1985,Lower Saxony,West,Widowed,0.10463,69,9830,0.09643,0.11197
40,40,1985,Bremen,West,Married,1.0,65,9830,0.87657,1.10999
41,41,1985,North Rhine-Westphalia,West,Married,0.58556,1773,9830,0.57083,0.59809
42,42,1985,North Rhine-Westphalia,West,"Married, living apart",0.01774,57,9830,0.01515,0.02037
43,43,1985,North Rhine-Westphalia,West,Single,0.24779,670,9830,0.23815,0.25973
44,44,1985,North Rhine-Westphalia,West,Divorced,0.04218,90,9830,0.03842,0.04544
45,45,1985,North Rhine-Westphalia,West,Widowed,0.10673,159,9830,0.1019,0.1119
46,46,1985,Hesse,West,Married,0.6372,682,9830,0.60787,0.66838
47,47,1985,Hesse,West,Single,0.24868,236,9830,0.23024,0.26599
