year,bula_h,sampreg,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,West,No,0.95575,489,489,0.93750,0.97399
2009,Hamburg,West,No,0.95260,252,252,0.92631,0.97889
2009,Lower Saxony,West,Yes,0.04161,70,1633,0.03192,0.05129
2009,Lower Saxony,West,No,0.95839,1563,1633,0.94871,0.96808
2009,Bremen,West,No,0.92794,114,114,0.88027,0.97562
2009,North Rhine-Westphalia,West,Yes,0.03820,131,3628,0.03196,0.04443
2009,North Rhine-Westphalia,West,No,0.96180,3497,3628,0.95557,0.96804
2009,Hesse,West,Yes,0.02972,42,1217,0.02018,0.03927
2009,Hesse,West,No,0.97028,1175,1217,0.96073,0.97982
2009,"Rhineland-Palatinate, Saarland",West,Yes,0.03333,36,1024,0.02233,0.04433
2009,"Rhineland-Palatinate, Saarland",West,No,0.96667,988,1024,0.95567,0.97767
2009,Baden-Wuerttemberg,West,Yes,0.03485,75,2107,0.02702,0.04268
2009,Baden-Wuerttemberg,West,No,0.96515,2032,2107,0.95732,0.97298
2009,Bavaria,West,Yes,0.03687,97,2609,0.02964,0.04411
2009,Bavaria,West,No,0.96313,2512,2609,0.95589,0.97036
2009,Berlin,West,No,0.95154,345,345,0.92885,0.97423
2009,Berlin,East,No,0.95053,303,303,0.92607,0.97499
2009,Brandenburg,East,No,0.96886,765,765,0.95655,0.98118
2009,Mecklenburg-Western Pomerania,East,No,0.95494,451,451,0.93577,0.97410
2009,Saxony,East,Yes,0.03624,49,1369,0.02634,0.04615
2009,Saxony,East,No,0.96376,1320,1369,0.95385,0.97366
2009,Saxony-Anhalt,East,No,0.95794,740,740,0.94346,0.97241
2009,Thuringa,East,No,0.96960,794,794,0.95764,0.98155
2011,Schleswig-Holstein,West,Yes,0.05837,34,651,0.04035,0.07639
2011,Schleswig-Holstein,West,No,0.94163,617,651,0.92361,0.95965
2011,Hamburg,West,No,0.92770,288,288,0.89773,0.95766
2011,Lower Saxony,West,Yes,0.04838,93,1908,0.03875,0.05801
2011,Lower Saxony,West,No,0.95162,1815,1908,0.94199,0.96125
2011,Bremen,West,No,0.96227,121,121,0.92818,0.99636
2011,North Rhine-Westphalia,West,Yes,0.04958,192,4131,0.04296,0.05620
2011,North Rhine-Westphalia,West,No,0.95042,3939,4131,0.94380,0.95704
2011,Hesse,West,Yes,0.03799,58,1409,0.02800,0.04797
2011,Hesse,West,No,0.96201,1351,1409,0.95203,0.97200
