year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,Berlin,Urban regions,Yes,0.06161716231817859,45,20531,0.06132220043275385,0.061912124203603335
2011,Berlin,Urban regions,No,0.9383828376818213,736,20531,0.9380878757963965,0.9386777995672461
2011,Brandenburg,Urban regions,No,1.0,64,20531,1.0,1.0
2011,Brandenburg,Rural regions,Yes,0.0459035196215705,37,20531,0.04559003856667802,0.04621700067646298
2011,Brandenburg,Rural regions,No,0.9540964803784294,776,20531,0.9537829993235369,0.9544099614333219
2011,Mecklenburg-Western Pomerania,Urban regions,No,1.0,44,20531,1.0,1.0
2011,Mecklenburg-Western Pomerania,Rural regions,No,1.0,446,20531,1.0,1.0
2011,Saxony,Urban regions,No,1.0,699,20531,1.0,1.0
2011,Saxony,Rural regions,No,1.0,656,20531,1.0,1.0
2011,Saxony-Anhalt,Urban regions,No,1.0,193,20531,1.0,1.0
2011,Saxony-Anhalt,Rural regions,Yes,0.06814948015061666,37,20531,0.0677375428521715,0.06856141744906182
2011,Saxony-Anhalt,Rural regions,No,0.9318505198493833,625,20531,0.9314385825509381,0.9322624571478284
2011,Thuringa,Urban regions,No,1.0,256,20531,1.0,1.0
2011,Thuringa,Rural regions,No,1.0,603,20531,1.0,1.0
2013,Schleswig-Holstein,Urban regions,No,1.0,154,18681,1.0,1.0
2013,Schleswig-Holstein,Rural regions,No,1.0,403,18681,1.0,1.0
2013,Hamburg,Urban regions,No,1.0,286,18681,1.0,1.0
2013,Lower Saxony,Urban regions,Yes,0.06981143469682007,39,18681,0.06948464559217019,0.07013822380146995
2013,Lower Saxony,Urban regions,No,0.9301885653031798,701,18681,0.9298617761985299,0.9305153544078297
2013,Lower Saxony,Rural regions,Yes,0.06591101425486133,63,18681,0.06564416205425463,0.06617786645546803
2013,Lower Saxony,Rural regions,No,0.9340889857451387,972,18681,0.9338221335445319,0.9343558379457454
2013,Bremen,Urban regions,No,1.0,112,18681,1.0,1.0
2013,North Rhine-Westphalia,Urban regions,Yes,0.05893132251952933,195,18681,0.05879752889052907,0.05906511614852959
2013,North Rhine-Westphalia,Urban regions,No,0.9410686774804708,3421,18681,0.9409348838514706,0.9412024711094711
2013,North Rhine-Westphalia,Rural regions,No,1.0,99,18681,1.0,1.0
2013,Hesse,Urban regions,Yes,0.046222830472911175,61,18681,0.04598994172263975,0.0464557192231826
2013,Hesse,Urban regions,No,0.9537771695270889,984,18681,0.9535442807768175,0.9540100582773603
2013,Hesse,Rural regions,No,1.0,232,18681,1.0,1.0
2013,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.04351377830404576,36,18681,0.04326191839688488,0.04376563821120663
2013,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9564862216959542,785,18681,0.9562343617887933,0.9567380816031151
2013,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,265,18681,1.0,1.0
2013,Baden-Wuerttemberg,Urban regions,Yes,0.06947094884004298,117,18681,0.06927136117937578,0.06967053650071019
2013,Baden-Wuerttemberg,Urban regions,No,0.930529051159957,1793,18681,0.9303294634992898,0.9307286388206242
2013,Baden-Wuerttemberg,Rural regions,No,1.0,200,18681,1.0,1.0
2013,Bavaria,Urban regions,Yes,0.06616511324360409,79,18681,0.0659240669011191,0.06640615958608909
2013,Bavaria,Urban regions,No,0.9338348867563959,1287,18681,0.9335938404139109,0.9340759330988809
2013,Bavaria,Rural regions,Yes,0.037737774856607995,60,18681,0.037560125207490774,0.037915424505725215
2013,Bavaria,Rural regions,No,0.962262225143392,1521,18681,0.9620845754942747,0.9624398747925093
2013,Berlin,Urban regions,Yes,0.09480884041218147,59,18681,0.09443696362754471,0.09518071719681824
2013,Berlin,Urban regions,No,0.9051911595878185,709,18681,0.9048192828031817,0.9055630363724553
2013,Brandenburg,Urban regions,No,1.0,60,18681,1.0,1.0
2013,Brandenburg,Rural regions,Yes,0.07313874968166767,44,18681,0.0727414054581897,0.07353609390514564
2013,Brandenburg,Rural regions,No,0.9268612503183324,668,18681,0.9264639060948545,0.9272585945418104
2013,Mecklenburg-Western Pomerania,Urban regions,No,1.0,37,18681,1.0,1.0
2013,Mecklenburg-Western Pomerania,Rural regions,No,1.0,388,18681,1.0,1.0
2013,Saxony,Urban regions,Yes,0.04763644573334425,33,18681,0.04730525416331496,0.04796763730337355
2013,Saxony,Urban regions,No,0.9523635542666558,637,18681,0.9520323626966265,0.952694745836685
2013,Saxony,Rural regions,No,1.0,640,18681,1.0,1.0
2013,Saxony-Anhalt,Urban regions,No,1.0,170,18681,1.0,1.0
2013,Saxony-Anhalt,Rural regions,Yes,0.0869974743488969,39,18681,0.08653271692784782,0.08746223176994598
2013,Saxony-Anhalt,Rural regions,No,0.9130025256511031,542,18681,0.912537768230054,0.9134672830721522
2013,Thuringa,Urban regions,No,1.0,222,18681,1.0,1.0
2013,Thuringa,Rural regions,Yes,0.06487377952383067,32,18681,0.06443050256855949,0.06531705647910184
2013,Thuringa,Rural regions,No,0.9351262204761693,536,18681,0.9346829435208982,0.9355694974314405
2015,Schleswig-Holstein,Urban regions,No,1.0,223,24816,1.0,1.0
2015,Schleswig-Holstein,Rural regions,No,1.0,603,24816,1.0,1.0
2015,Hamburg,Urban regions,No,1.0,398,24816,1.0,1.0
2015,Lower Saxony,Urban regions,Yes,0.04378454421887219,35,24816,0.04353713562805717,0.04403195280968721
2015,Lower Saxony,Urban regions,No,0.9562154557811278,943,24816,0.9559680471903127,0.9564628643719428
2015,Lower Saxony,Rural regions,Yes,0.051844134952567726,71,24816,0.05162209408564545,0.05206617581949
2015,Lower Saxony,Rural regions,No,0.9481558650474323,1372,24816,0.9479338241805101,0.9483779059143546
2015,Bremen,Urban regions,No,1.0,162,24816,1.0,1.0
2015,North Rhine-Westphalia,Urban regions,Yes,0.05967170442896535,231,24816,0.05954852973855093,0.059794879119379765
2015,North Rhine-Westphalia,Urban regions,No,0.9403282955710346,4827,24816,0.9402051208806201,0.940451470261449
2015,North Rhine-Westphalia,Rural regions,No,1.0,102,24816,1.0,1.0
2015,Hesse,Urban regions,Yes,0.04686022619102538,53,24816,0.046649462927841265,0.0470709894542095
2015,Hesse,Urban regions,No,0.9531397738089746,1324,24816,0.9529290105457905,0.9533505370721588
2015,Hesse,Rural regions,No,1.0,317,24816,1.0,1.0
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.05483538610653149,52,24816,0.054578616536598366,0.05509215567646462
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9451646138934684,1052,24816,0.9449078443235353,0.9454213834634015
2015,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,374,24816,1.0,1.0
2015,Baden-Wuerttemberg,Urban regions,Yes,0.056517233894443866,133,24816,0.0563550947824943,0.05667937300639343
2015,Baden-Wuerttemberg,Urban regions,No,0.943482766105556,2521,24816,0.9433206269936064,0.9436449052175057
