year,age_gr,quintil_oecd,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Very important,0.10199,42,277,0.06629,0.13770
1990,17-29 y.,1st Quintile,Important,0.20302,70,277,0.15557,0.25048
1990,17-29 y.,1st Quintile,Less important,0.36483,118,277,0.30804,0.42162
1990,17-29 y.,1st Quintile,Unimportant,0.14088,47,277,0.09983,0.18192
1990,17-29 y.,2nd Quintile,Very important,0.15512,61,349,0.11708,0.19316
1990,17-29 y.,2nd Quintile,Important,0.22784,91,349,0.18378,0.27191
1990,17-29 y.,2nd Quintile,Less important,0.39933,161,349,0.34787,0.45078
1990,17-29 y.,2nd Quintile,Unimportant,0.09528,36,349,0.06443,0.12613
1990,17-29 y.,3rd Quintile,Very important,0.15448,70,355,0.11683,0.19213
1990,17-29 y.,3rd Quintile,Important,0.29945,126,355,0.25174,0.34716
1990,17-29 y.,3rd Quintile,Less important,0.38824,159,355,0.33747,0.43900
1990,17-29 y.,4th Quintile,Very important,0.12267,68,494,0.09371,0.15163
1990,17-29 y.,4th Quintile,Important,0.27986,153,494,0.24023,0.31949
1990,17-29 y.,4th Quintile,Less important,0.44459,223,494,0.40072,0.48845
1990,17-29 y.,4th Quintile,Unimportant,0.11247,50,494,0.08458,0.14036
1990,17-29 y.,5th Quintile,Very important,0.13641,58,361,0.10095,0.17186
1990,17-29 y.,5th Quintile,Important,0.27249,108,361,0.22650,0.31849
1990,17-29 y.,5th Quintile,Less important,0.41274,146,361,0.36188,0.46360
1990,17-29 y.,5th Quintile,Unimportant,0.15154,49,361,0.11450,0.18859
1990,30-45 y.,1st Quintile,Very important,0.15386,59,274,0.11106,0.19666
1990,30-45 y.,1st Quintile,Important,0.29446,96,274,0.24039,0.34853
1990,30-45 y.,1st Quintile,Less important,0.23414,77,274,0.18391,0.28437
1990,30-45 y.,1st Quintile,Unimportant,0.13771,42,274,0.09684,0.17859
1990,30-45 y.,2nd Quintile,Very important,0.16535,86,433,0.13032,0.20038
1990,30-45 y.,2nd Quintile,Important,0.36242,171,433,0.31709,0.40775
1990,30-45 y.,2nd Quintile,Less important,0.29048,140,433,0.24767,0.33329
1990,30-45 y.,2nd Quintile,Unimportant,0.08684,36,433,0.06028,0.11339
