year,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Very important,0.12554,1560,7087,0.11783,0.13326
1990,Important,0.18990,2294,7087,0.18077,0.19903
1990,Less important,0.19205,2196,7087,0.18288,0.20122
1990,Unimportant,0.10829,1037,7087,0.10105,0.11552
1992,Very important,0.16547,2490,10891,0.15849,0.17245
1992,Important,0.22648,3227,10891,0.21862,0.23434
1992,Less important,0.22911,3416,10891,0.22122,0.23700
1992,Unimportant,0.14075,1758,10891,0.13421,0.14728
1995,Very important,0.17717,2667,11130,0.17008,0.18426
1995,Important,0.24243,3626,11130,0.23447,0.25039
1995,Less important,0.23044,3426,11130,0.22262,0.23827
1995,Unimportant,0.11654,1411,11130,0.11058,0.12250
2004,Very important,0.18792,5164,21410,0.18269,0.19316
2004,Important,0.25929,7231,21410,0.25342,0.26516
2004,Less important,0.24357,6158,21410,0.23782,0.24932
2004,Unimportant,0.13542,2857,21410,0.13083,0.14000
2008,Very important,0.15371,3921,19171,0.14860,0.15882
2008,Important,0.26654,6576,19171,0.26028,0.27280
2008,Less important,0.26064,5745,19171,0.25443,0.26686
2008,Unimportant,0.14996,2929,19171,0.14491,0.15501
2012,Very important,0.15584,5554,27458,0.15155,0.16013
2012,Important,0.27756,9561,27458,0.27226,0.28285
2012,Less important,0.24618,8101,27458,0.24108,0.25127
2012,Unimportant,0.15227,4242,27458,0.14802,0.15652
2016,Very important,0.16230,5094,24134,0.15764,0.16695
2016,Important,0.28210,8523,24134,0.27642,0.28778
2016,Less important,0.24137,6817,24134,0.23597,0.24677
2016,Unimportant,0.14489,3700,24134,0.14045,0.14933
2021,Very important,0.16258,3611,17099,0.15705,0.16812
2021,Important,0.27853,5920,17099,0.27181,0.28525
2021,Less important,0.24549,5036,17099,0.23904,0.25194
2021,Unimportant,0.12914,2532,17099,0.12411,0.13417
