year,sampreg,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.15838,1560,7087,0.14988,0.16688
1990,West,Important,0.23958,2294,7087,0.22964,0.24951
1990,West,Less important,0.24229,2196,7087,0.23231,0.25227
1990,West,Unimportant,0.13661,1037,7087,0.12862,0.14461
1992,West,Very important,0.16673,1621,6960,0.15797,0.17549
1992,West,Important,0.23870,2299,6960,0.22868,0.24871
1992,West,Less important,0.21968,2063,6960,0.20995,0.22941
1992,West,Unimportant,0.12641,977,6960,0.11860,0.13422
1992,East,Very important,0.16058,869,3931,0.14910,0.17206
1992,East,Important,0.17883,928,3931,0.16685,0.19081
1992,East,Less important,0.26590,1353,3931,0.25209,0.27971
1992,East,Unimportant,0.19668,781,3931,0.18425,0.20911
1995,West,Very important,0.17334,1782,7483,0.16476,0.18191
1995,West,Important,0.24748,2559,7483,0.23770,0.25726
1995,West,Less important,0.22555,2267,7483,0.21608,0.23502
1995,West,Unimportant,0.10894,875,7483,0.10188,0.11600
1995,East,Very important,0.19321,885,3647,0.18039,0.20602
1995,East,Important,0.22133,1067,3647,0.20785,0.23480
1995,East,Less important,0.25089,1159,3647,0.23682,0.26496
1995,East,Unimportant,0.14831,536,3647,0.13677,0.15985
2004,West,Very important,0.19511,4114,16247,0.18902,0.20121
2004,West,Important,0.26894,5763,16247,0.26212,0.27575
2004,West,Less important,0.23512,4521,16247,0.22860,0.24164
2004,West,Unimportant,0.11993,1849,16247,0.11494,0.12493
2004,East,Very important,0.15493,1050,5163,0.14506,0.16480
2004,East,Important,0.21505,1468,5163,0.20385,0.22626
2004,East,Less important,0.28236,1637,5163,0.27008,0.29464
2004,East,Unimportant,0.20648,1008,5163,0.19543,0.21752
2008,West,Very important,0.15841,3083,14440,0.15245,0.16436
2008,West,Important,0.27815,5256,14440,0.27084,0.28546
2008,West,Less important,0.25555,4213,14440,0.24843,0.26266
2008,West,Unimportant,0.13097,1888,14440,0.12547,0.13648
2008,East,Very important,0.13210,838,4731,0.12245,0.14175
2008,East,Important,0.21315,1320,4731,0.20148,0.22482
2008,East,Less important,0.28408,1532,4731,0.27123,0.29693
2008,East,Unimportant,0.23731,1041,4731,0.22518,0.24943
2012,West,Very important,0.16120,4446,21327,0.15626,0.16613
2012,West,Important,0.28787,7832,21327,0.28180,0.29395
2012,West,Less important,0.24454,6218,21327,0.23877,0.25031
2012,West,Unimportant,0.13339,2831,21327,0.12883,0.13796
2012,East,Very important,0.13032,1108,6131,0.12190,0.13875
2012,East,Important,0.22846,1729,6131,0.21795,0.23897
2012,East,Less important,0.25394,1883,6131,0.24305,0.26484
2012,East,Unimportant,0.24209,1411,6131,0.23137,0.25282
2016,West,Very important,0.16813,4195,19124,0.16283,0.17343
2016,West,Important,0.29446,7039,19124,0.28800,0.30092
2016,West,Less important,0.23885,5369,19124,0.23281,0.24490
2016,West,Unimportant,0.12681,2521,19124,0.12209,0.13153
2016,East,Very important,0.13467,899,5010,0.12522,0.14412
2016,East,Important,0.22352,1484,5010,0.21199,0.23506
2016,East,Less important,0.25330,1448,5010,0.24126,0.26535
2016,East,Unimportant,0.23055,1179,5010,0.21889,0.24222
2021,West,Very important,0.16435,2929,13503,0.15810,0.17060
2021,West,Important,0.28498,4843,13503,0.27736,0.29259
2021,West,Less important,0.24596,3965,13503,0.23870,0.25323
2021,West,Unimportant,0.11910,1766,13503,0.11363,0.12456
2021,East,Very important,0.15394,682,3596,0.14214,0.16574
2021,East,Important,0.24689,1077,3596,0.23280,0.26099
2021,East,Less important,0.24319,1071,3596,0.22916,0.25721
2021,East,Unimportant,0.17839,766,3596,0.16588,0.19091
