year,quintil_oecd_hh,regtyp,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Urban regions,Yes,0.49162,680,1418,0.46559,0.51766
2001,1st Quintile,Urban regions,No,0.49579,738,1418,0.46976,0.52183
2001,1st Quintile,Rural regions,Yes,0.53336,408,785,0.49844,0.56828
2001,1st Quintile,Rural regions,No,0.44791,377,785,0.41310,0.48272
2001,2nd Quintile,Urban regions,Yes,0.73305,1095,1480,0.71051,0.75560
2001,2nd Quintile,Urban regions,No,0.25280,385,1480,0.23065,0.27495
2001,2nd Quintile,Rural regions,Yes,0.76400,729,959,0.73711,0.79089
2001,2nd Quintile,Rural regions,No,0.22976,230,959,0.20312,0.25640
2001,3rd Quintile,Urban regions,Yes,0.80194,1248,1542,0.78204,0.82184
2001,3rd Quintile,Urban regions,No,0.18679,294,1542,0.16733,0.20625
2001,3rd Quintile,Rural regions,Yes,0.85252,742,876,0.82903,0.87602
2001,3rd Quintile,Rural regions,No,0.14160,134,876,0.11850,0.16470
2001,4th Quintile,Urban regions,Yes,0.83865,1362,1599,0.82062,0.85669
2001,4th Quintile,Urban regions,No,0.14925,237,1599,0.13178,0.16672
2001,4th Quintile,Rural regions,Yes,0.88243,658,746,0.85930,0.90556
2001,4th Quintile,Rural regions,No,0.10755,88,746,0.08530,0.12980
2001,5th Quintile,Urban regions,Yes,0.91640,1539,1670,0.90312,0.92968
2001,5th Quintile,Urban regions,No,0.07312,131,1670,0.06063,0.08561
2001,5th Quintile,Rural regions,Yes,0.92446,464,496,0.90118,0.94774
2001,5th Quintile,Rural regions,No,0.06784,32,496,0.04569,0.08999
2003,1st Quintile,Urban regions,Yes,0.40883,538,1316,0.38226,0.43540
2003,1st Quintile,Urban regions,No,0.58067,778,1316,0.55400,0.60734
2003,1st Quintile,Rural regions,Yes,0.46459,320,715,0.42801,0.50118
2003,1st Quintile,Rural regions,No,0.51986,395,715,0.48321,0.55651
2003,2nd Quintile,Urban regions,Yes,0.66028,886,1325,0.63476,0.68579
2003,2nd Quintile,Urban regions,No,0.32750,439,1325,0.30222,0.35278
2003,2nd Quintile,Rural regions,Yes,0.70152,609,862,0.67096,0.73209
