year,bula_h,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Mecklenburg-Western Pomerania,East,No,0.35884,85,272,0.30173,0.41595
2005,Saxony,East,Yes,0.69010,586,806,0.65816,0.72205
2005,Saxony,East,No,0.29741,220,806,0.26583,0.32899
2005,Saxony-Anhalt,East,Yes,0.64346,311,470,0.60011,0.68681
2005,Saxony-Anhalt,East,No,0.35102,159,470,0.30782,0.39421
2005,Thuringa,East,Yes,0.62497,300,461,0.58072,0.66921
2005,Thuringa,East,No,0.36117,161,461,0.31727,0.40507
2007,Schleswig-Holstein,West,Yes,0.62660,241,361,0.57663,0.67656
2007,Schleswig-Holstein,West,No,0.37340,120,361,0.32344,0.42337
2007,Hamburg,West,Yes,0.66699,129,186,0.59908,0.73491
2007,Hamburg,West,No,0.30485,57,186,0.23851,0.37119
2007,Lower Saxony,West,Yes,0.67909,730,996,0.65008,0.70810
2007,Lower Saxony,West,No,0.30204,266,996,0.27351,0.33057
2007,Bremen,West,Yes,0.77148,68,68,0.67093,0.87202
2007,North Rhine-Westphalia,West,Yes,0.66961,1656,2324,0.65049,0.68874
2007,North Rhine-Westphalia,West,No,0.31767,668,2324,0.29874,0.33661
2007,Hesse,West,Yes,0.65660,556,779,0.62323,0.68996
2007,Hesse,West,No,0.33113,223,779,0.29806,0.36420
2007,"Rhineland-Palatinate, Saarland",West,Yes,0.68260,459,659,0.64704,0.71817
2007,"Rhineland-Palatinate, Saarland",West,No,0.30935,200,659,0.27403,0.34466
2007,Baden-Wuerttemberg,West,Yes,0.66881,940,1344,0.64364,0.69399
2007,Baden-Wuerttemberg,West,No,0.32320,404,1344,0.29818,0.34821
2007,Bavaria,West,Yes,0.69100,1197,1627,0.66854,0.71346
2007,Bavaria,West,No,0.29666,430,1627,0.27445,0.31886
2007,Berlin,West,Yes,0.58735,163,264,0.52785,0.64685
2007,Berlin,West,No,0.41265,101,264,0.35315,0.47215
2007,Berlin,East,Yes,0.60567,125,200,0.53777,0.67358
2007,Berlin,East,No,0.39433,75,200,0.32642,0.46223
2007,Brandenburg,East,Yes,0.64186,323,488,0.59927,0.68444
2007,Brandenburg,East,No,0.35559,165,488,0.31307,0.39810
2007,Mecklenburg-Western Pomerania,East,Yes,0.68067,198,281,0.62607,0.73528
2007,Mecklenburg-Western Pomerania,East,No,0.31664,83,281,0.26215,0.37112
2007,Saxony,East,Yes,0.64862,572,828,0.61608,0.68115
2007,Saxony,East,No,0.34662,256,828,0.31418,0.37905
2007,Saxony-Anhalt,East,Yes,0.61683,287,462,0.57245,0.66121
2007,Saxony-Anhalt,East,No,0.37648,175,462,0.33225,0.42070
2007,Thuringa,East,Yes,0.62962,321,485,0.58660,0.67264
2007,Thuringa,East,No,0.35720,164,485,0.31451,0.39989
2011,Schleswig-Holstein,West,Yes,0.66391,281,402,0.61768,0.71015
