year,bula_h,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Owner,Yes,0.85088,183,183,0.79913,0.90263
2001,Schleswig-Holstein,Tenant,Yes,0.70411,111,152,0.63130,0.77691
2001,Schleswig-Holstein,Tenant,No,0.28664,41,152,0.21451,0.35877
2001,Hamburg,Owner,Yes,0.87645,34,34,0.76418,0.98873
2001,Hamburg,Tenant,Yes,0.62057,85,142,0.54047,0.70067
2001,Hamburg,Tenant,No,0.36764,57,142,0.28806,0.44723
2001,Lower Saxony,Owner,Yes,0.84948,452,513,0.81850,0.88045
2001,Lower Saxony,Owner,No,0.13003,61,513,0.10090,0.15917
2001,Lower Saxony,Tenant,Yes,0.67673,300,435,0.63272,0.72073
2001,Lower Saxony,Tenant,No,0.31503,135,435,0.27132,0.35873
2001,Bremen,Owner,Yes,0.93755,34,34,0.85499,1.02011
2001,Bremen,Tenant,Yes,0.66117,40,40,0.51262,0.80972
2001,North Rhine-Westphalia,Owner,Yes,0.88523,910,1038,0.86583,0.90463
2001,North Rhine-Westphalia,Owner,No,0.10234,128,1038,0.08389,0.12079
2001,North Rhine-Westphalia,Tenant,Yes,0.66611,954,1425,0.64161,0.69060
2001,North Rhine-Westphalia,Tenant,No,0.32175,471,1425,0.29749,0.34601
2001,Hesse,Owner,Yes,0.92912,324,358,0.90250,0.95574
2001,Hesse,Owner,No,0.06177,34,358,0.03680,0.08675
2001,Hesse,Tenant,Yes,0.67300,290,415,0.62781,0.71819
2001,Hesse,Tenant,No,0.30776,125,415,0.26330,0.35223
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.86655,343,404,0.83335,0.89975
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.11639,61,404,0.08508,0.14770
2001,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.64477,203,305,0.59097,0.69857
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.34836,102,305,0.29480,0.40192
2001,Baden-Wuerttemberg,Owner,Yes,0.88431,554,631,0.85933,0.90929
2001,Baden-Wuerttemberg,Owner,No,0.10719,77,631,0.08304,0.13135
2001,Baden-Wuerttemberg,Tenant,Yes,0.68829,488,719,0.65441,0.72217
2001,Baden-Wuerttemberg,Tenant,No,0.29363,231,719,0.26032,0.32695
2001,Bavaria,Owner,Yes,0.88479,768,853,0.86335,0.90623
2001,Bavaria,Owner,No,0.09957,85,853,0.07947,0.11968
2001,Bavaria,Tenant,Yes,0.75566,564,746,0.72481,0.78652
2001,Bavaria,Tenant,No,0.23324,182,746,0.20287,0.26360
2001,Berlin,Owner,Yes,0.83992,50,50,0.73724,0.94259
2001,Berlin,Tenant,Yes,0.64868,264,419,0.60292,0.69445
2001,Berlin,Tenant,No,0.34479,155,419,0.29923,0.39036
2001,Brandenburg,Owner,Yes,0.84135,165,199,0.79047,0.89224
