year,rentown,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,West,Yes,0.88088,3639,4124,0.87099,0.89077
2001,Owner,West,No,0.10656,485,4124,0.09714,0.11598
2001,Owner,East,Yes,0.82652,894,1092,0.80405,0.84899
2001,Owner,East,No,0.16284,198,1092,0.14093,0.18475
2001,Tenant,West,Yes,0.68107,3174,4626,0.66764,0.69450
2001,Tenant,West,No,0.30655,1452,4626,0.29326,0.31984
2001,Tenant,East,Yes,0.72332,1219,1731,0.70224,0.74440
2001,Tenant,East,No,0.26994,512,1731,0.24902,0.29086
2003,Owner,West,Yes,0.82999,3842,4522,0.81904,0.84094
2003,Owner,West,No,0.16284,680,4522,0.15207,0.17360
2003,Owner,East,Yes,0.74237,848,1093,0.71644,0.76831
2003,Owner,East,No,0.24081,245,1093,0.21545,0.26617
2003,Tenant,West,Yes,0.61405,2751,4407,0.59967,0.62842
2003,Tenant,West,No,0.37531,1656,4407,0.36102,0.38961
2003,Tenant,East,Yes,0.66593,1120,1692,0.64345,0.68841
2003,Tenant,East,No,0.33061,572,1692,0.30818,0.35303
2005,Owner,West,Yes,0.81794,3553,4248,0.80634,0.82955
2005,Owner,West,No,0.17201,695,4248,0.16066,0.18336
2005,Owner,East,Yes,0.73433,845,1097,0.70818,0.76048
2005,Owner,East,No,0.25329,252,1097,0.22754,0.27904
2005,Tenant,West,Yes,0.59683,2538,4195,0.58199,0.61168
2005,Tenant,West,No,0.39423,1657,4195,0.37944,0.40902
2005,Tenant,East,Yes,0.61263,977,1579,0.58860,0.63667
2005,Tenant,East,No,0.38003,602,1579,0.35608,0.40398
2007,Owner,West,Yes,0.80630,3702,4443,0.79467,0.81792
2007,Owner,West,No,0.17927,741,4443,0.16799,0.19055
2007,Owner,East,Yes,0.71645,848,1132,0.69018,0.74271
2007,Owner,East,No,0.27443,284,1132,0.24842,0.30043
2007,Tenant,West,Yes,0.56079,2437,4186,0.54575,0.57583
2007,Tenant,West,No,0.43013,1749,4186,0.41513,0.44513
2007,Tenant,East,Yes,0.60031,978,1612,0.57639,0.62423
2007,Tenant,East,No,0.39636,634,1612,0.37247,0.42024
2011,Owner,West,Yes,0.79682,4087,4751,0.78538,0.80827
2011,Owner,West,No,0.13457,664,4751,0.12487,0.14428
2011,Owner,East,Yes,0.73440,932,1157,0.70894,0.75986
2011,Owner,East,No,0.20089,225,1157,0.17780,0.22399
2011,Tenant,West,Yes,0.55663,2700,4378,0.54191,0.57135
2011,Tenant,West,No,0.34046,1678,4378,0.32642,0.35450
2011,Tenant,East,Yes,0.56283,1053,1721,0.53939,0.58628
2011,Tenant,East,No,0.35229,668,1721,0.32971,0.37486
2013,Owner,West,Yes,0.80090,4213,4966,0.78979,0.81201
2013,Owner,West,No,0.13732,753,4966,0.12775,0.14690
2013,Owner,East,Yes,0.75433,892,1102,0.72890,0.77976
2013,Owner,East,No,0.18302,210,1102,0.16017,0.20586
2013,Tenant,West,Yes,0.55562,3348,6022,0.54307,0.56817
2013,Tenant,West,No,0.36951,2674,6022,0.35732,0.38170
2013,Tenant,East,Yes,0.56579,1091,1772,0.54271,0.58888
2013,Tenant,East,No,0.35967,681,1772,0.33732,0.38202
2015,Owner,West,Yes,0.85726,4648,5510,0.84803,0.86650
2015,Owner,West,No,0.13464,862,5510,0.12562,0.14365
2015,Owner,East,Yes,0.79018,931,1185,0.76699,0.81337
2015,Owner,East,No,0.20221,254,1185,0.17933,0.22509
2015,Tenant,West,Yes,0.59911,3796,6895,0.58754,0.61067
2015,Tenant,West,No,0.39354,3099,6895,0.38201,0.40508
2015,Tenant,East,Yes,0.60153,1222,2074,0.58045,0.62261
2015,Tenant,East,No,0.38852,852,2074,0.36753,0.40950
2016,Owner,West,Yes,0.88174,4489,5124,0.87289,0.89058
2016,Owner,West,No,0.11226,635,5124,0.10361,0.12090
2016,Owner,East,Yes,0.85787,970,1149,0.83767,0.87807
2016,Owner,East,No,0.13479,179,1149,0.11503,0.15454
2016,Tenant,West,Yes,0.63995,3632,6048,0.62785,0.65205
2016,Tenant,West,No,0.35235,2416,6048,0.34031,0.36439
2016,Tenant,East,Yes,0.64736,1214,1908,0.62592,0.66881
2016,Tenant,East,No,0.34492,694,1908,0.32359,0.36626
2017,Owner,West,Yes,0.89430,5124,5732,0.88633,0.90226
2017,Owner,West,No,0.10030,608,5732,0.09252,0.10807
2017,Owner,East,Yes,0.86372,1127,1299,0.84506,0.88239
2017,Owner,East,No,0.12208,172,1299,0.10427,0.13989
2017,Tenant,West,Yes,0.65493,4288,7964,0.64449,0.66537
2017,Tenant,West,No,0.34012,3676,7964,0.32972,0.35053
2017,Tenant,East,Yes,0.63422,1355,2390,0.61491,0.65353
2017,Tenant,East,No,0.35571,1035,2390,0.33652,0.37491
2018,Owner,West,Yes,0.90044,4918,5481,0.89251,0.90836
2018,Owner,West,No,0.09383,563,5481,0.08611,0.10155
2018,Owner,East,Yes,0.87627,1078,1249,0.85800,0.89454
2018,Owner,East,No,0.12072,171,1249,0.10264,0.13880
2018,Tenant,West,Yes,0.64025,4184,8555,0.63008,0.65042
2018,Tenant,West,No,0.35365,4371,8555,0.34351,0.36378
