year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,"Rheinland-Pfalz,Saarland",weiblich,0.2677465230761354,0.20249604330800414,0.33299700284426664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0
1985,Baden-Wuerttemberg,maennlich,0.5937089426374292,0.5338170062545745,0.653600879020284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0
1985,Baden-Wuerttemberg,weiblich,0.33781128328877,0.2886281408489157,0.38699442572862436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
1985,Bayern,maennlich,0.775127478711501,0.7036159793355995,0.8466389780874025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0
1985,Bayern,weiblich,0.3119544369338598,0.26972964658112014,0.3541792272865995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0
1985,Berlin,maennlich,0.8668741332494443,0.6881688425442392,1.0455794239546494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
1985,Berlin,weiblich,0.366062843250082,0.26286672645927395,0.46925896004089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
1986,Schleswig-Holstein,maennlich,0.933196851463123,0.7418516954311752,1.1245420074950707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
1986,Schleswig-Holstein,weiblich,0.5013476180956973,0.3436533790151658,0.6590418571762288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
1986,Hamburg,maennlich,0.395751709219166,0.28180088743121917,0.5097025310071129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
1986,Hamburg,weiblich,0.1507253351516808,0.06490579107209182,0.23654487923126977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
1986,Niedersachsen,maennlich,0.7730715886819124,0.671537252363989,0.8746059249998358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0
1986,Niedersachsen,weiblich,0.2559236059650377,0.20098888132818768,0.3108583306018877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0
1986,Bremen,maennlich,0.3177836589018185,0.1060189938039956,0.5295483239996414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
