year,bula_h,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,"Rhineland-Palatinate, Saarland",West,766,0.3524167739286432,0.3029055889637048,0.40192795889358157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Baden-Wuerttemberg,West,1961,0.3966095460316705,0.3608406579089444,0.4323784341543966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Bavaria,West,1722,0.5541682988636806,0.5084625678254757,0.5998740299018854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Berlin,West,362,0.6673257637038554,0.5523027354970645,0.7823487919106463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Schleswig-Holstein,West,321,0.6309056187009436,0.518249442142273,0.7435617952596143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Hamburg,West,200,0.31153089049209454,0.216499634615747,0.40656214636844207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Lower Saxony,West,1036,0.621990020065083,0.5562382404818125,0.6877417996483535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Bremen,West,100,0.09705436562080934,0.01497039099752473,0.17913834024409395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,North Rhine-Westphalia,West,2671,0.45887877953772876,0.42755531269342173,0.4902022463820358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Hesse,West,991,0.4425259064454027,0.3881968746650171,0.49685493822578825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,"Rhineland-Palatinate, Saarland",West,731,0.42079637425185157,0.3575447182147768,0.48404803028892635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Baden-Wuerttemberg,West,1876,0.4101702823748744,0.372034672272053,0.4483058924776958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Bavaria,West,1630,0.6555360390957305,0.601136315136235,0.7099357630552261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Berlin,West,328,0.7622999471753991,0.6351561170943493,0.8894437772564489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Schleswig-Holstein,West,303,0.5412521448929787,0.438282493980245,0.6442217958057124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Hamburg,West,196,0.3060853613625783,0.20317617608767502,0.4089945466374816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Lower Saxony,West,996,0.698885780762051,0.6305965976391422,0.7671749638849598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Bremen,West,107,0.1847299402742223,0.08511645336490212,0.28434342718354244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,North Rhine-Westphalia,West,2613,0.5545485508476732,0.5181896344660651,0.5909074672292812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Hesse,West,994,0.567668518942843,0.5060343462895731,0.6293026915961129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,"Rhineland-Palatinate, Saarland",West,694,0.3335772874756539,0.2750565141662881,0.3920980607850197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Baden-Wuerttemberg,West,1813,0.38034002906033304,0.34451602940900933,0.41616402871165675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Bavaria,West,1614,0.5975558250333968,0.5465270160477029,0.6485846340190906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Berlin,West,329,0.5471347462039375,0.43939903193442476,0.6548704604734503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Schleswig-Holstein,West,283,0.00920442591491035,0.003811545752652974,0.014597306077167724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Hamburg,West,167,0.01968048842484542,0.0018766059437295979,0.03748437090596124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Lower Saxony,West,978,0.04467658838367655,0.03006941211627256,0.05928376465108054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bremen,West,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,North Rhine-Westphalia,West,2556,0.03684085482907867,0.028061099613331003,0.04562061004482634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Hesse,West,985,0.03100500185062339,0.01795851064370169,0.04405149305754509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
