year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,1.90927,1.87629,1.94226,0.00000,1.00000,3.00000,0.00000,7.50000,13567.00000
1992,1.92848,1.89529,1.96166,0.00000,1.00000,3.00000,0.00000,7.50000,13282.00000
1993,1.88928,1.85551,1.92306,0.00000,1.00000,3.00000,0.00000,7.50000,13077.00000
1994,1.92051,1.88764,1.95337,0.00000,1.00000,3.00000,0.00000,7.50000,12854.00000
1995,1.85843,1.82517,1.89168,0.00000,1.00000,3.00000,0.00000,7.50000,13268.00000
1996,1.89456,1.86302,1.92611,1.00000,1.00000,3.00000,0.00000,6.00000,13027.00000
1997,1.85371,1.82095,1.88647,0.00000,1.00000,3.00000,0.00000,7.50000,12804.00000
1998,1.71150,1.68185,1.74115,0.00000,1.00000,3.00000,0.00000,7.50000,14217.00000
1999,1.79761,1.76735,1.82786,0.00000,1.00000,3.00000,0.00000,7.50000,13657.00000
2000,1.85327,1.83093,1.87562,1.00000,1.00000,3.00000,0.00000,6.00000,24079.00000
2001,1.76631,1.74323,1.78939,0.00000,1.00000,3.00000,0.00000,7.50000,21903.00000
2002,1.81416,1.79277,1.83555,1.00000,1.00000,3.00000,0.00000,6.00000,23004.00000
2003,1.71415,1.69278,1.73553,1.00000,1.00000,3.00000,0.00000,6.00000,22140.00000
2004,1.77998,1.75881,1.80115,1.00000,1.00000,3.00000,0.00000,6.00000,21587.00000
2005,1.68275,1.66129,1.70421,1.00000,1.00000,2.00000,0.00000,3.50000,20672.00000
2006,1.76220,1.74177,1.78264,1.00000,1.00000,3.00000,0.00000,6.00000,21948.00000
2007,1.67320,1.65187,1.69454,1.00000,1.00000,2.00000,0.00000,3.50000,20489.00000
2008,1.67116,1.65018,1.69215,1.00000,1.00000,2.00000,0.00000,3.50000,19304.00000
2009,1.61695,1.59463,1.63926,1.00000,1.00000,2.00000,0.00000,3.50000,18006.00000
2010,1.65960,1.64163,1.67757,1.00000,1.00000,2.00000,0.00000,3.50000,23959.00000
2011,1.57946,1.56255,1.59637,1.00000,1.00000,2.00000,0.00000,3.50000,28363.00000
2012,1.63128,1.61509,1.64747,1.00000,1.00000,2.00000,0.00000,3.50000,27630.00000
2013,1.53597,1.51918,1.55275,1.00000,1.00000,2.00000,0.00000,3.50000,25665.00000
2014,1.55771,1.54200,1.57341,1.00000,1.00000,2.00000,0.00000,3.50000,27054.00000
2015,1.49153,1.47564,1.50741,1.00000,1.00000,2.00000,0.00000,3.50000,26774.00000
2016,1.52487,1.50931,1.54042,1.00000,1.00000,2.00000,0.00000,3.50000,24265.00000
2017,1.47748,1.46318,1.49179,1.00000,1.00000,2.00000,0.00000,3.50000,30488.00000
2018,1.48330,1.46906,1.49754,1.00000,1.00000,2.00000,0.00000,3.50000,26002.00000
2019,1.43471,1.42105,1.44836,1.00000,1.00000,2.00000,0.00000,3.50000,29064.00000
2020,1.56351,1.54993,1.57710,1.00000,1.00000,2.00000,0.00000,3.50000,29353.00000
2021,1.51704,1.49938,1.53471,1.00000,1.00000,2.00000,0.00000,3.50000,19103.00000
2022,1.68379,1.66676,1.70081,1.00000,1.00000,2.00000,0.00000,3.50000,27615.00000
