year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,male,2867,1.8458255553788019,1.8210004177715968,1.870650692986007,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0
1984,West,female,5827,5.310414572872963,5.2685110918248546,5.3523180539210715,3.0,5.0,8.0,1.0,15.5,5.0,5.0,6.0
1985,West,male,4902,1.1713818104594957,1.1527509070438051,1.1900127138751864,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1985,West,female,5521,4.065324551768795,4.032481226726739,4.09816787681085,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
1986,West,male,4843,1.1426305495447444,1.1253117499024674,1.1599493491870214,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,West,female,5297,3.959383021126053,3.9264663372424535,3.992299705009652,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
1987,West,male,4899,1.2060899048037121,1.1875949937407004,1.2245848158667239,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1987,West,female,5204,3.97301410733904,3.940795156608525,4.005233058069555,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
1988,West,male,4690,1.1635210819198942,1.1459741423405372,1.1810680214992513,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1988,West,female,4994,3.8702927950519257,3.8376589380497492,3.902926652054102,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
1989,West,male,4596,1.2038476239089562,1.18459837145399,1.2230968763639223,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1989,West,female,4857,3.882854850477439,3.849698360373012,3.9160113405818664,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
1990,West,male,4658,1.3326690449156016,1.3062453514774057,1.3590927383537974,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1990,West,female,4764,4.018483763827568,3.9737826951394206,4.063184832515716,2.0,3.0,5.0,0.0,9.5,3.0,3.0,3.0
1990,East,male,2093,1.0606181124824967,1.0334868499875633,1.08774937497743,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1990,East,female,2281,3.0336857420120773,2.9935096138167245,3.07386187020743,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1991,West,male,4653,0.6905876962195482,0.676397045117774,0.7047783473213224,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1991,West,female,4780,3.0482069568589236,3.020322813790119,3.0760910999277282,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1991,East,male,1976,0.7571042423806308,0.7352280391400215,0.77898044562124,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0
1991,East,female,2158,2.864917257681918,2.8305525385810673,2.899281976782769,2.0,3.0,4.0,0.0,7.0,3.0,3.0,4.0
1992,West,male,4567,0.7244712766714744,0.7104821730587169,0.7384603802842319,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0
1992,West,female,4752,3.0781144998477608,3.0502147887059725,3.106014210989549,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1992,East,male,1889,0.8283655960717522,0.8047547391719487,0.8519764529715557,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1992,East,female,2074,2.79239313582199,2.7563491975799796,2.828437074064,2.0,2.0,4.0,0.0,7.0,2.0,1.0,2.0
1993,West,male,4544,0.6930121656169671,0.6780480602215321,0.7079762710124021,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1993,West,female,4708,3.010269334661245,2.982032292819899,3.0385063765025913,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1993,East,male,1818,0.8422032622801299,0.8179597058803817,0.866446818679878,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1993,East,female,2007,2.8435846124601722,2.805199699719005,2.8819695252013395,2.0,2.0,4.0,0.0,7.0,2.0,1.0,2.0
1994,West,male,4419,0.7312244419317211,0.7179744352215168,0.7444744486419254,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1994,West,female,4662,3.0281949829794157,3.001041667809537,3.0553482981492945,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1994,East,male,1796,0.9086625773611532,0.8829780247454849,0.9343471299768215,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1994,East,female,1977,2.833901965510723,2.7955425160114555,2.8722614150099903,2.0,2.0,4.0,0.0,7.0,2.0,1.0,2.0
1995,West,male,4656,0.7170297426003576,0.7026720789219355,0.7313874062787796,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1995,West,female,4921,2.9439782105587198,2.9158910347931735,2.972065386324266,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1995,East,male,1751,0.8422363243737088,0.8176984218336025,0.866774226913815,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0249999999999995
1995,East,female,1940,2.6894476969718846,2.650096637766181,2.728798756177588,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1996,West,male,4533,0.7898883292490215,0.7759697766533022,0.8038068818447408,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1996,West,female,4817,2.9336230612002723,2.9074622181443504,2.959783904256194,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1996,East,male,1756,0.9513439400577911,0.9259004847937601,0.9767873953218221,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1996,East,female,1921,2.7176913471407738,2.681942121300834,2.7534405729807134,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1997,West,male,4461,0.7698690083554205,0.7546537040550332,0.7850843126558078,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1997,West,female,4714,2.870615707523837,2.8430938282925546,2.89813758675512,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1997,East,male,1742,0.9177381404957061,0.8922910100018632,0.9431852709895491,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1997,East,female,1887,2.6991947912488956,2.6601399934806347,2.7382495890171565,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1998,West,male,5013,0.7365566384106796,0.7236789270753063,0.7494343497460529,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1998,West,female,5344,2.634781601571534,2.6088998761445117,2.6606633269985567,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1998,East,male,1869,0.8820526935832445,0.8586725384576755,0.9054328487088134,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1998,East,female,1991,2.4421976394835068,2.4058605704834575,2.478534708483556,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1999,West,male,4789,0.757467604023185,0.7439092516653424,0.7710259563810277,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1999,West,female,5094,2.7982234064333706,2.772943833229114,2.8235029796376274,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1999,East,male,1816,0.8991367643393398,0.8768631050140268,0.9214104236646528,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1999,East,female,1958,2.5506110435377902,2.5129783108940247,2.5882437761815558,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2000,West,male,8780,0.8214855390244395,0.8113928015853057,0.8315782764635734,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2000,West,female,9455,2.8512975754794883,2.8331113295241144,2.869483821434862,2.0,3.0,4.0,0.0,7.0,3.0,3.0,4.0
2000,East,male,2796,0.9691759804117356,0.9503588771009397,0.9879930837225315,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2000,East,female,3048,2.5527746095154873,2.5258469529071883,2.5797022661237863,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2001,West,male,7899,0.7710755757691663,0.7603403923601921,0.7818107591781405,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2001,West,female,8570,2.708179697701063,2.689267348636617,2.727092046765509,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2001,East,male,2623,1.0074732913067492,0.9875238778761998,1.0274227047372988,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2001,East,female,2811,2.461629041140733,2.4326141233957084,2.4906439588857574,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2002,West,male,8489,0.8684745727232015,0.8581202029318338,0.8788289425145692,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2002,West,female,9088,2.7066656304007983,2.6896026838177844,2.723728576983812,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2002,East,male,2632,1.059887303770236,1.0405909830454756,1.0791836244949966,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2002,East,female,2795,2.51576223116161,2.487862256431463,2.543662205891757,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2003,West,male,8092,0.8089214072003399,0.7987785915426472,0.8190642228580326,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2003,West,female,8709,2.547970894588469,2.530703942459111,2.5652378467178267,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2003,East,male,2582,1.051774362852714,1.0314269251351913,1.0721218005702369,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2003,East,female,2757,2.432362914546722,2.4029124821348655,2.461813346958578,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2004,West,male,7874,0.8863943312160811,0.8763478563250687,0.8964408061070935,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2004,West,female,8495,2.621307101096685,2.6041813179134707,2.6384328842798994,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2004,East,male,2501,1.1333971035359405,1.113098121080893,1.153696085990988,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2004,East,female,2717,2.4151952679444366,2.387282535703379,2.4431080001854943,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2005,West,male,7470,0.8306358346372474,0.8198262787620909,0.841445390512404,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2005,West,female,8168,2.4651781607577,2.4477674810577397,2.48258884045766,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2005,East,male,2422,1.0336486921102428,1.0138173573354772,1.0534800268850084,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2005,East,female,2612,2.393595917691888,2.3652206808501854,2.421971154533591,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2006,West,male,7939,0.9123364140707868,0.902100962885348,0.9225718652562256,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2006,West,female,8740,2.564073605711735,2.5477030109231227,2.5804442005003474,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2006,East,male,2527,1.1217048081425074,1.1019208993026555,1.1414887169823593,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2006,East,female,2742,2.3723981110403662,2.3455668983530034,2.399229323727729,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2007,West,male,7353,0.8493709879711155,0.838937819713636,0.8598041562285951,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2007,West,female,8130,2.4298738035819594,2.4124274233989267,2.447320183764992,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2007,East,male,2412,1.0450207052354068,1.0252465773275867,1.0647948331432269,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2007,East,female,2594,2.358072855549628,2.32808727518251,2.388058435916746,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2008,West,male,6899,0.8684186184615045,0.8582109706142558,0.8786262663087532,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2008,West,female,7638,2.4228414601371813,2.4056714499531995,2.440011470321163,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2008,East,male,2305,1.0563920862369818,1.0370764408073245,1.075707731666639,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2008,East,female,2462,2.2842685504614892,2.2561667848692393,2.312370316053739,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2009,West,male,6408,0.8706504610181877,0.859005707719346,0.8822952143170293,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2009,West,female,7059,2.308266865289045,2.289453638284375,2.327080092293715,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2009,East,male,2186,1.0422048664554282,1.0217353715820594,1.062674361328797,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2009,East,female,2353,2.2364753560307022,2.206843318119863,2.2661073939415415,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2010,West,male,8398,0.9546877581889245,0.9447469835841047,0.9646285327937443,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2010,West,female,10094,2.325891690204546,2.311588877435112,2.3401945029739797,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2010,East,male,2509,1.1087604571983767,1.0909635620994584,1.126557352297295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,East,female,2958,2.1962015262284367,2.17247302825642,2.2199300242004534,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2011,West,male,9970,0.8570293121465732,0.8481591420461613,0.8658994822469851,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2011,West,female,12085,2.228361759633123,2.2148459314082047,2.2418775878580415,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2011,East,male,2878,1.063891287857783,1.0455154209685769,1.0822671547469893,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2011,East,female,3430,2.1929716522273375,2.1695967692373808,2.216346535217294,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2012,West,male,9733,0.9643583911510456,0.9556261224813487,0.9730906598207425,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2012,West,female,11726,2.24913722198639,2.236155507191094,2.2621189367816856,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2012,East,male,2819,1.0919317646001736,1.0754390818151947,1.1084244473851526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,East,female,3352,2.199345744409626,2.1773431562203194,2.2213483325989327,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2013,West,male,9008,0.891564495770204,0.8824148538925987,0.9007141376478094,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2013,West,female,10929,2.1239807250821006,2.110410135141973,2.137551315022228,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2013,East,male,2613,1.033413279803381,1.0144708921875791,1.052355667419183,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2013,East,female,3115,2.0622340066878424,2.0399554223966976,2.0845125909789872,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2014,West,male,9886,0.9517263491704812,0.9431969405534344,0.9602557577875279,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
2014,West,female,11590,2.127260045032891,2.1147150479156807,2.139805042150101,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
2014,East,male,2540,1.0539949185938047,1.0360559216376823,1.071933915549927,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
