year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,46-65 y.,2nd Quintile,529,3.5306606244697147,3.28014094741045,3.7811803015289795,1.0,3.0,5.0,0.0,11.0,3.0,2.0,3.0
1985,46-65 y.,3rd Quintile,641,3.352220824326203,3.128016367385856,3.5764252812665496,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1985,46-65 y.,4th Quintile,692,3.0941942228074772,2.881231468853584,3.3071569767613704,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1985,46-65 y.,5th Quintile,736,2.7664250899141254,2.5922528273386845,2.9405973524895663,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,66 and older,1st Quintile,248,3.3013956472854296,3.0391183108810877,3.5636729836897714,2.0,3.0,4.3420390124780965,0.0,7.855097531195241,3.0,2.0,3.0
1985,66 and older,2nd Quintile,244,3.341064776099416,3.0860702466913965,3.5960593055074357,2.0,3.0,4.0,0.0,7.0,3.0,2.9749999999999943,3.0
1985,66 and older,3rd Quintile,216,3.258285616416407,2.9187304358736745,3.5978407969591397,1.3762931940080785,3.0,5.0,0.0,10.435560208987882,3.0,3.0,4.0
1985,66 and older,4th Quintile,195,3.3065058852522453,3.0192239317181375,3.593787838786353,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
1985,66 and older,5th Quintile,161,2.7388685397821075,2.4379530546699644,3.0397840248942507,1.0,2.6864576158854305,4.0,0.0,8.5,3.0,3.0,4.0
1986,0-16 y.,1st Quintile,,,,,,,,,,,,
1986,0-16 y.,2nd Quintile,,,,,,,,,,,,
1986,0-16 y.,3rd Quintile,,,,,,,,,,,,
1986,0-16 y.,4th Quintile,,,,,,,,,,,,
1986,0-16 y.,5th Quintile,,,,,,,,,,,,
1986,17-29 y.,1st Quintile,638,2.0518655740675813,1.8825789579546512,2.2211521901805114,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1986,17-29 y.,2nd Quintile,579,1.8143476850447093,1.6343735435180058,1.9943218265714129,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,17-29 y.,3rd Quintile,582,1.5866975991006957,1.4435284761135356,1.7298667220878559,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0
1986,17-29 y.,4th Quintile,632,1.3686598903942577,1.2641264801866854,1.47319330060183,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1986,17-29 y.,5th Quintile,475,1.4341566135547235,1.300832495747833,1.567480731361614,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0
1986,30-45 y.,1st Quintile,577,3.7151679455447457,3.448747990900766,3.9815879001887255,1.0,3.0,6.0,0.0,13.5,3.0,3.0,3.0
1986,30-45 y.,2nd Quintile,652,3.277467918611064,3.0407525433018043,3.5141832939203232,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1986,30-45 y.,3rd Quintile,636,2.876321455470768,2.6693755781026067,3.0832673328389295,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,30-45 y.,4th Quintile,625,2.6109889274932008,2.4228049850516102,2.7991728699347913,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,30-45 y.,5th Quintile,662,2.0886911369916397,1.9412580082531972,2.236124265730082,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1986,46-65 y.,1st Quintile,539,3.6520968355101937,3.4184461766586343,3.885747494361753,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
1986,46-65 y.,2nd Quintile,511,3.361855331970737,3.1170327515267795,3.6066779124146944,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1986,46-65 y.,3rd Quintile,580,3.0548845724914817,2.838960804745662,3.2708083402373016,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1986,46-65 y.,4th Quintile,721,2.956437012853678,2.7570397588466786,3.155834266860677,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1986,46-65 y.,5th Quintile,733,2.6895694261792524,2.5067235300741975,2.8724153222843074,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,66 and older,1st Quintile,247,3.4494740437216747,3.1839796981441326,3.7149683892992167,2.0,3.0,4.0,0.0,7.0,3.0,2.0,3.0
1986,66 and older,2nd Quintile,238,3.1398851351528765,2.8743084675247346,3.4054618027810184,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0
