year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,Indirect migration background,1st Quintile,43,2.223452742437974,1.8623850236520945,2.584520461223854,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1986,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1986,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1986,Indirect migration background,4th Quintile,30,2.8062717038089784,2.239435399222979,3.373108008394978,0.8994734322642407,2.0,4.0,0.0,8.650789851603639,2.0,0.0,3.0
1986,Indirect migration background,5th Quintile,,,,,,,,,,,,
1987,No migration background,1st Quintile,1165,3.168850892842833,3.0979159001529593,3.2397858855327066,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1987,No migration background,2nd Quintile,1304,2.9226692372078333,2.854132441892522,2.9912060325231447,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,No migration background,3rd Quintile,1422,2.7716888936009014,2.7072516362493158,2.836126150952487,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,No migration background,4th Quintile,1591,2.4928163736057054,2.4384329941645246,2.547199753046886,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,No migration background,5th Quintile,1715,2.2425892694304435,2.1939460730562788,2.291232465804608,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0249999999999995
1987,Direct migration background,1st Quintile,765,3.169497797213659,3.0709547685949325,3.268040825832385,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1987,Direct migration background,2nd Quintile,621,2.8155113820470232,2.717270991378468,2.9137517727155786,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,Direct migration background,3rd Quintile,568,2.8483196551886696,2.748638994811956,2.948000315565383,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1987,Direct migration background,4th Quintile,502,2.1195320224904752,2.0337675798969546,2.205296465083996,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1987,Direct migration background,5th Quintile,277,2.416312557590655,2.2938148261437212,2.5388102890375888,1.0,2.0,4.0,0.0,8.5,2.0,2.0,3.0
1987,Indirect migration background,1st Quintile,46,2.0232021287348174,1.757389359914247,2.289014897555388,1.0,1.0,3.0,0.0,6.0,1.0,-1.0,1.0
1987,Indirect migration background,2nd Quintile,40,2.290704523221298,1.807675837187249,2.7737332092553473,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1987,Indirect migration background,3rd Quintile,30,2.1029832215636364,1.7283075017538931,2.4776589413733796,1.0,2.0,2.0,0.0,3.5,2.0,2.0,3.0
1987,Indirect migration background,4th Quintile,40,2.4883347930240043,2.2063328692129134,2.770336716835095,1.0,2.0,4.445131279729836,0.0,6.0,2.0,-1.0,3.0
1987,Indirect migration background,5th Quintile,,,,,,,,,,,,
1988,No migration background,1st Quintile,1103,3.009418506898009,2.9399441188796738,3.0788928949163443,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1988,No migration background,2nd Quintile,1245,2.838652148248963,2.7709061483983297,2.9063981480995964,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,No migration background,3rd Quintile,1400,2.6280044392194437,2.5638286931272534,2.692180185311634,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,No migration background,4th Quintile,1506,2.454459662978286,2.3990834570408293,2.5098358689157427,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,No migration background,5th Quintile,1619,2.2119743060182584,2.161203955041536,2.2627446569949807,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1988,Direct migration background,1st Quintile,742,3.096847731658385,2.9952177194541987,3.198477743862571,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1988,Direct migration background,2nd Quintile,623,2.8920289125805994,2.799531099745313,2.984526725415886,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1988,Direct migration background,3rd Quintile,502,2.639212184078172,2.54525008647945,2.733174281676894,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,Direct migration background,4th Quintile,484,2.2760598123083917,2.1851482452377797,2.3669713793790037,1.0,2.0,4.0,0.0,8.5,2.0,2.0,3.0
1988,Direct migration background,5th Quintile,243,2.3366078233799557,2.2137402799355916,2.4594753668243197,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1988,Indirect migration background,1st Quintile,66,1.3864983044077068,1.162386167616257,1.6106104411991566,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
