year,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,At least once per week,0.06507,512,4627,0.05796,0.07218
1990,male,At least once per month,0.08186,606,4627,0.07396,0.08976
1990,male,Seldom,0.20431,1356,4627,0.19269,0.21592
1990,male,Never,0.29805,2153,4627,0.28487,0.31123
1990,female,At least once per week,0.02297,171,4770,0.01872,0.02723
1990,female,At least once per month,0.03488,260,4770,0.02967,0.04008
1990,female,Seldom,0.13829,993,4770,0.12850,0.14809
1990,female,Never,0.46724,3346,4770,0.45308,0.48140
1995,male,At least once per week,0.05849,495,6340,0.05271,0.06427
1995,male,At least once per month,0.08301,693,6340,0.07622,0.08980
1995,male,Seldom,0.26383,2076,6340,0.25298,0.27468
1995,male,Never,0.39639,3076,6340,0.38435,0.40843
1995,female,At least once per week,0.02238,172,6814,0.01887,0.02589
1995,female,At least once per month,0.03729,332,6814,0.03279,0.04179
1995,female,Seldom,0.17363,1482,6814,0.16464,0.18263
1995,female,Never,0.58925,4828,6814,0.57757,0.60093
1998,male,At least once per week,0.06163,526,6833,0.05593,0.06733
1998,male,At least once per month,0.09290,786,6833,0.08601,0.09978
1998,male,Seldom,0.27822,2388,6833,0.26760,0.28885
1998,male,Never,0.37599,3133,6833,0.36450,0.38747
1998,female,At least once per week,0.02228,195,7252,0.01888,0.02568
1998,female,At least once per month,0.03475,333,7252,0.03054,0.03897
1998,female,Seldom,0.20456,1864,7252,0.19528,0.21385
1998,female,Never,0.55880,4860,7252,0.54737,0.57023
2003,male,At least once per week,0.05385,717,10574,0.04955,0.05815
2003,male,At least once per month,0.08992,1174,10574,0.08446,0.09537
2003,male,Seldom,0.28072,3710,10574,0.27215,0.28928
2003,male,Never,0.39241,4973,10574,0.38310,0.40171
2003,female,At least once per week,0.02445,384,11377,0.02161,0.02728
2003,female,At least once per month,0.03679,599,11377,0.03333,0.04025
2003,female,Seldom,0.18846,2809,11377,0.18127,0.19565
2003,female,Never,0.58018,7585,11377,0.57111,0.58925
2008,male,At least once per week,0.05419,573,9141,0.04954,0.05883
2008,male,At least once per month,0.09677,1061,9141,0.09071,0.10283
2008,male,Seldom,0.28471,3166,9141,0.27546,0.29396
2008,male,Never,0.39027,4341,9141,0.38027,0.40027
2008,female,At least once per week,0.02774,345,10042,0.02453,0.03095
2008,female,At least once per month,0.04398,543,10042,0.03997,0.04799
2008,female,Seldom,0.20271,2573,10042,0.19485,0.21058
2008,female,Never,0.56645,6581,10042,0.55675,0.57614
2013,male,At least once per week,0.05939,916,11474,0.05506,0.06371
2013,male,At least once per month,0.09431,1437,11474,0.08896,0.09966
2013,male,Seldom,0.25775,3930,11474,0.24975,0.26576
2013,male,Never,0.33591,5191,11474,0.32726,0.34455
2013,female,At least once per week,0.02981,697,13860,0.02698,0.03264
2013,female,At least once per month,0.04734,996,13860,0.04380,0.05087
2013,female,Seldom,0.19983,3701,13860,0.19318,0.20649
2013,female,Never,0.48794,8466,13860,0.47962,0.49627
2017,male,Daily,0.00014,42,2252,-0.00035,0.00062
2017,male,At least once per week,0.00067,187,2252,-0.00040,0.00173
2017,male,At least once per month,0.00056,176,2252,-0.00042,0.00154
2017,male,Seldom,0.00142,448,2252,-0.00014,0.00297
2017,male,Never,0.00447,1399,2252,0.00172,0.00723
2017,female,At least once per week,0.00008,47,1700,-0.00034,0.00050
2017,female,At least once per month,0.00008,37,1700,-0.00034,0.00050
2017,female,Seldom,0.00033,164,1700,-0.00053,0.00120
2017,female,Never,0.00343,1452,1700,0.00065,0.00622
2018,male,At least once per week,0.00080,215,1851,-0.00049,0.00209
2018,male,At least once per month,0.00093,220,1851,-0.00046,0.00231
2018,male,Seldom,0.00176,420,1851,-0.00015,0.00366
2018,male,Never,0.00383,996,1851,0.00102,0.00665
2018,female,At least once per week,0.00008,36,1284,-0.00041,0.00057
2018,female,At least once per month,0.00014,61,1284,-0.00051,0.00079
2018,female,Seldom,0.00042,185,1284,-0.00070,0.00155
2018,female,Never,0.00309,1002,1284,0.00005,0.00612
2019,male,Daily,0.00209,57,14076,0.00133,0.00284
2019,male,At least once per week,0.05681,1162,14076,0.05299,0.06063
2019,male,At least once per month,0.11478,1859,14076,0.10951,0.12004
2019,male,Seldom,0.28310,4637,14076,0.27566,0.29054
2019,male,Never,0.37178,6361,14076,0.36380,0.37977
2019,female,At least once per week,0.03251,676,14637,0.02964,0.03539
2019,female,At least once per month,0.05470,1038,14637,0.05102,0.05839
2019,female,Seldom,0.21530,3901,14637,0.20864,0.22195
2019,female,Never,0.53725,9022,14637,0.52917,0.54533
