year,sampreg,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,At least once per week,0.05467,683,9397,0.05008,0.05927
1990,West,At least once per month,0.07267,866,9397,0.06742,0.07792
1990,West,Seldom,0.21472,2349,9397,0.20641,0.22302
1990,West,Never,0.48599,5499,9397,0.47589,0.49610
1995,West,At least once per week,0.04287,531,9495,0.03880,0.04695
1995,West,At least once per month,0.06372,815,9495,0.05881,0.06864
1995,West,Seldom,0.22176,2567,9495,0.21340,0.23012
1995,West,Never,0.48337,5582,9495,0.47332,0.49343
1995,East,At least once per week,0.02791,136,3659,0.02258,0.03325
1995,East,At least once per month,0.04226,210,3659,0.03574,0.04878
1995,East,Seldom,0.20026,991,3659,0.18729,0.21323
1995,East,Never,0.54475,2322,3659,0.52861,0.56089
1998,West,At least once per week,0.04436,572,10263,0.04038,0.04835
1998,West,At least once per month,0.06616,873,10263,0.06135,0.07097
1998,West,Seldom,0.24401,3124,10263,0.23570,0.25232
1998,West,Never,0.45752,5694,10263,0.44788,0.46716
1998,East,At least once per week,0.02932,149,3822,0.02397,0.03467
1998,East,At least once per month,0.05034,246,3822,0.04341,0.05728
1998,East,Seldom,0.22579,1128,3822,0.21253,0.23905
1998,East,Never,0.52052,2299,3822,0.50468,0.53636
2003,West,At least once per week,0.04092,899,16650,0.03791,0.04393
2003,West,At least once per month,0.06468,1424,16650,0.06094,0.06841
2003,West,Seldom,0.23061,4907,16650,0.22421,0.23701
2003,West,Never,0.47934,9420,16650,0.47175,0.48693
2003,East,At least once per week,0.02955,202,5301,0.02499,0.03411
2003,East,At least once per month,0.05455,349,5301,0.04844,0.06066
2003,East,Seldom,0.24767,1612,5301,0.23605,0.25930
2003,East,Never,0.52773,3138,5301,0.51429,0.54117
2008,West,At least once per week,0.04159,722,14438,0.03833,0.04484
2008,West,At least once per month,0.07294,1311,14438,0.06870,0.07718
2008,West,Seldom,0.24253,4361,14438,0.23554,0.24953
2008,West,Never,0.46816,8044,14438,0.46002,0.47630
2008,East,At least once per week,0.03676,196,4745,0.03140,0.04211
2008,East,At least once per month,0.05592,293,4745,0.04938,0.06246
2008,East,Seldom,0.24503,1378,4745,0.23279,0.25727
2008,East,Never,0.53408,2878,4745,0.51989,0.54828
2013,West,Daily,0.00146,38,19689,0.00092,0.00199
2013,West,At least once per week,0.04568,1359,19689,0.04276,0.04859
2013,West,At least once per month,0.07124,1999,19689,0.06765,0.07484
2013,West,Seldom,0.22517,5984,19689,0.21933,0.23100
2013,West,Never,0.39808,10309,19689,0.39124,0.40491
2013,East,At least once per week,0.03796,254,5683,0.03299,0.04293
2013,East,At least once per month,0.06636,434,5683,0.05989,0.07284
2013,East,Seldom,0.24283,1647,5683,0.23168,0.25398
2013,East,Never,0.48519,3348,5683,0.47219,0.49818
2017,West,Daily,0.00008,38,3377,-0.00022,0.00038
2017,West,At least once per week,0.00037,200,3377,-0.00028,0.00102
2017,West,At least once per month,0.00029,175,3377,-0.00028,0.00087
2017,West,Seldom,0.00089,528,3377,-0.00012,0.00189
2017,West,Never,0.00397,2436,3377,0.00185,0.00609
2017,East,At least once per week,0.00035,34,571,-0.00119,0.00190
2017,East,At least once per month,0.00044,38,571,-0.00128,0.00217
2017,East,Seldom,0.00078,84,571,-0.00151,0.00308
2017,East,Never,0.00384,415,571,-0.00124,0.00891
2018,West,At least once per week,0.00044,212,2665,-0.00036,0.00124
2018,West,At least once per month,0.00054,245,2665,-0.00034,0.00141
2018,West,Seldom,0.00116,547,2665,-0.00013,0.00246
2018,West,Never,0.00343,1661,2665,0.00121,0.00564
2018,East,At least once per week,0.00042,39,470,-0.00144,0.00228
2018,East,At least once per month,0.00050,36,470,-0.00153,0.00253
2018,East,Seldom,0.00069,58,470,-0.00169,0.00306
2018,East,Never,0.00360,337,470,-0.00182,0.00901
2019,West,Daily,0.00206,62,22712,0.00147,0.00265
2019,West,At least once per week,0.04592,1547,22712,0.04320,0.04864
2019,West,At least once per month,0.08671,2337,22712,0.08305,0.09037
2019,West,Seldom,0.24563,6674,22712,0.24004,0.25123
2019,West,Never,0.45293,12092,22712,0.44646,0.45940
2019,East,At least once per week,0.03772,287,5937,0.03288,0.04257
2019,East,At least once per month,0.07312,554,5937,0.06650,0.07975
2019,East,Seldom,0.26442,1846,5937,0.25320,0.27564
2019,East,Never,0.46626,3250,5937,0.45356,0.47895
