year,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,At least once per week,0.04334,683,9397,0.03922,0.04745
1990,At least once per month,0.05760,866,9397,0.05289,0.06231
1990,Seldom,0.17020,2349,9397,0.16260,0.17780
1990,Never,0.38523,5499,9397,0.37539,0.39507
1995,At least once per week,0.03998,667,13154,0.03664,0.04333
1995,At least once per month,0.05958,1025,13154,0.05553,0.06362
1995,Seldom,0.21761,3558,13154,0.21056,0.22466
1995,Never,0.49522,7904,13154,0.48667,0.50376
1998,At least once per week,0.04151,721,14085,0.03822,0.04481
1998,At least once per month,0.06317,1119,14085,0.05915,0.06718
1998,Seldom,0.24056,4252,14085,0.23350,0.24762
1998,Never,0.46946,7993,14085,0.46121,0.47770
2003,Daily,0.00112,31,21982,0.00068,0.00156
2003,At least once per week,0.03886,1101,21982,0.03631,0.04142
2003,At least once per month,0.06284,1773,21982,0.05963,0.06605
2003,Seldom,0.23370,6519,21982,0.22810,0.23929
2003,Never,0.48810,12558,21982,0.48149,0.49471
2008,Daily,0.00093,32,19215,0.00050,0.00136
2008,At least once per week,0.04073,918,19215,0.03793,0.04352
2008,At least once per month,0.06990,1604,19215,0.06630,0.07351
2008,Seldom,0.24298,5739,19215,0.23691,0.24904
2008,Never,0.47993,10922,19215,0.47287,0.48700
2013,Daily,0.00172,45,25379,0.00121,0.00223
2013,At least once per week,0.04433,1613,25379,0.04179,0.04686
2013,At least once per month,0.07039,2433,25379,0.06724,0.07354
2013,Seldom,0.22826,7631,25379,0.22309,0.23342
2013,Never,0.41332,13657,25379,0.40726,0.41938
2017,Daily,0.00008,47,3957,-0.00020,0.00035
2017,At least once per week,0.00037,234,3957,-0.00023,0.00097
2017,At least once per month,0.00032,213,3957,-0.00024,0.00088
2017,Seldom,0.00087,612,3957,-0.00005,0.00179
2017,Never,0.00395,2851,3957,0.00199,0.00590
2018,At least once per week,0.00044,251,3135,-0.00029,0.00117
2018,At least once per month,0.00053,281,3135,-0.00028,0.00134
2018,Seldom,0.00108,605,3135,-0.00007,0.00223
2018,Never,0.00346,1998,3135,0.00140,0.00551
2019,Daily,0.00199,79,28742,0.00147,0.00250
2019,At least once per week,0.04451,1838,28742,0.04213,0.04689
2019,At least once per month,0.08437,2897,28742,0.08116,0.08759
2019,Seldom,0.24880,8540,28742,0.24381,0.25380
2019,Never,0.45530,15388,28742,0.44954,0.46105
