year,quintil_oecd,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,At least once per week,0.03433,100,1871,0.02608,0.04259
1990,1st Quintile,At least once per month,0.03838,113,1871,0.02967,0.04708
1990,1st Quintile,Seldom,0.14536,342,1871,0.12939,0.16134
1990,1st Quintile,Never,0.55288,1316,1871,0.53035,0.57542
1990,2nd Quintile,At least once per week,0.05895,154,1877,0.04829,0.06961
1990,2nd Quintile,At least once per month,0.06703,179,1877,0.05571,0.07834
1990,2nd Quintile,Seldom,0.18258,432,1877,0.16510,0.20006
1990,2nd Quintile,Never,0.46588,1112,1877,0.44331,0.48845
1990,3rd Quintile,At least once per week,0.05742,150,1900,0.04696,0.06789
1990,3rd Quintile,At least once per month,0.08108,201,1900,0.06880,0.09336
1990,3rd Quintile,Seldom,0.21469,470,1900,0.19622,0.23316
1990,3rd Quintile,Never,0.46266,1079,1900,0.44023,0.48508
1990,4th Quintile,At least once per week,0.06534,154,1929,0.05431,0.07637
1990,4th Quintile,At least once per month,0.08766,188,1929,0.07503,0.10028
1990,4th Quintile,Seldom,0.25046,541,1929,0.23112,0.26980
1990,4th Quintile,Never,0.48072,1046,1929,0.45842,0.50303
1990,5th Quintile,At least once per week,0.05743,125,1817,0.04673,0.06813
1990,5th Quintile,At least once per month,0.08935,185,1817,0.07623,0.10247
1990,5th Quintile,Seldom,0.28090,564,1817,0.26022,0.30157
1990,5th Quintile,Never,0.46758,943,1817,0.44463,0.49053
1995,1st Quintile,At least once per week,0.03248,105,2514,0.02555,0.03941
1995,1st Quintile,At least once per month,0.04310,151,2514,0.03516,0.05104
1995,1st Quintile,Seldom,0.14655,503,2514,0.13272,0.16038
1995,1st Quintile,Never,0.51441,1755,2514,0.49487,0.53395
1995,2nd Quintile,At least once per week,0.03073,137,2837,0.02438,0.03708
1995,2nd Quintile,At least once per month,0.05726,209,2837,0.04871,0.06581
1995,2nd Quintile,Seldom,0.18574,685,2837,0.17143,0.20005
1995,2nd Quintile,Never,0.50551,1806,2837,0.48711,0.52391
1995,3rd Quintile,At least once per week,0.04182,136,2691,0.03425,0.04938
1995,3rd Quintile,At least once per month,0.06306,224,2691,0.05388,0.07225
1995,3rd Quintile,Seldom,0.21747,765,2691,0.20188,0.23306
1995,3rd Quintile,Never,0.48171,1566,2691,0.46282,0.50059
1995,4th Quintile,At least once per week,0.05858,181,2653,0.04964,0.06752
1995,4th Quintile,At least once per month,0.06456,239,2653,0.05520,0.07391
1995,4th Quintile,Seldom,0.25202,795,2653,0.23550,0.26855
1995,4th Quintile,Never,0.47920,1438,2653,0.46019,0.49822
1995,5th Quintile,At least once per week,0.03641,108,2455,0.02900,0.04382
1995,5th Quintile,At least once per month,0.07005,202,2455,0.05995,0.08014
1995,5th Quintile,Seldom,0.28675,810,2455,0.26885,0.30464
1995,5th Quintile,Never,0.49416,1335,2455,0.47438,0.51394
1998,1st Quintile,At least once per week,0.03207,110,2309,0.02488,0.03925
1998,1st Quintile,At least once per month,0.05166,149,2309,0.04263,0.06069
1998,1st Quintile,Seldom,0.16945,545,2309,0.15414,0.18475
1998,1st Quintile,Never,0.49138,1505,2309,0.47098,0.51177
1998,2nd Quintile,At least once per week,0.03732,137,2540,0.02995,0.04469
1998,2nd Quintile,At least once per month,0.04712,180,2540,0.03888,0.05536
1998,2nd Quintile,Seldom,0.20418,719,2540,0.18850,0.21986
1998,2nd Quintile,Never,0.47956,1504,2540,0.46013,0.49899
1998,3rd Quintile,At least once per week,0.04300,115,2516,0.03507,0.05093
1998,3rd Quintile,At least once per month,0.05940,196,2516,0.05016,0.06863
1998,3rd Quintile,Seldom,0.25132,792,2516,0.23437,0.26827
1998,3rd Quintile,Never,0.46126,1413,2516,0.44178,0.48075
1998,4th Quintile,At least once per week,0.04344,136,2573,0.03556,0.05131
1998,4th Quintile,At least once per month,0.06429,207,2573,0.05481,0.07377
1998,4th Quintile,Seldom,0.29085,885,2573,0.27329,0.30840
1998,4th Quintile,Never,0.46068,1345,2573,0.44142,0.47995
1998,5th Quintile,At least once per week,0.04320,104,2260,0.03482,0.05159
1998,5th Quintile,At least once per month,0.07614,205,2260,0.06521,0.08708
1998,5th Quintile,Seldom,0.29743,781,2260,0.27858,0.31628
1998,5th Quintile,Never,0.46156,1170,2260,0.44100,0.48212
2003,1st Quintile,At least once per week,0.02644,119,3355,0.02101,0.03187
2003,1st Quintile,At least once per month,0.04026,193,3355,0.03360,0.04691
2003,1st Quintile,Seldom,0.15508,685,3355,0.14283,0.16733
2003,1st Quintile,Never,0.55691,2358,3355,0.54009,0.57372
2003,2nd Quintile,At least once per week,0.03956,201,3836,0.03339,0.04573
2003,2nd Quintile,At least once per month,0.04978,259,3836,0.04290,0.05666
2003,2nd Quintile,Seldom,0.18198,893,3836,0.16977,0.19419
2003,2nd Quintile,Never,0.51803,2483,3836,0.50221,0.53384
2003,3rd Quintile,At least once per week,0.04265,225,4091,0.03646,0.04884
2003,3rd Quintile,At least once per month,0.06219,338,4091,0.05478,0.06959
2003,3rd Quintile,Seldom,0.24372,1224,4091,0.23057,0.25688
2003,3rd Quintile,Never,0.46427,2304,4091,0.44898,0.47955
2003,4th Quintile,At least once per week,0.04406,245,4385,0.03798,0.05013
2003,4th Quintile,At least once per month,0.08569,414,4385,0.07741,0.09398
2003,4th Quintile,Seldom,0.27383,1464,4385,0.26063,0.28703
2003,4th Quintile,Never,0.44673,2262,4385,0.43201,0.46145
2003,5th Quintile,At least once per week,0.04167,311,6280,0.03673,0.04661
2003,5th Quintile,At least once per month,0.07625,568,6280,0.06969,0.08282
2003,5th Quintile,Seldom,0.31359,2252,6280,0.30211,0.32506
2003,5th Quintile,Never,0.45468,3149,6280,0.44236,0.46700
2008,1st Quintile,At least once per week,0.03254,118,2992,0.02618,0.03890
2008,1st Quintile,At least once per month,0.04379,155,2992,0.03645,0.05112
2008,1st Quintile,Seldom,0.16130,616,2992,0.14812,0.17448
2008,1st Quintile,Never,0.55653,2103,2992,0.53872,0.57433
2008,2nd Quintile,At least once per week,0.03630,158,3335,0.02995,0.04264
2008,2nd Quintile,At least once per month,0.05758,227,3335,0.04967,0.06549
2008,2nd Quintile,Seldom,0.19697,836,3335,0.18347,0.21047
2008,2nd Quintile,Never,0.51533,2114,3335,0.49836,0.53229
2008,3rd Quintile,At least once per week,0.04445,192,3735,0.03784,0.05106
2008,3rd Quintile,At least once per month,0.07520,319,3735,0.06674,0.08366
2008,3rd Quintile,Seldom,0.24642,1082,3735,0.23260,0.26024
2008,3rd Quintile,Never,0.45841,2142,3735,0.44243,0.47439
2008,4th Quintile,At least once per week,0.05391,223,3913,0.04683,0.06098
2008,4th Quintile,At least once per month,0.08543,369,3913,0.07667,0.09419
2008,4th Quintile,Seldom,0.28230,1332,3913,0.26820,0.29641
2008,4th Quintile,Never,0.43080,1989,3913,0.41528,0.44632
2008,5th Quintile,At least once per week,0.03646,227,5206,0.03137,0.04155
2008,5th Quintile,At least once per month,0.08760,534,5206,0.07992,0.09528
2008,5th Quintile,Seldom,0.32820,1872,5206,0.31544,0.34095
2008,5th Quintile,Never,0.43816,2573,5206,0.42468,0.45164
2013,1st Quintile,At least once per week,0.03385,272,5099,0.02889,0.03881
2013,1st Quintile,At least once per month,0.05968,363,5099,0.05318,0.06619
2013,1st Quintile,Seldom,0.16157,1071,5099,0.15147,0.17167
2013,1st Quintile,Never,0.53832,3393,5099,0.52463,0.55200
2013,2nd Quintile,At least once per week,0.04947,345,5130,0.04353,0.05540
2013,2nd Quintile,At least once per month,0.06239,427,5130,0.05577,0.06901
2013,2nd Quintile,Seldom,0.22301,1412,5130,0.21162,0.23440
2013,2nd Quintile,Never,0.48390,2946,5130,0.47022,0.49758
2013,3rd Quintile,At least once per week,0.04896,338,4860,0.04289,0.05503
2013,3rd Quintile,At least once per month,0.08119,489,4860,0.07351,0.08887
2013,3rd Quintile,Seldom,0.24864,1533,4860,0.23649,0.26079
2013,3rd Quintile,Never,0.44928,2500,4860,0.43529,0.46327
2013,4th Quintile,At least once per week,0.06278,348,4836,0.05594,0.06961
2013,4th Quintile,At least once per month,0.08666,552,4836,0.07873,0.09459
2013,4th Quintile,Seldom,0.30136,1701,4836,0.28843,0.31429
2013,4th Quintile,Never,0.40096,2235,4836,0.38714,0.41477
2013,5th Quintile,At least once per week,0.04784,309,5405,0.04215,0.05353
2013,5th Quintile,At least once per month,0.09604,602,5405,0.08818,0.10389
2013,5th Quintile,Seldom,0.31403,1914,5405,0.30165,0.32640
2013,5th Quintile,Never,0.42573,2580,5405,0.41255,0.43891
2017,1st Quintile,At least once per week,0.00122,91,1491,-0.00055,0.00299
2017,1st Quintile,At least once per month,0.00096,90,1491,-0.00061,0.00254
2017,1st Quintile,Seldom,0.00272,244,1491,0.00008,0.00537
2017,1st Quintile,Never,0.00986,1066,1491,0.00484,0.01487
2017,2nd Quintile,Never,0.00041,59,59,-0.00478,0.00559
2018,1st Quintile,At least once per week,0.00170,188,2371,0.00004,0.00335
2018,1st Quintile,At least once per month,0.00234,217,2371,0.00040,0.00429
2018,1st Quintile,Seldom,0.00448,462,2371,0.00179,0.00717
