year,regtyp,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.04546,508,7439,0.04073,0.05020
1990,Urban regions,At least once per month,0.06572,699,7439,0.06009,0.07136
1990,Urban regions,Seldom,0.18743,1790,7439,0.17856,0.19630
1990,Urban regions,Never,0.44371,4442,7439,0.43242,0.45501
1990,Rural regions,At least once per week,0.03933,175,1958,0.03071,0.04794
1990,Rural regions,At least once per month,0.04089,167,1958,0.03212,0.04967
1990,Rural regions,Seldom,0.13536,559,1958,0.12020,0.15052
1990,Rural regions,Never,0.26455,1057,1958,0.24501,0.28409
1995,Urban regions,At least once per week,0.03928,434,8625,0.03518,0.04338
1995,Urban regions,At least once per month,0.05695,668,8625,0.05205,0.06184
1995,Urban regions,Seldom,0.21317,2224,8625,0.20453,0.22182
1995,Urban regions,Never,0.50790,5299,8625,0.49735,0.51845
1995,Rural regions,At least once per week,0.04147,233,4529,0.03566,0.04728
1995,Rural regions,At least once per month,0.06517,357,4529,0.05798,0.07236
1995,Rural regions,Seldom,0.22703,1334,4529,0.21483,0.23923
1995,Rural regions,Never,0.46830,2605,4529,0.45377,0.48283
1998,Urban regions,At least once per week,0.03835,436,9169,0.03442,0.04228
1998,Urban regions,At least once per month,0.06282,717,9169,0.05786,0.06779
1998,Urban regions,Seldom,0.24180,2713,9169,0.23304,0.25057
1998,Urban regions,Never,0.47674,5303,9169,0.46652,0.48697
1998,Rural regions,At least once per week,0.04832,285,4916,0.04233,0.05432
1998,Rural regions,At least once per month,0.06390,402,4916,0.05707,0.07074
1998,Rural regions,Seldom,0.23789,1539,4916,0.22598,0.24979
1998,Rural regions,Never,0.45378,2690,4916,0.43986,0.46770
2003,Urban regions,At least once per week,0.03739,712,14577,0.03431,0.04047
2003,Urban regions,At least once per month,0.06170,1177,14577,0.05779,0.06561
2003,Urban regions,Seldom,0.22614,4219,14577,0.21934,0.23293
2003,Urban regions,Never,0.49591,8469,14577,0.48779,0.50403
2003,Rural regions,At least once per week,0.04205,389,7374,0.03746,0.04663
2003,Rural regions,At least once per month,0.06530,596,7374,0.05966,0.07094
2003,Rural regions,Seldom,0.25000,2300,7374,0.24011,0.25988
2003,Rural regions,Never,0.47128,4089,7374,0.45988,0.48267
2008,Urban regions,At least once per week,0.03602,550,12575,0.03276,0.03928
2008,Urban regions,At least once per month,0.07091,1060,12575,0.06642,0.07540
2008,Urban regions,Seldom,0.24406,3796,12575,0.23655,0.25157
2008,Urban regions,Never,0.47926,7169,12575,0.47053,0.48799
2008,Rural regions,At least once per week,0.05077,368,6608,0.04548,0.05607
2008,Rural regions,At least once per month,0.06775,544,6608,0.06169,0.07381
2008,Rural regions,Seldom,0.24067,1943,6608,0.23036,0.25098
2008,Rural regions,Never,0.48137,3753,6608,0.46932,0.49341
2013,Urban regions,Daily,0.00202,32,16096,0.00133,0.00272
2013,Urban regions,At least once per week,0.04157,989,16096,0.03848,0.04465
2013,Urban regions,At least once per month,0.06749,1534,16096,0.06361,0.07136
2013,Urban regions,Seldom,0.21915,4764,16096,0.21276,0.22554
2013,Urban regions,Never,0.41093,8777,16096,0.40333,0.41853
2013,Rural regions,At least once per week,0.05003,624,9270,0.04559,0.05447
2013,Rural regions,At least once per month,0.07639,899,9270,0.07099,0.08180
2013,Rural regions,Seldom,0.24709,2867,9270,0.23830,0.25587
2013,Rural regions,Never,0.41825,4880,9270,0.40821,0.42830
2017,Urban regions,Daily,0.00006,32,2749,-0.00023,0.00036
2017,Urban regions,At least once per week,0.00037,145,2749,-0.00035,0.00108
2017,Urban regions,At least once per month,0.00034,146,2749,-0.00035,0.00104
2017,Urban regions,Seldom,0.00093,433,2749,-0.00021,0.00207
2017,Urban regions,Never,0.00394,1993,2749,0.00160,0.00629
2017,Rural regions,At least once per week,0.00038,89,1193,-0.00073,0.00148
2017,Rural regions,At least once per month,0.00027,67,1193,-0.00066,0.00119
2017,Rural regions,Seldom,0.00075,179,1193,-0.00080,0.00229
2017,Rural regions,Never,0.00396,858,1193,0.00039,0.00752
2018,Urban regions,At least once per week,0.00046,181,2292,-0.00042,0.00133
2018,Urban regions,At least once per month,0.00053,209,2292,-0.00041,0.00148
2018,Urban regions,Seldom,0.00114,453,2292,-0.00024,0.00253
2018,Urban regions,Never,0.00365,1449,2292,0.00118,0.00612
2018,Rural regions,At least once per week,0.00039,70,843,-0.00095,0.00173
2018,Rural regions,At least once per month,0.00052,72,843,-0.00102,0.00206
2018,Rural regions,Seldom,0.00095,152,843,-0.00113,0.00303
2018,Rural regions,Never,0.00302,549,843,-0.00069,0.00673
2019,Urban regions,Daily,0.00162,52,18584,0.00104,0.00220
2019,Urban regions,At least once per week,0.04329,1187,18584,0.04036,0.04622
2019,Urban regions,At least once per month,0.08241,1837,18584,0.07845,0.08636
2019,Urban regions,Seldom,0.24724,5439,18584,0.24104,0.25344
2019,Urban regions,Never,0.45938,10069,18584,0.45222,0.46655
2019,Rural regions,At least once per week,0.04858,637,9579,0.04427,0.05288
2019,Rural regions,At least once per month,0.08933,1017,9579,0.08362,0.09504
2019,Rural regions,Seldom,0.25346,2943,9579,0.24475,0.26217
2019,Rural regions,Never,0.44246,4982,9579,0.43252,0.45241
