year,migback,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,At least once per week,0.04329,456,6604,0.03838,0.04820
1990,No migration background,At least once per month,0.05755,612,6604,0.05193,0.06317
1990,No migration background,Seldom,0.17303,1834,6604,0.16390,0.18215
1990,No migration background,Never,0.37935,3702,6604,0.36764,0.39105
1990,Direct migration background,At least once per week,0.05171,185,2501,0.04303,0.06039
1990,Direct migration background,At least once per month,0.07164,211,2501,0.06153,0.08175
1990,Direct migration background,Seldom,0.18980,432,2501,0.17443,0.20518
1990,Direct migration background,Never,0.56653,1673,2501,0.54710,0.58595
1990,Indirect migration background,At least once per week,0.02399,42,292,0.00641,0.04157
1990,Indirect migration background,At least once per month,0.02444,43,292,0.00670,0.04218
1990,Indirect migration background,Seldom,0.05050,83,292,0.02534,0.07566
1990,Indirect migration background,Never,0.08915,124,292,0.05641,0.12189
1995,No migration background,At least once per week,0.03962,477,9912,0.03578,0.04346
1995,No migration background,At least once per month,0.06101,760,9912,0.05629,0.06572
1995,No migration background,Seldom,0.22837,2887,9912,0.22010,0.23663
1995,No migration background,Never,0.49389,5788,9912,0.48404,0.50373
1995,Direct migration background,At least once per week,0.04427,133,2751,0.03658,0.05196
1995,Direct migration background,At least once per month,0.05764,182,2751,0.04893,0.06635
1995,Direct migration background,Seldom,0.19293,531,2751,0.17818,0.20768
1995,Direct migration background,Never,0.63289,1905,2751,0.61487,0.65090
1995,Indirect migration background,At least once per week,0.03515,57,491,0.01884,0.05145
1995,Indirect migration background,At least once per month,0.03887,83,491,0.02176,0.05599
1995,Indirect migration background,Seldom,0.08847,140,491,0.06332,0.11361
1995,Indirect migration background,Never,0.14886,211,491,0.11735,0.18038
1998,No migration background,At least once per week,0.04099,554,11116,0.03730,0.04467
1998,No migration background,At least once per month,0.06637,902,11116,0.06174,0.07099
1998,No migration background,Seldom,0.25056,3516,11116,0.24250,0.25861
1998,No migration background,Never,0.46860,6144,11116,0.45932,0.47788
1998,Direct migration background,At least once per week,0.04347,112,2379,0.03527,0.05166
1998,Direct migration background,At least once per month,0.05078,144,2379,0.04196,0.05960
1998,Direct migration background,Seldom,0.21936,519,2379,0.20273,0.23599
1998,Direct migration background,Never,0.62481,1604,2379,0.60535,0.64427
1998,Indirect migration background,At least once per week,0.04519,55,590,0.02841,0.06196
1998,Indirect migration background,At least once per month,0.04173,73,590,0.02558,0.05788
1998,Indirect migration background,Seldom,0.13665,217,590,0.10891,0.16439
1998,Indirect migration background,Never,0.15439,245,590,0.12521,0.18357
2003,No migration background,At least once per week,0.03855,927,18602,0.03578,0.04131
2003,No migration background,At least once per month,0.06638,1535,18602,0.06280,0.06995
2003,No migration background,Seldom,0.25103,5802,18602,0.24480,0.25726
2003,No migration background,Never,0.48678,10338,18602,0.47960,0.49397
2003,Direct migration background,At least once per week,0.04035,118,2587,0.03277,0.04794
2003,Direct migration background,At least once per month,0.04824,148,2587,0.03998,0.05649
2003,Direct migration background,Seldom,0.18033,493,2587,0.16551,0.19515
2003,Direct migration background,Never,0.66562,1828,2587,0.64744,0.68380
2003,Indirect migration background,At least once per week,0.04029,56,762,0.02632,0.05426
2003,Indirect migration background,At least once per month,0.04339,90,762,0.02891,0.05786
2003,Indirect migration background,Seldom,0.10629,224,762,0.08439,0.12819
2003,Indirect migration background,Never,0.19377,392,762,0.16569,0.22186
2008,No migration background,At least once per week,0.04073,796,16536,0.03772,0.04374
2008,No migration background,At least once per month,0.07181,1399,16536,0.06788,0.07575
2008,No migration background,Seldom,0.25795,5122,16536,0.25128,0.26462
2008,No migration background,Never,0.47821,9219,16536,0.47059,0.48582
2008,Direct migration background,At least once per week,0.04049,73,1897,0.03162,0.04936
2008,Direct migration background,At least once per month,0.05731,108,1897,0.04684,0.06777
2008,Direct migration background,Seldom,0.19527,380,1897,0.17742,0.21311
2008,Direct migration background,Never,0.67972,1336,1897,0.65872,0.70072
2008,Indirect migration background,At least once per week,0.04102,49,750,0.02682,0.05523
2008,Indirect migration background,At least once per month,0.06776,97,750,0.04976,0.08576
2008,Indirect migration background,Seldom,0.15546,237,750,0.12951,0.18141
2008,Indirect migration background,Never,0.22045,367,750,0.19076,0.25014
2013,No migration background,Daily,0.00184,33,21505,0.00126,0.00241
2013,No migration background,At least once per week,0.04930,1364,21505,0.04641,0.05220
2013,No migration background,At least once per month,0.07915,2124,21505,0.07554,0.08275
2013,No migration background,Seldom,0.26065,6728,21505,0.25478,0.26651
2013,No migration background,Never,0.44979,11256,21505,0.44314,0.45644
2013,Direct migration background,At least once per week,0.02561,155,2743,0.01969,0.03152
2013,Direct migration background,At least once per month,0.03593,173,2743,0.02897,0.04290
2013,Direct migration background,Seldom,0.11356,562,2743,0.10168,0.12543
2013,Direct migration background,Never,0.36654,1853,2743,0.34851,0.38458
2013,Indirect migration background,At least once per week,0.02403,94,1119,0.01505,0.03300
2013,Indirect migration background,At least once per month,0.03699,136,1119,0.02593,0.04805
2013,Indirect migration background,Seldom,0.08522,341,1119,0.06886,0.10159
2013,Indirect migration background,Never,0.12661,548,1119,0.10712,0.14611
2017,Direct migration background,Daily,0.00057,47,3957,-0.00017,0.00131
2017,Direct migration background,At least once per week,0.00268,234,3957,0.00107,0.00429
2017,Direct migration background,At least once per month,0.00232,213,3957,0.00082,0.00381
2017,Direct migration background,Seldom,0.00632,612,3957,0.00385,0.00879
2017,Direct migration background,Never,0.02865,2851,3957,0.02345,0.03385
2018,Direct migration background,At least once per week,0.00309,251,3135,0.00115,0.00503
2018,Direct migration background,At least once per month,0.00374,281,3135,0.00160,0.00588
2018,Direct migration background,Seldom,0.00764,605,3135,0.00460,0.01069
2018,Direct migration background,Never,0.02439,1998,3135,0.01899,0.02979
2019,No migration background,Daily,0.00194,36,20113,0.00133,0.00255
2019,No migration background,At least once per week,0.04402,1194,20113,0.04118,0.04685
2019,No migration background,At least once per month,0.08752,2237,20113,0.08361,0.09142
2019,No migration background,Seldom,0.27247,6679,20113,0.26631,0.27862
2019,No migration background,Never,0.44944,9967,20113,0.44256,0.45631
2019,Direct migration background,Daily,0.00154,37,7054,0.00062,0.00245
2019,Direct migration background,At least once per week,0.04400,520,7054,0.03922,0.04879
2019,Direct migration background,At least once per month,0.08566,495,7054,0.07913,0.09219
2019,Direct migration background,Seldom,0.18914,1383,7054,0.18000,0.19828
2019,Direct migration background,Never,0.62434,4619,7054,0.61304,0.63565
2019,Indirect migration background,At least once per week,0.04914,124,1569,0.03844,0.05984
2019,Indirect migration background,At least once per month,0.05761,165,1569,0.04608,0.06915
2019,Indirect migration background,Seldom,0.14885,478,1569,0.13123,0.16647
2019,Indirect migration background,Never,0.25390,802,1569,0.23236,0.27545
