year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,Indirect migration background,female,98,4.17982,3.13947,5.22017,0.75000,2.59903,5.75000,0.0,13.25000,2.667,1.58300,3.83300
1992,No migration background,male,3537,11.42972,11.06697,11.79247,1.91700,7.50000,18.74280,0.0,43.98151,7.5,6.99792,8.41907
1992,No migration background,female,2727,8.48327,8.14994,8.81659,1.58300,4.83300,13.08300,0.0,30.33300,4.833,4.41490,5.50000
1992,Direct migration background,male,1022,11.01016,10.43736,11.58297,2.41700,9.32917,18.43518,0.0,42.46246,9.333,7.75000,10.33510
1992,Direct migration background,female,583,8.59069,7.92537,9.25601,1.91700,5.54658,13.75000,0.0,31.49950,5.583,4.33300,6.50833
1992,Indirect migration background,male,122,3.61711,2.56938,4.66484,0.58300,1.55527,4.41700,0.0,10.16800,1.5,0.91700,2.50000
1992,Indirect migration background,female,110,4.21752,3.23974,5.19531,0.75000,2.58300,5.28099,0.0,12.07748,2.583,1.49793,4.16700
1993,No migration background,male,3401,11.35432,10.99023,11.71841,2.16700,7.41700,18.58300,0.0,43.20700,7.417,6.91700,8.00000
1993,No migration background,female,2656,8.20175,7.87403,8.52947,1.58300,4.58300,13.00000,0.0,30.12550,4.583,4.00000,5.08300
1993,Direct migration background,male,944,10.95025,10.36396,11.53654,2.66700,8.41700,18.41700,0.0,35.917,8.417,7.24792,10.41700
1993,Direct migration background,female,569,8.35597,7.68008,9.03185,1.83300,5.11334,13.41700,0.0,30.79300,5.083,3.99793,6.50417
1993,Indirect migration background,male,156,3.40660,2.52738,4.28582,0.66639,1.50000,3.55435,0.0,7.88629,1.5,1.25000,1.66700
1993,Indirect migration background,female,126,3.96925,3.07568,4.86283,0.66700,1.66700,5.65948,0.0,13.14820,1.667,1.08300,3.58300
1994,No migration background,male,3318,11.48993,11.11843,11.86143,2.50000,7.53469,18.75000,0.0,43.12500,7.583,6.75000,8.16907
1994,No migration background,female,2582,8.38881,8.05457,8.72304,1.83300,4.66700,13.16700,0.0,30.16800,4.667,4.41700,5.08510
1994,Direct migration background,male,838,11.19801,10.58602,11.81000,3.16700,8.75000,17.75000,0.0,36.917,8.75,7.82260,11.25000
1994,Direct migration background,female,519,8.26843,7.58643,8.95043,1.91700,4.83300,13.19558,0.0,30.11346,4.833,3.83300,5.83510
