year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,West,,,,,,,,,,,,
1984,Primary Level,West,581,7.92341,7.44428,8.40255,3.00000,6.83300,12.08300,0.0,25.70750,6.833,5.66700,7.67115
1984,Lower Secondary Level,West,1618,9.11302,8.64938,9.57665,1.75000,5.66700,13.83300,0.0,31.95750,5.667,4.91700,6.25000
1984,Upper Secondary Level,West,3563,11.06391,10.73748,11.39034,3.41700,8.25000,15.91700,0.0,34.66700,8.25,7.75000,8.83300
1984,Post-secondary Non-tertiary Level,West,207,8.49541,7.22435,9.76646,2.41700,4.94275,11.58300,0.0,25.33200,4.917,3.66700,6.66700
1984,First Stage of Tertiary Education,West,451,12.40935,11.39189,13.42680,3.50000,9.01592,18.83300,0.0,41.83250,9.0,7.58300,10.33300
1984,Second Stage of Tertiary Education,West,620,11.14275,10.38284,11.90266,3.02998,8.70450,17.00000,0.0,37.95503,8.667,7.24375,10.33510
1985,Pre-primary Level,West,,,,,,,,,,,,
1985,Primary Level,West,461,8.58239,8.02473,9.14005,3.43777,7.68175,12.76899,0.0,26.76583,7.75,6.08300,9.00000
1985,Lower Secondary Level,West,1464,8.86847,8.38910,9.34783,1.58300,5.25000,13.42706,0.0,31.19314,5.25,4.66490,6.00208
1985,Upper Secondary Level,West,3244,11.05833,10.71119,11.40548,3.33300,7.91700,16.08300,0.0,35.20800,7.917,7.49792,8.58300
1985,Post-secondary Non-tertiary Level,West,181,8.72289,7.32596,10.11983,1.85611,5.34613,12.00000,0.0,27.21584,5.333,3.66490,6.83300
1985,First Stage of Tertiary Education,West,424,12.96506,11.88061,14.04951,4.00000,9.45740,19.85803,0.0,43.64507,9.417,8.32885,10.58300
1985,Second Stage of Tertiary Education,West,589,11.16078,10.37161,11.94995,2.75000,8.49904,17.16700,0.0,38.79250,8.5,7.00000,9.91700
1986,Pre-primary Level,West,,,,,,,,,,,,
1986,Primary Level,West,415,8.05832,7.42487,8.69177,1.99715,6.75000,12.91700,0.0,29.29677,6.75,5.33300,8.42115
1986,Lower Secondary Level,West,1374,9.03235,8.53561,9.52910,1.66700,5.58300,13.91700,0.0,32.29200,5.583,5.00000,6.33300
1986,Upper Secondary Level,West,3073,11.08133,10.72982,11.43284,2.91700,8.08300,16.40835,0.0,36.64537,8.083,7.50000,8.58510
1986,Post-secondary Non-tertiary Level,West,185,8.25359,6.84545,9.66173,1.58300,4.58300,11.28555,0.0,25.83937,4.583,3.00000,6.58300
1986,First Stage of Tertiary Education,West,385,12.57051,11.45870,13.68231,3.91700,9.09496,18.87627,0.0,41.31518,9.167,7.74792,10.58510
1986,Second Stage of Tertiary Education,West,581,11.50144,10.69036,12.31252,2.75000,8.49298,17.92298,0.0,40.68245,8.5,6.99792,10.00000
1987,Pre-primary Level,West,,,,,,,,,,,,
1987,Primary Level,West,399,8.77095,8.09222,9.44968,1.91700,7.83327,13.91700,0.083,31.91700,7.833,6.08300,9.50625
1987,Lower Secondary Level,West,1379,9.27280,8.77843,9.76716,1.58300,6.29700,14.66700,0.0,34.29300,6.333,5.41700,7.00000
1987,Upper Secondary Level,West,3113,10.95597,10.60242,11.30951,2.62240,7.75000,16.50000,0.0,37.31641,7.75,7.41700,8.41907
1987,Post-secondary Non-tertiary Level,West,186,7.45337,6.15723,8.74952,1.25000,3.59321,9.93642,0.083,22.96606,3.583,2.58300,5.50208
1987,First Stage of Tertiary Education,West,370,12.50652,11.40528,13.60777,3.67741,9.43192,19.58300,0.083,43.44139,9.417,8.07885,11.00625
1987,Second Stage of Tertiary Education,West,576,11.70550,10.86906,12.54193,2.66700,8.58300,18.58183,0.0,42.45409,8.583,7.50000,10.08300
1988,Pre-primary Level,West,,,,,,,,,,,,
1988,Primary Level,West,360,8.97857,8.26040,9.69675,2.58300,7.93790,14.58300,0.0,32.58300,8.0,6.33300,10.17740
1988,Lower Secondary Level,West,1380,9.21927,8.71582,9.72271,1.58300,5.66700,14.91700,0.0,34.91800,5.667,4.75000,7.00000
1988,Upper Secondary Level,West,2976,11.05698,10.69453,11.41943,2.58300,8.08300,16.83300,0.0,38.20800,8.083,7.66700,8.58300
1988,Post-secondary Non-tertiary Level,West,180,6.75812,5.50190,8.01433,1.50000,3.56543,8.55582,0.0,19.13955,3.583,2.41700,4.50000
1988,First Stage of Tertiary Education,West,367,12.24318,11.14060,13.34576,3.66218,9.10864,18.96985,0.0,41.93136,9.083,7.33300,10.58300
1988,Second Stage of Tertiary Education,West,554,11.57681,10.72580,12.42781,2.91700,8.50000,18.66700,0.083,42.29200,8.5,7.66490,9.75417
1989,Pre-primary Level,West,,,,,,,,,,,,
1989,Primary Level,West,334,9.21196,8.40451,10.01941,1.76266,8.08563,15.53324,0.0,34.75,8.083,6.41700,10.58300
1989,Lower Secondary Level,West,1318,9.13574,8.61798,9.65350,1.58300,5.16700,15.02226,0.0,35.18115,5.167,4.50000,6.66700
1989,Upper Secondary Level,West,2930,11.02399,10.66011,11.38787,2.75000,8.16700,16.91700,0.0,38.16750,8.167,7.66700,8.66700
1989,Post-secondary Non-tertiary Level,West,184,6.89882,5.71162,8.08601,1.51951,3.50000,9.21510,0.0,20.75848,3.5,3.08092,4.91700
1989,First Stage of Tertiary Education,West,352,12.29948,11.16344,13.43552,3.52122,9.12819,19.14751,0.0,42.58695,9.167,7.66700,10.66700
1989,Second Stage of Tertiary Education,West,549,11.37219,10.50191,12.24246,2.16700,8.66700,19.32100,0.0,44.75,8.667,7.00000,9.58300
1990,Pre-primary Level,West,,,,,,,,,,,,
1990,Pre-primary Level,East,,,,,,,,,,,,
1990,Primary Level,West,336,9.00636,8.17481,9.83792,1.79221,7.51198,15.84414,0.0,35.75,7.417,3.99582,9.91700
1990,Primary Level,East,,,,,,,,,,,,
