"plb0219","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Schleswig-Holstein","193","0.562497472883134","0.509611522687179","0.615383423079088"
"Nein, nie","2005","Hamburg","104","0.634092410889708","0.558261857010178","0.709922964769238"
"Nein, nie","2005","Niedersachsen","550","0.580356354084999","0.548875261868661","0.611837446301337"
"Nein, nie","2005","Bremen","34","0.443473719856753","0.330283471148915","0.556663968564591"
"Nein, nie","2005","Nordrhein-Westfalen","1492","0.646332240946516","0.626910764230159","0.665753717662872"
"Nein, nie","2005","Hessen","478","0.597108141528278","0.563034990423043","0.631181292633513"
"Nein, nie","2005","Rheinland-Pfalz,Saarland","410","0.635460617551181","0.598259228895352","0.67266200620701"
"Nein, nie","2005","Baden-Wuerttemberg","947","0.676513395441853","0.651696461983758","0.701330328899949"
"Nein, nie","2005","Bayern","1072","0.644478374465628","0.621346952776383","0.667609796154873"
"Nein, nie","2005","Saarland","","","",""
"Nein, nie","2005","Berlin","207","0.533463063665657","0.483695127347257","0.583230999984056"
"Nein, nie","2005","Brandenburg","243","0.565731115207198","0.517869883330116","0.61359234708428"
"Nein, nie","2005","Mecklenburg-Vorpommern","142","0.611307528364944","0.550019183808547","0.672595872921342"
"Nein, nie","2005","Sachsen","437","0.56942259750603","0.533601158608907","0.605244036403153"
"Nein, nie","2005","Sachsen-Anhalt","245","0.563985904615007","0.516840646731678","0.611131162498337"
"Nein, nie","2005","Thueringen","248","0.611064984012572","0.563876243721524","0.65825372430362"
"Ja, jede Woche","2005","Schleswig-Holstein","15","","",""
"Ja, jede Woche","2005","Hamburg","9","","",""
"Ja, jede Woche","2005","Niedersachsen","77","0.0805291879137343","0.0631708664330429","0.0978875093944257"
"Ja, jede Woche","2005","Bremen","6","","",""
"Ja, jede Woche","2005","Nordrhein-Westfalen","115","0.0471860061407816","0.0385727517055584","0.0557992605760047"
"Ja, jede Woche","2005","Hessen","57","0.0788643700945622","0.0601405798500836","0.0975881603390407"
"Ja, jede Woche","2005","Rheinland-Pfalz,Saarland","38","0.070817034971706","0.0509898027206853","0.0906442672227267"
"Ja, jede Woche","2005","Baden-Wuerttemberg","70","0.0435471101786301","0.032720481868074","0.0543737384891862"
"Ja, jede Woche","2005","Bayern","98","0.0639051702446997","0.0520858347268163","0.0757245057625831"
"Ja, jede Woche","2005","Saarland","","","",""
"Ja, jede Woche","2005","Berlin","28","","",""
"Ja, jede Woche","2005","Brandenburg","23","","",""
"Ja, jede Woche","2005","Mecklenburg-Vorpommern","12","","",""
"Ja, jede Woche","2005","Sachsen","38","0.0587581784579508","0.0417450245496808","0.0757713323662209"
"Ja, jede Woche","2005","Sachsen-Anhalt","24","","",""
"Ja, jede Woche","2005","Thueringen","31","0.0578650758813653","0.0352644233880011","0.0804657283747294"
"Ja, alle 2 Wochen","2005","Schleswig-Holstein","25","","",""
"Ja, alle 2 Wochen","2005","Hamburg","7","","",""
"Ja, alle 2 Wochen","2005","Niedersachsen","80","0.0797026319579394","0.062425863402026","0.0969794005138527"
"Ja, alle 2 Wochen","2005","Bremen","10","","",""
"Ja, alle 2 Wochen","2005","Nordrhein-Westfalen","201","0.0877163129922","0.0762252093463031","0.099207416638097"
"Ja, alle 2 Wochen","2005","Hessen","60","0.0719293198070717","0.0539805346096788","0.0898781050044646"
"Ja, alle 2 Wochen","2005","Rheinland-Pfalz,Saarland","51","0.0944972200916186","0.0718874047777986","0.117107035405439"
"Ja, alle 2 Wochen","2005","Baden-Wuerttemberg","90","0.0964613605068689","0.0807999157941763","0.112122805219562"
"Ja, alle 2 Wochen","2005","Bayern","112","0.0718509813248199","0.0593716778306783","0.0843302848189614"
"Ja, alle 2 Wochen","2005","Saarland","","","",""
