"plb0219","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2005","66 +","Westdeutschland","16","","",""
"Seltener","2005","66 +","Ostdeutschland","1","","",""
"Nein, nie","2006","17-34","Westdeutschland","","","",""
"Nein, nie","2006","17-34","Ostdeutschland","","","",""
"Nein, nie","2006","35-65","Westdeutschland","","","",""
"Nein, nie","2006","35-65","Ostdeutschland","","","",""
"Nein, nie","2006","66 +","Westdeutschland","","","",""
"Nein, nie","2006","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2006","17-34","Westdeutschland","","","",""
"Ja, jede Woche","2006","17-34","Ostdeutschland","","","",""
"Ja, jede Woche","2006","35-65","Westdeutschland","","","",""
"Ja, jede Woche","2006","35-65","Ostdeutschland","","","",""
"Ja, jede Woche","2006","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2006","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","17-34","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","17-34","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","35-65","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","35-65","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","Ostdeutschland","","","",""
"Seltener","2006","17-34","Westdeutschland","","","",""
"Seltener","2006","17-34","Ostdeutschland","","","",""
"Seltener","2006","35-65","Westdeutschland","","","",""
"Seltener","2006","35-65","Ostdeutschland","","","",""
"Seltener","2006","66 +","Westdeutschland","","","",""
"Seltener","2006","66 +","Ostdeutschland","","","",""
"Nein, nie","2007","17-34","Westdeutschland","1424","0.643285023291097","0.623050710084974","0.66351933649722"
"Nein, nie","2007","17-34","Ostdeutschland","452","0.606460211037167","0.571045403733137","0.641875018341196"
"Nein, nie","2007","35-65","Westdeutschland","3814","0.611807495294227","0.599748620018162","0.623866370570293"
"Nein, nie","2007","35-65","Ostdeutschland","975","0.532242198234545","0.508871580601264","0.555612815867826"
"Nein, nie","2007","66 +","Westdeutschland","86","0.633553905102508","0.554303634488305","0.71280417571671"
