"plb0219","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-34","Staedtischer Raum","1352","","",""
"Nein, nie","2005","17-34","Laendlicher Raum","625","0.60057633235528","0.570036220522501","0.631116444188059"
"Nein, nie","2005","35-65","Staedtischer Raum","3258","0.615854282912427","0.602706089521806","0.629002476303048"
"Nein, nie","2005","35-65","Laendlicher Raum","1474","","",""
"Nein, nie","2005","66 +","Staedtischer Raum","66","0.699945982586428","0.606300644289028","0.793591320883829"
"Nein, nie","2005","66 +","Laendlicher Raum","27","","",""
"Ja, jede Woche","2005","17-34","Staedtischer Raum","111","","",""
"Ja, jede Woche","2005","17-34","Laendlicher Raum","57","0.0659796449700662","0.05050029296551","0.0814589969746225"
"Ja, jede Woche","2005","35-65","Staedtischer Raum","293","","",""
"Ja, jede Woche","2005","35-65","Laendlicher Raum","166","","",""
"Ja, jede Woche","2005","66 +","Staedtischer Raum","7","0.136329021550026","0.0662121550403487","0.206445888059703"
"Ja, jede Woche","2005","66 +","Laendlicher Raum","7","0.265469597955706","0.123184468626746","0.407754727284667"
"Ja, alle 2 Wochen","2005","17-34","Staedtischer Raum","187","","",""
"Ja, alle 2 Wochen","2005","17-34","Laendlicher Raum","94","0.102408640476078","0.0835036157061417","0.121313665246014"
"Ja, alle 2 Wochen","2005","35-65","Staedtischer Raum","406","0.0863725282304484","0.0787788621903536","0.0939661942705432"
"Ja, alle 2 Wochen","2005","35-65","Laendlicher Raum","222","","",""
"Ja, alle 2 Wochen","2005","66 +","Staedtischer Raum","4","0.030377032133072","-0.00469236456753531","0.0654464288336794"
"Ja, alle 2 Wochen","2005","66 +","Laendlicher Raum","1","","",""
"Ja, alle 3-4 Wochen","2005","17-34","Staedtischer Raum","102","","",""
"Ja, alle 3-4 Wochen","2005","17-34","Laendlicher Raum","57","0.0595723232097987","0.0448134028847565","0.0743312435348409"
"Ja, alle 3-4 Wochen","2005","35-65","Staedtischer Raum","267","","",""
"Ja, alle 3-4 Wochen","2005","35-65","Laendlicher Raum","144","","",""
"Ja, alle 3-4 Wochen","2005","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2005","66 +","Laendlicher Raum","","","",""
"Seltener","2005","17-34","Staedtischer Raum","273","","",""
"Seltener","2005","17-34","Laendlicher Raum","155","","",""
"Seltener","2005","35-65","Staedtischer Raum","1033","","",""
"Seltener","2005","35-65","Laendlicher Raum","493","0.181775376302163","0.166654785461257","0.196895967143069"
"Seltener","2005","66 +","Staedtischer Raum","15","","",""
"Seltener","2005","66 +","Laendlicher Raum","2","","",""
"Nein, nie","2006","17-34","Staedtischer Raum","","","",""
"Nein, nie","2006","17-34","Laendlicher Raum","","","",""
"Nein, nie","2006","35-65","Staedtischer Raum","","","",""
"Nein, nie","2006","35-65","Laendlicher Raum","","","",""
"Nein, nie","2006","66 +","Staedtischer Raum","","","",""
"Nein, nie","2006","66 +","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","17-34","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","17-34","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","35-65","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","35-65","Laendlicher Raum","","","",""
