"plb0219","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Westdeutschland","maennlich","2653","","",""
"Nein, nie","2005","Westdeutschland","weiblich","2745","","",""
"Nein, nie","2005","Ostdeutschland","maennlich","625","0.490472880575545","0.462737639187961","0.51820812196313"
"Nein, nie","2005","Ostdeutschland","weiblich","779","0.662582677678143","0.63526686314316","0.689898492213125"
"Ja, jede Woche","2005","Westdeutschland","maennlich","308","0.0651045257127921","0.0579265338170495","0.0722825176085347"
"Ja, jede Woche","2005","Westdeutschland","weiblich","199","","",""
"Ja, jede Woche","2005","Ostdeutschland","maennlich","80","0.0568347969432293","0.0439895682865487","0.0696800255999099"
"Ja, jede Woche","2005","Ostdeutschland","weiblich","54","0.0532733933288165","0.0402992736157197","0.0662475130419132"
"Ja, alle 2 Wochen","2005","Westdeutschland","maennlich","300","0.0701670799209726","0.0627354340639069","0.0775987257780383"
"Ja, alle 2 Wochen","2005","Westdeutschland","weiblich","351","0.100693526848581","0.0913222168190467","0.110064836878115"
"Ja, alle 2 Wochen","2005","Ostdeutschland","maennlich","127","","",""
"Ja, alle 2 Wochen","2005","Ostdeutschland","weiblich","136","","",""
"Ja, alle 3-4 Wochen","2005","Westdeutschland","maennlich","269","","",""
"Ja, alle 3-4 Wochen","2005","Westdeutschland","weiblich","168","","",""
"Ja, alle 3-4 Wochen","2005","Ostdeutschland","maennlich","81","0.0722733709894272","0.057907235254417","0.0866395067244375"
"Ja, alle 3-4 Wochen","2005","Ostdeutschland","weiblich","52","0.0473589009811469","0.0350880157566611","0.0596297862056327"
"Seltener","2005","Westdeutschland","maennlich","1008","","",""
"Seltener","2005","Westdeutschland","weiblich","498","0.115547835515798","0.105592320043967","0.12550335098763"
"Seltener","2005","Ostdeutschland","maennlich","335","0.271461928972521","0.246788961311611","0.296134896633431"
"Seltener","2005","Ostdeutschland","weiblich","130","","",""
"Nein, nie","2006","Westdeutschland","maennlich","","","",""
"Nein, nie","2006","Westdeutschland","weiblich","","","",""
"Nein, nie","2006","Ostdeutschland","maennlich","","","",""
"Nein, nie","2006","Ostdeutschland","weiblich","","","",""
"Ja, jede Woche","2006","Westdeutschland","maennlich","","","",""
"Ja, jede Woche","2006","Westdeutschland","weiblich","","","",""
