"plb0219","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","17-29","männlich","637","0.663028673836485","0.633034525666545","0.693022822006425"
"Nein, nie","2005","17-29","weiblich","688","0.68233533233883","0.653171799570097","0.711498865107563"
"Nein, nie","2005","30-45","männlich","1339","0.53187254669971","0.512186371041164","0.551558722358255"
"Nein, nie","2005","30-45","weiblich","1464","0.666359717315948","0.646493596574094","0.686225838057801"
"Nein, nie","2005","46-65","männlich","1242","0.559588554246543","0.539193462081536","0.57998364641155"
"Nein, nie","2005","46-65","weiblich","1339","0.704074061244349","0.683699171578546","0.724448950910152"
"Nein, nie","2005","66","männlich","","","",""
"Nein, nie","2005","66","weiblich","","","",""
"Ja, jede Woche","2005","17-29","männlich","52","0.0568726355162757","0.042176242627696","0.0715690284048554"
"Ja, jede Woche","2005","17-29","weiblich","43","0.0407416357263991","0.02835812532739","0.0531251461254083"
"Ja, jede Woche","2005","30-45","männlich","146","0.0603030781681616","0.0509114874899914","0.0696946688463319"
"Ja, jede Woche","2005","30-45","weiblich","93","0.0507516068177908","0.0415038948094666","0.0599993188261149"
"Ja, jede Woche","2005","46-65","männlich","181","0.0681787575457693","0.0578236930832081","0.0785338220083306"
"Ja, jede Woche","2005","46-65","weiblich","112","0.0539640858743173","0.0438785076891331","0.0640496640595016"
"Ja, jede Woche","2005","66","männlich","","","",""
"Ja, jede Woche","2005","66","weiblich","","","",""
"Ja, alle 2 Wochen","2005","17-29","männlich","67","0.0692835520627413","0.0531697631284895","0.0853973409969931"
"Ja, alle 2 Wochen","2005","17-29","weiblich","112","0.127621432008529","0.106720240447118","0.148522623569939"
"Ja, alle 2 Wochen","2005","30-45","männlich","198","0.0828937246050324","0.0720157967816931","0.0937716524283718"
"Ja, alle 2 Wochen","2005","30-45","weiblich","214","0.114385270138248","0.100975327210157","0.127795213066338"
"Ja, alle 2 Wochen","2005","46-65","männlich","159","0.0736326947440893","0.0629029616481664","0.0843624278400122"
"Ja, alle 2 Wochen","2005","46-65","weiblich","159","0.09498224873009","0.081895120770018","0.108069376690162"
"Ja, alle 2 Wochen","2005","66","männlich","","","",""
"Ja, alle 2 Wochen","2005","66","weiblich","","","",""
"Ja, alle 3-4 Wochen","2005","17-29","männlich","56","0.0527023485114856","0.038523788742939","0.0668809082800323"
"Ja, alle 3-4 Wochen","2005","17-29","weiblich","48","0.0675134814619145","0.0517963502846262","0.0832306126392028"
"Ja, alle 3-4 Wochen","2005","30-45","männlich","165","0.0718065883204412","0.0616212161980196","0.0819919604428628"
