"plb0219","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Staedtischer Raum","maennlich","2290","","",""
"Nein, nie","2005","Staedtischer Raum","weiblich","2386","","",""
"Nein, nie","2005","Laendlicher Raum","maennlich","988","0.54032213719537","0.517556785076888","0.563087489313852"
"Nein, nie","2005","Laendlicher Raum","weiblich","1138","","",""
"Ja, jede Woche","2005","Staedtischer Raum","maennlich","243","","",""
"Ja, jede Woche","2005","Staedtischer Raum","weiblich","168","","",""
"Ja, jede Woche","2005","Laendlicher Raum","maennlich","145","","",""
"Ja, jede Woche","2005","Laendlicher Raum","weiblich","85","0.061872180795804","0.0503619309080844","0.0733824306835237"
"Ja, alle 2 Wochen","2005","Staedtischer Raum","maennlich","278","","",""
"Ja, alle 2 Wochen","2005","Staedtischer Raum","weiblich","319","0.10846415232309","0.0980559226531497","0.118872381993029"
"Ja, alle 2 Wochen","2005","Laendlicher Raum","maennlich","149","","",""
"Ja, alle 2 Wochen","2005","Laendlicher Raum","weiblich","168","","",""
"Ja, alle 3-4 Wochen","2005","Staedtischer Raum","maennlich","231","","",""
"Ja, alle 3-4 Wochen","2005","Staedtischer Raum","weiblich","138","","",""
"Ja, alle 3-4 Wochen","2005","Laendlicher Raum","maennlich","119","","",""
"Ja, alle 3-4 Wochen","2005","Laendlicher Raum","weiblich","82","0.0510690072753958","0.0405517606879798","0.0615862538628118"
"Seltener","2005","Staedtischer Raum","maennlich","903","0.227126673670612","0.214052543126004","0.240200804215221"
"Seltener","2005","Staedtischer Raum","weiblich","418","0.11010513847279","0.0996281252575857","0.120582151687995"
"Seltener","2005","Laendlicher Raum","maennlich","440","0.231055999258246","0.21180172392524","0.250310274591252"
"Seltener","2005","Laendlicher Raum","weiblich","210","","",""
"Nein, nie","2006","Staedtischer Raum","maennlich","","","",""
"Nein, nie","2006","Staedtischer Raum","weiblich","","","",""
"Nein, nie","2006","Laendlicher Raum","maennlich","","","",""
"Nein, nie","2006","Laendlicher Raum","weiblich","","","",""
"Ja, jede Woche","2006","Staedtischer Raum","maennlich","","","",""
"Ja, jede Woche","2006","Staedtischer Raum","weiblich","","","",""
"Ja, jede Woche","2006","Laendlicher Raum","maennlich","","","",""
"Ja, jede Woche","2006","Laendlicher Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2006","Staedtischer Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2006","Staedtischer Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2006","Laendlicher Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2006","Laendlicher Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","Staedtischer Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","Staedtischer Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2006","Laendlicher Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2006","Laendlicher Raum","weiblich","","","",""
"Seltener","2006","Staedtischer Raum","maennlich","","","",""
"Seltener","2006","Staedtischer Raum","weiblich","","","",""
"Seltener","2006","Laendlicher Raum","maennlich","","","",""
"Seltener","2006","Laendlicher Raum","weiblich","","","",""
"Nein, nie","2007","Staedtischer Raum","maennlich","2200","","",""
"Nein, nie","2007","Staedtischer Raum","weiblich","2344","","",""
"Nein, nie","2007","Laendlicher Raum","maennlich","1087","","",""
"Nein, nie","2007","Laendlicher Raum","weiblich","1137","","",""
"Ja, jede Woche","2007","Staedtischer Raum","maennlich","265","","",""
"Ja, jede Woche","2007","Staedtischer Raum","weiblich","200","","",""
"Ja, jede Woche","2007","Laendlicher Raum","maennlich","161","","",""
"Ja, jede Woche","2007","Laendlicher Raum","weiblich","99","0.0574715892581708","0.0466503199467869","0.0682928585695547"
"Ja, alle 2 Wochen","2007","Staedtischer Raum","maennlich","290","","",""
"Ja, alle 2 Wochen","2007","Staedtischer Raum","weiblich","289","","",""
"Ja, alle 2 Wochen","2007","Laendlicher Raum","maennlich","171","","",""
"Ja, alle 2 Wochen","2007","Laendlicher Raum","weiblich","190","","",""
"Ja, alle 3-4 Wochen","2007","Staedtischer Raum","maennlich","225","","",""
"Ja, alle 3-4 Wochen","2007","Staedtischer Raum","weiblich","157","","",""
"Ja, alle 3-4 Wochen","2007","Laendlicher Raum","maennlich","134","","",""
"Ja, alle 3-4 Wochen","2007","Laendlicher Raum","weiblich","77","0.0386381310663234","0.0296771434114463","0.0475991187212005"
"Seltener","2007","Staedtischer Raum","maennlich","879","0.222945387589804","0.209813241089915","0.236077534089694"
"Seltener","2007","Staedtischer Raum","weiblich","474","0.133034376911454","0.121724912771316","0.144343841051592"
"Seltener","2007","Laendlicher Raum","maennlich","423","0.207803174453806","0.189913713333581","0.225692635574031"
"Seltener","2007","Laendlicher Raum","weiblich","274","","",""
"Nein, nie","2008","Staedtischer Raum","maennlich","","","",""
"Nein, nie","2008","Staedtischer Raum","weiblich","","","",""
"Nein, nie","2008","Laendlicher Raum","maennlich","","","",""
"Nein, nie","2008","Laendlicher Raum","weiblich","","","",""
"Ja, jede Woche","2008","Staedtischer Raum","maennlich","","","",""
"Ja, jede Woche","2008","Staedtischer Raum","weiblich","","","",""
"Ja, jede Woche","2008","Laendlicher Raum","maennlich","","","",""
"Ja, jede Woche","2008","Laendlicher Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2008","Staedtischer Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2008","Staedtischer Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2008","Laendlicher Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2008","Laendlicher Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","Staedtischer Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","Staedtischer Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","Laendlicher Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","Laendlicher Raum","weiblich","","","",""
"Seltener","2008","Staedtischer Raum","maennlich","","","",""
"Seltener","2008","Staedtischer Raum","weiblich","","","",""
"Seltener","2008","Laendlicher Raum","maennlich","","","",""
"Seltener","2008","Laendlicher Raum","weiblich","","","",""
"Nein, nie","2009","Staedtischer Raum","maennlich","1841","","",""
"Nein, nie","2009","Staedtischer Raum","weiblich","2027","","",""
"Nein, nie","2009","Laendlicher Raum","maennlich","974","0.551877593879289","0.528703440062749","0.575051747695829"
"Nein, nie","2009","Laendlicher Raum","weiblich","1026","","",""
"Ja, jede Woche","2009","Staedtischer Raum","maennlich","238","","",""
"Ja, jede Woche","2009","Staedtischer Raum","weiblich","208","","",""
"Ja, jede Woche","2009","Laendlicher Raum","maennlich","144","","",""
"Ja, jede Woche","2009","Laendlicher Raum","weiblich","97","0.0604331434067806","0.0488474283023399","0.0720188585112212"
"Ja, alle 2 Wochen","2009","Staedtischer Raum","maennlich","248","","",""
"Ja, alle 2 Wochen","2009","Staedtischer Raum","weiblich","275","","",""
"Ja, alle 2 Wochen","2009","Laendlicher Raum","maennlich","147","","",""
"Ja, alle 2 Wochen","2009","Laendlicher Raum","weiblich","175","","",""
"Ja, alle 3-4 Wochen","2009","Staedtischer Raum","maennlich","211","","",""
"Ja, alle 3-4 Wochen","2009","Staedtischer Raum","weiblich","134","","",""
"Ja, alle 3-4 Wochen","2009","Laendlicher Raum","maennlich","107","","",""
