year,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.01166,110,8837,0.00942,0.01389
2001,West,No,0.98834,8727,8837,0.98611,0.99058
2001,East,No,0.99198,2819,2819,0.98868,0.99527
2006,West,Yes,0.01179,123,9337,0.00960,0.01398
2006,West,No,0.98821,9214,9337,0.98602,0.99040
2006,East,Yes,0.00931,31,2928,0.00583,0.01278
2006,East,No,0.99069,2897,2928,0.98722,0.99417
2011,West,Yes,0.01130,108,9192,0.00914,0.01346
2011,West,No,0.98870,9084,9192,0.98654,0.99086
2011,East,No,0.99191,2866,2866,0.98863,0.99519
2016,West,Yes,0.01190,132,11228,0.00990,0.01391
2016,West,No,0.98810,11096,11228,0.98609,0.99010
2016,East,No,0.99358,3044,3044,0.99074,0.99642
2021,West,Yes,0.01394,127,8665,0.01147,0.01641
2021,West,No,0.98606,8538,8665,0.98359,0.98853
2021,East,No,0.99336,2372,2372,0.99009,0.99663
