year,bula_h,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,No,0.97331,352,352,0.95645,0.99017
2001,Hamburg,No,0.98698,178,178,0.97027,1.00368
2001,Lower Saxony,No,0.97336,932,932,0.96301,0.98370
2001,Bremen,No,0.99710,98,98,0.98639,1.00780
2001,North Rhine-Westphalia,No,0.99429,2472,2472,0.99132,0.99726
2001,Hesse,No,0.99374,773,773,0.98817,0.99930
2001,"Rhineland-Palatinate, Saarland",No,0.98183,706,706,0.97197,0.99169
2001,Baden-Wuerttemberg,No,0.99288,1350,1350,0.98839,0.99737
2001,Bavaria,No,0.98804,1597,1597,0.98270,0.99337
2001,Berlin,No,0.99411,479,479,0.98725,1.00097
2001,Brandenburg,No,0.98475,493,493,0.97392,0.99558
2001,Mecklenburg-Western Pomerania,No,0.97138,277,277,0.95171,0.99105
2001,Saxony,No,0.99716,846,846,0.99357,1.00075
2001,Saxony-Anhalt,No,0.99468,501,501,0.98830,1.00106
2001,Thuringa,No,0.99741,492,492,0.99291,1.00191
2006,Schleswig-Holstein,No,0.97497,381,381,0.95926,0.99068
2006,Hamburg,No,0.98646,192,192,0.97007,1.00285
2006,Lower Saxony,Yes,0.02917,36,1074,0.01910,0.03924
2006,Lower Saxony,No,0.97083,1038,1074,0.96076,0.98090
2006,North Rhine-Westphalia,No,0.99349,2515,2515,0.99035,0.99663
2006,Hesse,No,0.99134,835,835,0.98505,0.99763
2006,"Rhineland-Palatinate, Saarland",No,0.98213,715,715,0.97241,0.99185
2006,Baden-Wuerttemberg,No,0.99231,1462,1462,0.98783,0.99679
2006,Bavaria,No,0.98988,1710,1710,0.98514,0.99463
2006,Berlin,No,0.99935,482,482,0.99706,1.00163
2006,Brandenburg,No,0.97975,524,524,0.96768,0.99182
2006,Mecklenburg-Western Pomerania,No,0.97853,296,296,0.96200,0.99507
2006,Saxony,No,0.99584,874,874,0.99158,1.00011
2006,Saxony-Anhalt,No,0.99480,488,488,0.98841,1.00119
2006,Thuringa,No,0.99318,509,509,0.98602,1.00033
2011,Schleswig-Holstein,No,0.98156,399,399,0.96835,0.99478
2011,Hamburg,No,0.98177,192,192,0.96279,1.00074
2011,Lower Saxony,No,0.97750,1064,1064,0.96859,0.98642
2011,North Rhine-Westphalia,No,0.99357,2333,2333,0.99033,0.99681
2011,Hesse,No,0.98583,817,817,0.97771,0.99394
2011,"Rhineland-Palatinate, Saarland",No,0.98481,700,700,0.97574,0.99388
2011,Baden-Wuerttemberg,No,0.99108,1388,1388,0.98613,0.99603
2011,Bavaria,No,0.98974,1821,1821,0.98512,0.99437
2011,Berlin,No,0.99960,512,512,0.99787,1.00133
2011,Brandenburg,No,0.99191,512,512,0.98414,0.99968
2011,Mecklenburg-Western Pomerania,No,0.98558,308,308,0.97224,0.99891
2011,Saxony,No,0.99391,806,806,0.98853,0.99928
2011,Saxony-Anhalt,No,0.98544,503,503,0.97496,0.99592
2011,Thuringa,No,0.99462,515,515,0.98829,1.00094
2016,Schleswig-Holstein,No,0.96914,492,492,0.95384,0.98443
2016,Hamburg,No,0.99842,262,262,0.99360,1.00324
2016,Lower Saxony,No,0.98180,1323,1323,0.97460,0.98901
2016,North Rhine-Westphalia,No,0.99218,2879,2879,0.98897,0.99540
2016,Hesse,No,0.98447,963,963,0.97666,0.99229
2016,"Rhineland-Palatinate, Saarland",No,0.98804,840,840,0.98069,0.99540
2016,Baden-Wuerttemberg,No,0.98795,1610,1610,0.98262,0.99328
2016,Bavaria,No,0.98806,2274,2274,0.98359,0.99252
2016,Berlin,No,0.99723,608,608,0.99304,1.00141
2016,Brandenburg,No,0.98973,553,553,0.98132,0.99814
2016,Mecklenburg-Western Pomerania,No,0.99385,323,323,0.98531,1.00239
2016,Saxony,No,0.99671,857,857,0.99288,1.00055
2016,Saxony-Anhalt,No,0.99136,510,510,0.98332,0.99940
2016,Thuringa,No,0.99404,541,541,0.98755,1.00053
2021,Schleswig-Holstein,No,0.94111,408,408,0.91824,0.96398
2021,Hamburg,No,0.98414,267,267,0.96912,0.99915
2021,Lower Saxony,No,0.98328,1037,1037,0.97547,0.99109
2021,North Rhine-Westphalia,No,0.98901,2254,2254,0.98471,0.99332
2021,Hesse,No,0.97890,676,676,0.96806,0.98974
2021,"Rhineland-Palatinate, Saarland",No,0.99034,530,530,0.98200,0.99867
2021,Baden-Wuerttemberg,No,0.98804,1202,1202,0.98189,0.99419
2021,Bavaria,No,0.99108,1730,1730,0.98665,0.99551
2021,Brandenburg,No,0.97856,439,439,0.96500,0.99213
2021,Mecklenburg-Western Pomerania,No,0.99253,259,259,0.98202,1.00304
2021,Saxony,No,0.99788,730,730,0.99453,1.00122
2021,Saxony-Anhalt,No,0.99829,364,364,0.99405,1.00254
2021,Thuringa,No,0.99511,381,381,0.98810,1.00212
