year,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Yes,0.01098,134,11680,0.00909,0.01287
2001,No,0.98902,11546,11680,0.98713,0.99091
2006,Yes,0.01132,154,12265,0.00945,0.01319
2006,No,0.98868,12111,12265,0.98681,0.99055
2011,Yes,0.01071,134,12084,0.00887,0.01255
2011,No,0.98929,11950,12084,0.98745,0.99113
2016,Yes,0.01092,162,14302,0.00921,0.01262
2016,No,0.98908,14140,14302,0.98738,0.99079
2021,Yes,0.01267,146,11056,0.01058,0.01475
2021,No,0.98733,10910,11056,0.98525,0.98942
