year,hhtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,No,0.99527,2912,2912,0.99278,0.99776
2001,Couple without children,No,0.99098,3559,3559,0.98788,0.99409
2001,Single parent,No,0.99179,700,700,0.98510,0.99848
2001,Couple with children,Yes,0.02232,81,4175,0.01784,0.02680
2001,Couple with children,No,0.97768,4094,4175,0.97320,0.98216
2001,Multi-generational household,No,0.97891,156,156,0.95629,1.00153
2006,Single-person household,No,0.99519,3271,3271,0.99282,0.99756
2006,Couple without children,Yes,0.01097,39,4158,0.00780,0.01414
2006,Couple without children,No,0.98903,4119,4158,0.98586,0.99220
2006,Single parent,No,0.99434,766,766,0.98903,0.99966
2006,Couple with children,Yes,0.02265,89,3837,0.01794,0.02736
2006,Couple with children,No,0.97735,3748,3837,0.97264,0.98206
2006,Multi-generational household,No,0.95608,103,103,0.91631,0.99585
2006,Other Combinations,No,0.98626,104,104,0.96378,1.00874
2011,Single-person household,No,0.99424,3489,3489,0.99173,0.99675
2011,Couple without children,Yes,0.01029,45,4371,0.00730,0.01328
2011,Couple without children,No,0.98971,4326,4371,0.98672,0.99270
2011,Single parent,No,0.98092,776,776,0.97129,0.99055
2011,Couple with children,Yes,0.01973,58,3240,0.01494,0.02451
2011,Couple with children,No,0.98027,3182,3240,0.97549,0.98506
2011,Multi-generational household,No,0.94125,83,83,0.89035,0.99215
2011,Other Combinations,No,0.98942,94,94,0.96862,1.01021
2016,Single-person household,No,0.99644,3375,3375,0.99443,0.99845
2016,Couple without children,Yes,0.01342,43,4097,0.00990,0.01695
2016,Couple without children,No,0.98658,4054,4097,0.98305,0.99010
2016,Single parent,No,0.98379,1509,1509,0.97741,0.99016
2016,Couple with children,Yes,0.01797,86,4990,0.01428,0.02165
2016,Couple with children,No,0.98203,4904,4990,0.97835,0.98572
2016,Multi-generational household,No,0.92100,105,105,0.86916,0.97285
2016,Other Combinations,No,0.97824,193,193,0.95760,0.99888
2021,Single-person household,No,0.99357,3170,3170,0.99079,0.99636
2021,Couple without children,Yes,0.01454,40,3414,0.01053,0.01856
2021,Couple without children,No,0.98546,3374,3414,0.98144,0.98947
2021,Single parent,No,0.97830,881,881,0.96867,0.98793
2021,Couple with children,Yes,0.02021,67,3162,0.01531,0.02512
2021,Couple with children,No,0.97979,3095,3162,0.97488,0.98469
2021,Multi-generational household,No,0.99412,73,73,0.97645,1.01178
2021,Other Combinations,No,0.97821,259,259,0.96039,0.99602
