"hlf0001_h","year","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1984","1-Pers.- Haushalt","973","0.737397237483663","0.713365201927958","0.761429273039368"
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","1652","","",""
"Hauptmieter","1984","Alleinerziehende","606","0.656772612902518","0.624433253937133","0.689111971867904"
"Hauptmieter","1984","Paar mit Kind(ern)","6259","0.455365602905023","0.445774143029433","0.464957062780613"
"Hauptmieter","1984","Sonstige","516","0.344514651207277","0.315090796141855","0.373938506272699"
"Untermieter","1984","1-Pers.- Haushalt","55","0.0284244438441957","0.0193488628400146","0.0375000248483767"
"Untermieter","1984","(Ehe-)Paar ohne Kind(er)","22","","",""
"Untermieter","1984","Alleinerziehende","8","0.013234808053824","0.00545088280110105","0.021018733306547"
"Untermieter","1984","Paar mit Kind(ern)","81","0.00627813078581112","0.0047568840012514","0.00779937757037084"
"Untermieter","1984","Sonstige","2","","",""
"Eigentuemer","1984","1-Pers.- Haushalt","256","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","1020","","",""
"Eigentuemer","1984","Alleinerziehende","214","","",""
"Eigentuemer","1984","Paar mit Kind(ern)","3984","0.536074654817941","0.526469845281322","0.545679464354559"
"Eigentuemer","1984","Sonstige","484","0.652979256678204","0.623505082836816","0.682453430519592"
"Altersheim/Seniorenwohnheim","1984","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Sonstige","","","",""
"Mieter","1984","1-Pers.- Haushalt","4","0.00166522920596042","-0.00056148904002074","0.00389194745194157"
"Mieter","1984","(Ehe-)Paar ohne Kind(er)","8","0.0038619499541457","0.00152328232606797","0.00620061758222342"
"Mieter","1984","Alleinerziehende","","","",""
"Mieter","1984","Paar mit Kind(ern)","32","0.00228161149122479","0.00136269317915344","0.00320052980329615"
"Mieter","1984","Sonstige","","","",""
"Hauptmieter","1985","1-Pers.- Haushalt","873","0.751579525524045","0.726485670029607","0.776673381018482"
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","1498","","",""
"Hauptmieter","1985","Alleinerziehende","526","0.644834673783486","0.6104702215384","0.679199126028572"
"Hauptmieter","1985","Paar mit Kind(ern)","5425","0.436014992807729","0.425946343164984","0.446083642450474"
"Hauptmieter","1985","Sonstige","438","0.32835657584581","0.297894819160827","0.358818332530794"
"Untermieter","1985","1-Pers.- Haushalt","50","0.0302214207134928","0.0202792787325281","0.0401635626944575"
"Untermieter","1985","(Ehe-)Paar ohne Kind(er)","32","0.0108690296256181","0.00675492374813674","0.0149831355030995"
"Untermieter","1985","Alleinerziehende","10","","",""
"Untermieter","1985","Paar mit Kind(ern)","83","0.00854889076679797","0.00667959822404992","0.010418183309546"
"Untermieter","1985","Sonstige","11","","",""
"Eigentuemer","1985","1-Pers.- Haushalt","216","","",""
"Eigentuemer","1985","(Ehe-)Paar ohne Kind(er)","910","0.429838929994735","0.410196065011801","0.449481794977668"
"Eigentuemer","1985","Alleinerziehende","209","","",""
"Eigentuemer","1985","Paar mit Kind(ern)","3810","0.555436116425473","0.545346587618444","0.565525645232502"
"Eigentuemer","1985","Sonstige","464","0.656959873433031","0.626166690201614","0.687753056664449"
"Altersheim/Seniorenwohnheim","1985","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1985","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1985","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1985","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1985","Sonstige","","","",""
"Mieter","1985","1-Pers.- Haushalt","","","",""
"Mieter","1985","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1985","Alleinerziehende","","","",""
"Mieter","1985","Paar mit Kind(ern)","","","",""
"Mieter","1985","Sonstige","","","",""
"Hauptmieter","1986","1-Pers.- Haushalt","804","0.736103190307051","0.709756244455708","0.762450136158393"
"Hauptmieter","1986","(Ehe-)Paar ohne Kind(er)","1456","","",""
"Hauptmieter","1986","Alleinerziehende","469","0.622161173323168","0.586447361447153","0.657874985199183"
"Hauptmieter","1986","Paar mit Kind(ern)","4985","0.439504301174026","0.429127916448962","0.44988068589909"
"Hauptmieter","1986","Sonstige","433","0.34556625208979","0.314393306858957","0.376739197320623"
"Untermieter","1986","1-Pers.- Haushalt","51","0.0379897738270913","0.0265618573608829","0.0494176902932997"
"Untermieter","1986","(Ehe-)Paar ohne Kind(er)","44","0.0153485555719307","0.0104384043643943","0.0202587067794672"
"Untermieter","1986","Alleinerziehende","20","","",""
"Untermieter","1986","Paar mit Kind(ern)","103","","",""
"Untermieter","1986","Sonstige","15","","",""
"Eigentuemer","1986","1-Pers.- Haushalt","220","","",""
"Eigentuemer","1986","(Ehe-)Paar ohne Kind(er)","908","0.425626038189494","0.405877665440845","0.445374410938142"
"Eigentuemer","1986","Alleinerziehende","219","","",""
"Eigentuemer","1986","Paar mit Kind(ern)","3701","0.55204725045142","0.541650859856448","0.562443641046392"
"Eigentuemer","1986","Sonstige","446","0.637494051904513","0.60598212440551","0.669005979403515"
"Altersheim/Seniorenwohnheim","1986","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1986","(Ehe-)Paar ohne Kind(er)","","","",""
