"hlf0001_h","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1984","3752","0.5827091556332","0.570087001100907","0.595331310165492"
"Untermieter","1984","91","0.0137841410814627","0.0107996932645565","0.0167685888983689"
"Eigentümer","1984","2005","0.401289639582627","0.38874305541595","0.413836223749304"
"Altersheim","1984","","","",""
"Mieter","1984","15","","",""
"Hauptmieter","1985","3313","0.585723745508312","0.572407845095105","0.599039645921518"
"Untermieter","1985","94","0.0167430969782837","0.0132746864094501","0.0202115075471173"
"Eigentümer","1985","1850","0.397533157513404","0.384303994846803","0.410762320180005"
"Altersheim","1985","","","",""
"Mieter","1985","","","",""
"Hauptmieter","1986","3084","0.581526814099687","0.567894085509722","0.595159542689651"
"Untermieter","1986","114","0.0216460616514671","0.0176244369214744","0.0256676863814599"
"Eigentümer","1986","1832","0.396827124248846","0.383306844582472","0.41034740391522"
"Altersheim","1986","","","",""
"Mieter","1986","","","",""
"Hauptmieter","1987","3009","0.576838047381081","0.563102367779564","0.590573726982597"
"Untermieter","1987","131","0.0282383379076212","0.0236329168465736","0.0328437589686689"
"Eigentümer","1987","1830","0.394923614711298","0.381333236273992","0.408513993148604"
"Altersheim","1987","","","",""
"Mieter","1987","","","",""
"Hauptmieter","1988","2896","0.570502023026588","0.556450135313958","0.584553910739218"
"Untermieter","1988","123","0.0320054462508136","0.0270088539384784","0.0370020385631487"
"Eigentümer","1988","1748","0.397492530722598","0.383600324588648","0.411384736856549"
"Altersheim","1988","","","",""
"Mieter","1988","","","",""
"Hauptmieter","1989","2805","0.564374223861979","0.550119611845376","0.578628835878581"
"Untermieter","1989","119","0.0308779550155745","0.025904839664428","0.0358510703667211"
"Eigentümer","1989","1713","0.401173715124693","0.387083043500914","0.415264386748472"
"Altersheim","1989","","","",""
"Mieter","1989","11","","",""
"Hauptmieter","1990","4170","0.589407427229216","0.57766649295537","0.601148361503062"
"Untermieter","1990","207","0.0331806374210257","0.0289059502050946","0.0374553246369568"
"Eigentümer","1990","2362","0.376915833778654","0.365349789281841","0.388481878275467"
