"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Eigentuemer","2001","Staedtischer Raum","Westdeutschland","7869","0.457558837669819","0.449975125939785","0.465142549399853"
"Eigentuemer","2001","Staedtischer Raum","Ostdeutschland","607","0.22471823993082","0.207172678612765","0.242263801248876"
"Eigentuemer","2001","Laendlicher Raum","Westdeutschland","3547","0.637124461087188","0.624314135037525","0.649934787136852"
"Eigentuemer","2001","Laendlicher Raum","Ostdeutschland","2464","","",""
"Altersheim/Seniorenwohnheim","2001","Staedtischer Raum","Westdeutschland","1","","",""
"Altersheim/Seniorenwohnheim","2001","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2001","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2001","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2001","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2001","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2001","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2001","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2002","Staedtischer Raum","Westdeutschland","8280","0.516710297786683","0.509371186714973","0.524049408858394"
"Hauptmieter","2002","Staedtischer Raum","Ostdeutschland","1479","","",""
"Hauptmieter","2002","Laendlicher Raum","Westdeutschland","1728","","",""
"Hauptmieter","2002","Laendlicher Raum","Ostdeutschland","1982","","",""
"Untermieter","2002","Staedtischer Raum","Westdeutschland","225","","",""
"Untermieter","2002","Staedtischer Raum","Ostdeutschland","37","0.0143632699162822","0.00937205438849994","0.0193544854440644"
"Untermieter","2002","Laendlicher Raum","Westdeutschland","82","0.018141827159868","0.0146468734252482","0.0216367808944878"
"Untermieter","2002","Laendlicher Raum","Ostdeutschland","93","0.0197426050622566","0.0156874904818946","0.0237977196426186"
"Eigentuemer","2002","Staedtischer Raum","Westdeutschland","9304","0.466077312508239","0.458751019219818","0.473403605796659"
"Eigentuemer","2002","Staedtischer Raum","Ostdeutschland","667","0.215412642339063","0.19816707563942","0.232658209038706"
"Eigentuemer","2002","Laendlicher Raum","Westdeutschland","3792","0.635655962506385","0.623053847616275","0.648258077396495"
"Eigentuemer","2002","Laendlicher Raum","Ostdeutschland","2446","","",""
"Altersheim/Seniorenwohnheim","2002","Staedtischer Raum","Westdeutschland","1","","",""
"Altersheim/Seniorenwohnheim","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2002","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2002","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2002","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2003","Staedtischer Raum","Westdeutschland","7885","0.522113529015154","0.514608736796647","0.529618321233661"
"Hauptmieter","2003","Staedtischer Raum","Ostdeutschland","1432","","",""
"Hauptmieter","2003","Laendlicher Raum","Westdeutschland","1591","","",""
"Hauptmieter","2003","Laendlicher Raum","Ostdeutschland","1890","","",""
"Untermieter","2003","Staedtischer Raum","Westdeutschland","253","","",""
"Untermieter","2003","Staedtischer Raum","Ostdeutschland","34","0.0175412611087162","0.0119714758666928","0.0231110463507395"
"Untermieter","2003","Laendlicher Raum","Westdeutschland","92","0.0268408590191363","0.0224594683437662","0.0312222496945063"
"Untermieter","2003","Laendlicher Raum","Ostdeutschland","119","","",""
"Eigentuemer","2003","Staedtischer Raum","Westdeutschland","8879","0.457405681097764","0.449920846119679","0.46489051607585"
"Eigentuemer","2003","Staedtischer Raum","Ostdeutschland","668","0.219445563822298","0.201885912638252","0.237005215006345"
"Eigentuemer","2003","Laendlicher Raum","Westdeutschland","3544","0.636045808010584","0.623002450408076","0.649089165613092"
"Eigentuemer","2003","Laendlicher Raum","Ostdeutschland","2404","","",""
"Altersheim/Seniorenwohnheim","2003","Staedtischer Raum","Westdeutschland","1","","",""
"Altersheim/Seniorenwohnheim","2003","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2003","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2003","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2003","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2003","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2003","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2003","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2004","Staedtischer Raum","Westdeutschland","7638","0.52609574953844","0.518464964125375","0.533726534951506"
"Hauptmieter","2004","Staedtischer Raum","Ostdeutschland","1407","","",""
"Hauptmieter","2004","Laendlicher Raum","Westdeutschland","1542","","",""
"Hauptmieter","2004","Laendlicher Raum","Ostdeutschland","1782","","",""
"Untermieter","2004","Staedtischer Raum","Westdeutschland","242","","",""
"Untermieter","2004","Staedtischer Raum","Ostdeutschland","41","0.0160167122800254","0.0106689978193436","0.0213644267407071"
"Untermieter","2004","Laendlicher Raum","Westdeutschland","83","0.0210375181431087","0.0171008347006901","0.0249742015855274"
"Untermieter","2004","Laendlicher Raum","Ostdeutschland","104","","",""
"Eigentuemer","2004","Staedtischer Raum","Westdeutschland","8564","0.452569141938459","0.444962400595666","0.460175883281253"
"Eigentuemer","2004","Staedtischer Raum","Ostdeutschland","669","0.212325675114201","0.194905109023652","0.22974624120475"
"Eigentuemer","2004","Laendlicher Raum","Westdeutschland","3480","0.632105815299","0.618877438034432","0.645334192563568"
"Eigentuemer","2004","Laendlicher Raum","Ostdeutschland","2375","","",""
"Altersheim/Seniorenwohnheim","2004","Staedtischer Raum","Westdeutschland","4","0.000280262243905067","2.44549207840485e-05","0.000536069567026086"
"Altersheim/Seniorenwohnheim","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2004","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2004","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2004","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2005","Staedtischer Raum","Westdeutschland","7340","0.531864725648934","0.524059765110954","0.539669686186914"
"Hauptmieter","2005","Staedtischer Raum","Ostdeutschland","1327","","",""
"Hauptmieter","2005","Laendlicher Raum","Westdeutschland","1420","","",""
"Hauptmieter","2005","Laendlicher Raum","Ostdeutschland","1696","","",""
"Untermieter","2005","Staedtischer Raum","Westdeutschland","275","","",""
"Untermieter","2005","Staedtischer Raum","Ostdeutschland","38","0.0160093662916591","0.0105761910446545","0.0214425415386636"
"Untermieter","2005","Laendlicher Raum","Westdeutschland","88","0.0198911678206228","0.0159632219240312","0.0238191137172144"
"Untermieter","2005","Laendlicher Raum","Ostdeutschland","82","0.0270262990305465","0.0220626621551636","0.0319899359059293"
"Eigentuemer","2005","Staedtischer Raum","Westdeutschland","8086","0.443712342198388","0.43594119919205","0.451483485204726"
"Eigentuemer","2005","Staedtischer Raum","Ostdeutschland","685","0.216140625984437","0.198322647050629","0.233958604918244"
"Eigentuemer","2005","Laendlicher Raum","Westdeutschland","3346","0.647004935323295","0.633560693410465","0.660449177236124"
"Eigentuemer","2005","Laendlicher Raum","Ostdeutschland","2320","","",""
"Altersheim/Seniorenwohnheim","2005","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2005","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2005","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2005","Laendlicher Raum","Ostdeutschland","2","","",""
"Mieter","2005","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2005","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2005","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2005","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2006","Staedtischer Raum","Westdeutschland","7626","0.538589856309333","0.531021439247737","0.546158273370928"
"Hauptmieter","2006","Staedtischer Raum","Ostdeutschland","1394","","",""
"Hauptmieter","2006","Laendlicher Raum","Westdeutschland","1682","","",""
"Hauptmieter","2006","Laendlicher Raum","Ostdeutschland","1818","","",""
"Untermieter","2006","Staedtischer Raum","Westdeutschland","226","","",""
"Untermieter","2006","Staedtischer Raum","Ostdeutschland","57","0.0246463176322881","0.0180895765071519","0.0312030587574242"
"Untermieter","2006","Laendlicher Raum","Westdeutschland","80","0.019811382431392","0.0161147713411809","0.023507993521603"
"Untermieter","2006","Laendlicher Raum","Ostdeutschland","103","","",""
"Eigentuemer","2006","Staedtischer Raum","Westdeutschland","8814","0.442237283111387","0.434697049187792","0.449777517034981"
"Eigentuemer","2006","Staedtischer Raum","Ostdeutschland","697","0.214774981864765","0.197408179494735","0.232141784234795"
"Eigentuemer","2006","Laendlicher Raum","Westdeutschland","3697","0.623660632411717","0.6108090816893","0.636512183134135"
"Eigentuemer","2006","Laendlicher Raum","Ostdeutschland","2468","","",""
"Altersheim/Seniorenwohnheim","2006","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2006","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2006","Laendlicher Raum","Ostdeutschland","2","","",""
"Mieter","2006","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2006","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2007","Staedtischer Raum","Westdeutschland","6970","0.52088544683532","0.513003859247941","0.528767034422698"
"Hauptmieter","2007","Staedtischer Raum","Ostdeutschland","1328","","",""
"Hauptmieter","2007","Laendlicher Raum","Westdeutschland","1577","","",""
"Hauptmieter","2007","Laendlicher Raum","Ostdeutschland","1695","","",""
"Untermieter","2007","Staedtischer Raum","Westdeutschland","240","","",""
"Untermieter","2007","Staedtischer Raum","Ostdeutschland","50","0.0267180808074242","0.0196893085356701","0.0337468530791784"
"Untermieter","2007","Laendlicher Raum","Westdeutschland","73","0.020626685155802","0.0167109007237128","0.0245424695878912"
"Untermieter","2007","Laendlicher Raum","Ostdeutschland","81","0.0280154233790794","0.0229655726028091","0.0330652741553498"
"Eigentuemer","2007","Staedtischer Raum","Westdeutschland","8223","0.458613342642126","0.450751940189425","0.466474745094828"
"Eigentuemer","2007","Staedtischer Raum","Ostdeutschland","644","0.221091339378372","0.203003501902489","0.239179176854256"
"Eigentuemer","2007","Laendlicher Raum","Westdeutschland","3411","0.6234480887235","0.610099280325653","0.636796897121348"
"Eigentuemer","2007","Laendlicher Raum","Ostdeutschland","2324","","",""
"Altersheim/Seniorenwohnheim","2007","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2007","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2007","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2007","Laendlicher Raum","Ostdeutschland","2","","",""
"Mieter","2007","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2007","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2007","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2007","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2008","Staedtischer Raum","Westdeutschland","6382","0.507950562454563","0.499773713720239","0.516127411188887"
"Hauptmieter","2008","Staedtischer Raum","Ostdeutschland","1304","","",""
"Hauptmieter","2008","Laendlicher Raum","Westdeutschland","1404","","",""
"Hauptmieter","2008","Laendlicher Raum","Ostdeutschland","1578","","",""
"Untermieter","2008","Staedtischer Raum","Westdeutschland","216","","",""
"Untermieter","2008","Staedtischer Raum","Ostdeutschland","41","0.0335826010044287","0.0255948347757582","0.0415703672330992"
"Untermieter","2008","Laendlicher Raum","Westdeutschland","77","0.0226203072348552","0.0183676052268188","0.0268730092428916"
"Untermieter","2008","Laendlicher Raum","Ostdeutschland","86","0.0304408585089834","0.0250261310012973","0.0358555860166694"
"Eigentuemer","2008","Staedtischer Raum","Westdeutschland","7762","0.472027655345303","0.46386258030567","0.480192730384936"
"Eigentuemer","2008","Staedtischer Raum","Ostdeutschland","609","0.22065676696584","0.202269853969552","0.239043679962128"
"Eigentuemer","2008","Laendlicher Raum","Westdeutschland","3215","0.635501407660941","0.621735963373267","0.649266851948616"
"Eigentuemer","2008","Laendlicher Raum","Ostdeutschland","2201","","",""
"Altersheim/Seniorenwohnheim","2008","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2008","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2008","Laendlicher Raum","Ostdeutschland","2","","",""
"Mieter","2008","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2008","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2009","Staedtischer Raum","Westdeutschland","5798","0.492842625346044","0.484307058542026","0.501378192150062"
"Hauptmieter","2009","Staedtischer Raum","Ostdeutschland","1194","","",""
"Hauptmieter","2009","Laendlicher Raum","Westdeutschland","1402","","",""
"Hauptmieter","2009","Laendlicher Raum","Ostdeutschland","1474","","",""
"Untermieter","2009","Staedtischer Raum","Westdeutschland","209","","",""
"Untermieter","2009","Staedtischer Raum","Ostdeutschland","63","0.0347826057402006","0.0264556693739506","0.0431095421064506"
"Untermieter","2009","Laendlicher Raum","Westdeutschland","86","0.0252112629715935","0.0206104644591179","0.029812061484069"
"Untermieter","2009","Laendlicher Raum","Ostdeutschland","100","","",""
"Eigentuemer","2009","Staedtischer Raum","Westdeutschland","7172","0.487497758036679","0.478963985590211","0.496031530483146"
"Eigentuemer","2009","Staedtischer Raum","Ostdeutschland","603","0.243446888025094","0.223943348104438","0.26295042794575"
"Eigentuemer","2009","Laendlicher Raum","Westdeutschland","2972","","",""
"Eigentuemer","2009","Laendlicher Raum","Ostdeutschland","2146","","",""
"Altersheim/Seniorenwohnheim","2009","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2009","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2009","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2009","Laendlicher Raum","Ostdeutschland","2","","",""
"Mieter","2009","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2009","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2009","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2009","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2010","Staedtischer Raum","Westdeutschland","11117","","",""
"Hauptmieter","2010","Staedtischer Raum","Ostdeutschland","1921","","",""
"Hauptmieter","2010","Laendlicher Raum","Westdeutschland","3062","0.351306746797653","0.340809773897757","0.361803719697548"
"Hauptmieter","2010","Laendlicher Raum","Ostdeutschland","2406","","",""
"Untermieter","2010","Staedtischer Raum","Westdeutschland","256","","",""
"Untermieter","2010","Staedtischer Raum","Ostdeutschland","53","0.0242582433210613","0.0184902414233734","0.0300262452187492"
"Untermieter","2010","Laendlicher Raum","Westdeutschland","114","","",""
"Untermieter","2010","Laendlicher Raum","Ostdeutschland","132","","",""
"Eigentuemer","2010","Staedtischer Raum","Westdeutschland","10220","","",""
"Eigentuemer","2010","Staedtischer Raum","Ostdeutschland","759","0.244892199894186","0.228770151157588","0.261014248630784"
"Eigentuemer","2010","Laendlicher Raum","Westdeutschland","4766","0.62923488804254","0.618614094466977","0.639855681618104"
"Eigentuemer","2010","Laendlicher Raum","Ostdeutschland","2655","","",""
"Altersheim/Seniorenwohnheim","2010","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2010","Laendlicher Raum","Westdeutschland","3","","",""
"Altersheim/Seniorenwohnheim","2010","Laendlicher Raum","Ostdeutschland","4","0.00070919361138272","-1.45755688283335e-05","0.00143296279159377"
"Mieter","2010","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2010","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2010","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2011","Staedtischer Raum","Westdeutschland","12334","","",""
"Hauptmieter","2011","Staedtischer Raum","Ostdeutschland","2306","","",""
"Hauptmieter","2011","Laendlicher Raum","Westdeutschland","3687","0.353273816761724","0.343851109445753","0.362696524077695"
"Hauptmieter","2011","Laendlicher Raum","Ostdeutschland","2836","","",""
"Untermieter","2011","Staedtischer Raum","Westdeutschland","271","","",""
"Untermieter","2011","Staedtischer Raum","Ostdeutschland","48","0.0235533476486979","0.0183071317843461","0.0287995635130497"
"Untermieter","2011","Laendlicher Raum","Westdeutschland","117","","",""
"Untermieter","2011","Laendlicher Raum","Ostdeutschland","111","","",""
"Eigentuemer","2011","Staedtischer Raum","Westdeutschland","12365","","",""
"Eigentuemer","2011","Staedtischer Raum","Ostdeutschland","856","0.241891916073697","0.227077933958815","0.256705898188579"
"Eigentuemer","2011","Laendlicher Raum","Westdeutschland","6078","0.627871686234798","0.618342812741317","0.63740055972828"
"Eigentuemer","2011","Laendlicher Raum","Ostdeutschland","2985","","",""
"Altersheim/Seniorenwohnheim","2011","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2011","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2011","Laendlicher Raum","Westdeutschland","3","","",""
"Altersheim/Seniorenwohnheim","2011","Laendlicher Raum","Ostdeutschland","4","0.000563038818926904","-4.0420526528691e-05","0.0011664981643825"
"Mieter","2011","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2011","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2011","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2011","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2012","Staedtischer Raum","Westdeutschland","11636","","",""
"Hauptmieter","2012","Staedtischer Raum","Ostdeutschland","2230","","",""
"Hauptmieter","2012","Laendlicher Raum","Westdeutschland","3611","0.367412098160864","0.357798262476767","0.377025933844961"
"Hauptmieter","2012","Laendlicher Raum","Ostdeutschland","2798","","",""
"Untermieter","2012","Staedtischer Raum","Westdeutschland","196","","",""
"Untermieter","2012","Staedtischer Raum","Ostdeutschland","62","0.025936165011392","0.0203182893762523","0.0315540406465317"
"Untermieter","2012","Laendlicher Raum","Westdeutschland","110","","",""
"Untermieter","2012","Laendlicher Raum","Ostdeutschland","109","","",""
"Eigentuemer","2012","Staedtischer Raum","Westdeutschland","12044","","",""
"Eigentuemer","2012","Staedtischer Raum","Ostdeutschland","783","0.244525395263294","0.229334007447964","0.259716783078625"
"Eigentuemer","2012","Laendlicher Raum","Westdeutschland","5936","0.613913851541172","0.604205279571636","0.623622423510708"
"Eigentuemer","2012","Laendlicher Raum","Ostdeutschland","2885","","",""
"Altersheim/Seniorenwohnheim","2012","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2012","Laendlicher Raum","Westdeutschland","3","","",""
"Altersheim/Seniorenwohnheim","2012","Laendlicher Raum","Ostdeutschland","3","","",""
"Mieter","2012","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2012","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2013","Staedtischer Raum","Westdeutschland","15464","","",""
"Hauptmieter","2013","Staedtischer Raum","Ostdeutschland","2315","","",""
"Hauptmieter","2013","Laendlicher Raum","Westdeutschland","4348","0.375925053675688","0.366638406304116","0.38521170104726"
"Hauptmieter","2013","Laendlicher Raum","Ostdeutschland","2800","","",""
"Untermieter","2013","Staedtischer Raum","Westdeutschland","236","","",""
"Untermieter","2013","Staedtischer Raum","Ostdeutschland","53","0.0301534415207541","0.0241663133855805","0.0361405696559277"
"Untermieter","2013","Laendlicher Raum","Westdeutschland","136","","",""
"Untermieter","2013","Laendlicher Raum","Ostdeutschland","111","","",""
"Eigentuemer","2013","Staedtischer Raum","Westdeutschland","12679","","",""
"Eigentuemer","2013","Staedtischer Raum","Ostdeutschland","766","0.253651054493853","0.238417968534199","0.268884140453506"
"Eigentuemer","2013","Laendlicher Raum","Westdeutschland","5966","0.606832794507029","0.597467679606366","0.616197909407693"
"Eigentuemer","2013","Laendlicher Raum","Ostdeutschland","2788","","",""
"Altersheim/Seniorenwohnheim","2013","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2013","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2013","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2013","Laendlicher Raum","Ostdeutschland","3","","",""
"Mieter","2013","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2013","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2013","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2013","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2014","Staedtischer Raum","Westdeutschland","12781","","",""
"Hauptmieter","2014","Staedtischer Raum","Ostdeutschland","2067","","",""
"Hauptmieter","2014","Laendlicher Raum","Westdeutschland","3668","0.382438857974633","0.372493119042774","0.392384596906491"
"Hauptmieter","2014","Laendlicher Raum","Ostdeutschland","2550","","",""
"Untermieter","2014","Staedtischer Raum","Westdeutschland","218","","",""
"Untermieter","2014","Staedtischer Raum","Ostdeutschland","62","0.041560755142957","0.0342075127493248","0.0489139975365892"
"Untermieter","2014","Laendlicher Raum","Westdeutschland","96","0.0136978254355558","0.0113190859756847","0.0160765648954268"
"Untermieter","2014","Laendlicher Raum","Ostdeutschland","90","0.0287933906047729","0.024244735920573","0.0333420452889727"
"Eigentuemer","2014","Staedtischer Raum","Westdeutschland","11314","","",""
"Eigentuemer","2014","Staedtischer Raum","Ostdeutschland","699","0.247976228596997","0.23206602698548","0.263886430208514"
"Eigentuemer","2014","Laendlicher Raum","Westdeutschland","5408","0.603863316589812","0.593853919413088","0.613872713766535"
"Eigentuemer","2014","Laendlicher Raum","Ostdeutschland","2551","","",""
"Altersheim/Seniorenwohnheim","2014","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2014","Staedtischer Raum","Ostdeutschland","2","","",""
"Altersheim/Seniorenwohnheim","2014","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2014","Laendlicher Raum","Ostdeutschland","1","","",""
"Mieter","2014","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2014","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2015","Staedtischer Raum","Westdeutschland","13226","","",""
"Hauptmieter","2015","Staedtischer Raum","Ostdeutschland","2050","","",""
"Hauptmieter","2015","Laendlicher Raum","Westdeutschland","3873","0.385015358802445","0.375060810272641","0.394969907332249"
"Hauptmieter","2015","Laendlicher Raum","Ostdeutschland","2455","","",""
"Untermieter","2015","Staedtischer Raum","Westdeutschland","276","","",""
"Untermieter","2015","Staedtischer Raum","Ostdeutschland","44","0.0260945960568106","0.0201664943333746","0.0320226977802465"
"Untermieter","2015","Laendlicher Raum","Westdeutschland","127","","",""
"Untermieter","2015","Laendlicher Raum","Ostdeutschland","88","0.0188866560665697","0.0150926146260921","0.0226806975070473"
"Eigentuemer","2015","Staedtischer Raum","Westdeutschland","10648","","",""
"Eigentuemer","2015","Staedtischer Raum","Ostdeutschland","684","0.267419682690686","0.250960575336905","0.283878790044466"
"Eigentuemer","2015","Laendlicher Raum","Westdeutschland","5179","0.59785781450451","0.587826931197994","0.607888697811026"
"Eigentuemer","2015","Laendlicher Raum","Ostdeutschland","2402","","",""
"Altersheim/Seniorenwohnheim","2015","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2015","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2015","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2015","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2016","Staedtischer Raum","Westdeutschland","11430","","",""
"Hauptmieter","2016","Staedtischer Raum","Ostdeutschland","1853","","",""
"Hauptmieter","2016","Laendlicher Raum","Westdeutschland","3296","0.367068538079965","0.356614229225714","0.377522846934216"
"Hauptmieter","2016","Laendlicher Raum","Ostdeutschland","2186","","",""
"Untermieter","2016","Staedtischer Raum","Westdeutschland","232","","",""
"Untermieter","2016","Staedtischer Raum","Ostdeutschland","46","0.0332215048839807","0.0262505883616126","0.0401924214063488"
"Untermieter","2016","Laendlicher Raum","Westdeutschland","131","","",""
"Untermieter","2016","Laendlicher Raum","Ostdeutschland","90","0.0302256565067856","0.02528666354448","0.0351646494690912"
"Eigentuemer","2016","Staedtischer Raum","Westdeutschland","9806","0.501003531344968","0.494315143833189","0.507691918856747"
"Eigentuemer","2016","Staedtischer Raum","Ostdeutschland","640","0.282175260839396","0.2646693215067","0.299681200172091"
"Eigentuemer","2016","Laendlicher Raum","Westdeutschland","4739","0.609694921465103","0.599114528621189","0.620275314309016"
"Eigentuemer","2016","Laendlicher Raum","Ostdeutschland","2340","","",""
"Altersheim/Seniorenwohnheim","2016","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2016","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","2016","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","2016","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","2017","Staedtischer Raum","Westdeutschland","16261","","",""
"Hauptmieter","2017","Staedtischer Raum","Ostdeutschland","2415","","",""
"Hauptmieter","2017","Laendlicher Raum","Westdeutschland","4911","0.374714775562744","0.365333466250177","0.384096084875311"
"Hauptmieter","2017","Laendlicher Raum","Ostdeutschland","3094","0.465832437489548","0.453040953430783","0.478623921548312"
"Untermieter","2017","Staedtischer Raum","Westdeutschland","521","0.0177433038586713","0.0161896440873361","0.0192969636300066"
"Untermieter","2017","Staedtischer Raum","Ostdeutschland","86","0.0325105390457053","0.0264309274119368","0.0385901506794738"
