"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Eigentuemer","1988","Staedtischer Raum","Westdeutschland","3646","0.423641913929163","0.41407728186014","0.433206545998186"
"Eigentuemer","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Eigentuemer","1988","Laendlicher Raum","Westdeutschland","1503","","",""
"Eigentuemer","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1988","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1988","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1989","Staedtischer Raum","Westdeutschland","6183","0.545034055940471","0.535260373580816","0.554807738300125"
"Hauptmieter","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Hauptmieter","1989","Laendlicher Raum","Westdeutschland","1140","","",""
"Hauptmieter","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Untermieter","1989","Staedtischer Raum","Westdeutschland","178","","",""
"Untermieter","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Untermieter","1989","Laendlicher Raum","Westdeutschland","45","0.0260098572385901","0.01990712028141","0.0321125941957702"
"Untermieter","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Eigentuemer","1989","Staedtischer Raum","Westdeutschland","3600","0.431687104134535","0.421965560067818","0.441408648201251"
"Eigentuemer","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Eigentuemer","1989","Laendlicher Raum","Westdeutschland","1424","","",""
"Eigentuemer","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1989","Staedtischer Raum","Westdeutschland","11","","",""
"Mieter","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1989","Laendlicher Raum","Westdeutschland","4","0.00166445102785931","0.000101475547571021","0.0032274265081476"
"Mieter","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1990","Staedtischer Raum","Westdeutschland","6035","0.547536236541357","0.537700814125017","0.557371658957697"
"Hauptmieter","1990","Staedtischer Raum","Ostdeutschland","1688","","",""
"Hauptmieter","1990","Laendlicher Raum","Westdeutschland","1073","","",""
"Hauptmieter","1990","Laendlicher Raum","Ostdeutschland","2087","","",""
"Untermieter","1990","Staedtischer Raum","Westdeutschland","179","","",""
