"hlf0001_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1985","1-Pers.- Haushalt","Städtischer Raum","750","0.772767878127412","0.746190887830667","0.799344868424158"
"Hauptmieter","1985","1-Pers.- Haushalt","Ländlicher Raum","123","0.658414004790103","0.58989063096439","0.726937378615816"
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Städtischer Raum","622","0.595617917672361","0.564540482757055","0.626695352587667"
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Ländlicher Raum","127","0.445426927126445","0.385245141612672","0.505608712640218"
"Hauptmieter","1985","Alleinerziehende","Städtischer Raum","174","0.688594453006334","0.628618759019556","0.748570146993112"
"Hauptmieter","1985","Alleinerziehende","Ländlicher Raum","31","0.513577896102485","0.390157302990567","0.636998489214403"
"Hauptmieter","1985","Paar mit Kind(ern)","Städtischer Raum","1164","0.486937923205252","0.464265513079873","0.509610333330631"
"Hauptmieter","1985","Paar mit Kind(ern)","Ländlicher Raum","203","0.318892055320639","0.278123431164018","0.35966067947726"
"Hauptmieter","1985","Sonstige","Städtischer Raum","102","0.511392718370419","0.435805095503811","0.586980341237028"
"Hauptmieter","1985","Sonstige","Ländlicher Raum","17","","",""
"Untermieter","1985","1-Pers.- Haushalt","Städtischer Raum","40","0.0269079289624685","0.0166451846636642","0.0371706732612728"
"Untermieter","1985","1-Pers.- Haushalt","Ländlicher Raum","10","","",""
"Untermieter","1985","(Ehe-)Paar ohne Kind(er)","Städtischer Raum","13","","",""
"Untermieter","1985","(Ehe-)Paar ohne Kind(er)","Ländlicher Raum","3","","",""
"Untermieter","1985","Alleinerziehende","Städtischer Raum","3","","",""
"Untermieter","1985","Alleinerziehende","Ländlicher Raum","","","",""
"Untermieter","1985","Paar mit Kind(ern)","Städtischer Raum","19","","",""
"Untermieter","1985","Paar mit Kind(ern)","Ländlicher Raum","3","","",""
"Untermieter","1985","Sonstige","Städtischer Raum","3","","",""
