"hlf0001_h","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1984","Schleswig-Holstein","Westdeutschland","98","0.487802150943428","0.418002104980495","0.557602196906362"
"Hauptmieter","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Hauptmieter","1984","Hamburg","Westdeutschland","143","0.861832210296482","0.809338313533413","0.914326107059552"
"Hauptmieter","1984","Hamburg","Ostdeutschland","","","",""
"Hauptmieter","1984","Niedersachsen","Westdeutschland","321","0.507258638458905","0.466849121094826","0.547668155822983"
"Hauptmieter","1984","Niedersachsen","Ostdeutschland","","","",""
"Hauptmieter","1984","Bremen","Westdeutschland","58","0.75201653084604","0.654283240858647","0.849749820833434"
"Hauptmieter","1984","Bremen","Ostdeutschland","","","",""
"Hauptmieter","1984","Nordrhein-Westfalen","Westdeutschland","1121","0.660792041002172","0.637535668344165","0.68404841366018"
"Hauptmieter","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Hauptmieter","1984","Hessen","Westdeutschland","406","0.596785737150087","0.557068736537579","0.636502737762595"
"Hauptmieter","1984","Hessen","Ostdeutschland","","","",""
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","Westdeutschland","191","0.427299333179312","0.378638135979471","0.475960530379153"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Hauptmieter","1984","Baden-Württemberg","Westdeutschland","647","0.491122511376125","0.460956117209442","0.521288905542808"
"Hauptmieter","1984","Baden-Württemberg","Ostdeutschland","","","",""
"Hauptmieter","1984","Bayern","Westdeutschland","562","0.524764482705397","0.493577982684005","0.555950982726788"
"Hauptmieter","1984","Bayern","Ostdeutschland","","","",""
"Hauptmieter","1984","Saarland","Westdeutschland","","","",""
"Hauptmieter","1984","Saarland","Ostdeutschland","","","",""
"Hauptmieter","1984","Berlin","Westdeutschland","205","0.91011615721978","0.872492515358133","0.947739799081427"
"Hauptmieter","1984","Berlin","Ostdeutschland","","","",""
"Hauptmieter","1984","Brandenburg","Westdeutschland","","","",""
"Hauptmieter","1984","Brandenburg","Ostdeutschland","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Hauptmieter","1984","Sachsen","Westdeutschland","","","",""
"Hauptmieter","1984","Sachsen","Ostdeutschland","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Hauptmieter","1984","Thüringen","Westdeutschland","","","",""
"Hauptmieter","1984","Thüringen","Ostdeutschland","","","",""
"Untermieter","1984","Schleswig-Holstein","Westdeutschland","","","",""
"Untermieter","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Untermieter","1984","Hamburg","Westdeutschland","1","","",""
"Untermieter","1984","Hamburg","Ostdeutschland","","","",""
"Untermieter","1984","Niedersachsen","Westdeutschland","11","","",""
"Untermieter","1984","Niedersachsen","Ostdeutschland","","","",""
"Untermieter","1984","Bremen","Westdeutschland","","","",""
"Untermieter","1984","Bremen","Ostdeutschland","","","",""
"Untermieter","1984","Nordrhein-Westfalen","Westdeutschland","26","","",""
"Untermieter","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Untermieter","1984","Hessen","Westdeutschland","9","","",""
"Untermieter","1984","Hessen","Ostdeutschland","","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","Westdeutschland","6","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Untermieter","1984","Baden-Württemberg","Westdeutschland","21","","",""
"Untermieter","1984","Baden-Württemberg","Ostdeutschland","","","",""
"Untermieter","1984","Bayern","Westdeutschland","17","","",""
"Untermieter","1984","Bayern","Ostdeutschland","","","",""
"Untermieter","1984","Saarland","Westdeutschland","","","",""
"Untermieter","1984","Saarland","Ostdeutschland","","","",""
"Untermieter","1984","Berlin","Westdeutschland","","","",""
"Untermieter","1984","Berlin","Ostdeutschland","","","",""
"Untermieter","1984","Brandenburg","Westdeutschland","","","",""
"Untermieter","1984","Brandenburg","Ostdeutschland","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Untermieter","1984","Sachsen","Westdeutschland","","","",""
"Untermieter","1984","Sachsen","Ostdeutschland","","","",""
"Untermieter","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Untermieter","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Untermieter","1984","Thüringen","Westdeutschland","","","",""
"Untermieter","1984","Thüringen","Ostdeutschland","","","",""
"Eigentümer","1984","Schleswig-Holstein","Westdeutschland","99","0.512197849056572","0.442397803093638","0.581997895019505"
"Eigentümer","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Eigentümer","1984","Hamburg","Westdeutschland","22","","",""
"Eigentümer","1984","Hamburg","Ostdeutschland","","","",""
"Eigentümer","1984","Niedersachsen","Westdeutschland","255","0.473194794772497","0.432839136478725","0.513550453066268"
"Eigentümer","1984","Niedersachsen","Ostdeutschland","","","",""
"Eigentümer","1984","Bremen","Westdeutschland","17","","",""
"Eigentümer","1984","Bremen","Ostdeutschland","","","",""
"Eigentümer","1984","Nordrhein-Westfalen","Westdeutschland","441","0.322578746955416","0.299615999813791","0.345541494097041"
"Eigentümer","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Eigentümer","1984","Hessen","Westdeutschland","169","0.387252990683098","0.347812957348119","0.426693024018077"
"Eigentümer","1984","Hessen","Ostdeutschland","","","",""
"Eigentümer","1984","Rheinland-Pfalz,Saarland","Westdeutschland","199","0.554239353029461","0.505345711996681","0.603132994062241"
"Eigentümer","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Eigentümer","1984","Baden-Württemberg","Westdeutschland","384","0.486023997514424","0.45586463629095","0.516183358737898"
"Eigentümer","1984","Baden-Württemberg","Ostdeutschland","","","",""
"Eigentümer","1984","Bayern","Westdeutschland","402","0.458325207226431","0.427209035443373","0.489441379009489"
"Eigentümer","1984","Bayern","Ostdeutschland","","","",""
"Eigentümer","1984","Saarland","Westdeutschland","","","",""
"Eigentümer","1984","Saarland","Ostdeutschland","","","",""
"Eigentümer","1984","Berlin","Westdeutschland","17","","",""
"Eigentümer","1984","Berlin","Ostdeutschland","","","",""
"Eigentümer","1984","Brandenburg","Westdeutschland","","","",""
"Eigentümer","1984","Brandenburg","Ostdeutschland","","","",""
"Eigentümer","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Eigentümer","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Eigentümer","1984","Sachsen","Westdeutschland","","","",""
"Eigentümer","1984","Sachsen","Ostdeutschland","","","",""
"Eigentümer","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Eigentümer","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Eigentümer","1984","Thüringen","Westdeutschland","","","",""
"Eigentümer","1984","Thüringen","Ostdeutschland","","","",""
"Altersheim","1984","Schleswig-Holstein","Westdeutschland","","","",""
"Altersheim","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Altersheim","1984","Hamburg","Westdeutschland","","","",""
"Altersheim","1984","Hamburg","Ostdeutschland","","","",""
"Altersheim","1984","Niedersachsen","Westdeutschland","","","",""
"Altersheim","1984","Niedersachsen","Ostdeutschland","","","",""
"Altersheim","1984","Bremen","Westdeutschland","","","",""
