"hlf0001_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Hauptmieter","1984","Westdeutschland","10006","0.519136551826562","0.51143702193892","0.526836081714205"
"Hauptmieter","1984","Ostdeutschland","","","",""
"Untermieter","1984","Westdeutschland","168","0.00936260682420867","0.00787848936767609","0.0108467242807413"
"Untermieter","1984","Ostdeutschland","","","",""
"Eigentuemer","1984","Westdeutschland","5958","0.469248095476525","0.461557507195454","0.476938683757596"
"Eigentuemer","1984","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Ostdeutschland","","","",""
"Mieter","1984","Westdeutschland","44","0.0022527458727043","0.0015221471748016","0.00298334457060701"
"Mieter","1984","Ostdeutschland","","","",""
"Hauptmieter","1985","Westdeutschland","8760","0.514230882939385","0.506111257150736","0.522350508728035"
"Hauptmieter","1985","Ostdeutschland","","","",""
"Untermieter","1985","Westdeutschland","186","0.0126199988513289","0.0108065145220077","0.0144334831806502"
"Untermieter","1985","Ostdeutschland","","","",""
"Eigentuemer","1985","Westdeutschland","5609","0.473149118209286","0.465037922892586","0.481260313525985"
"Eigentuemer","1985","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Ostdeutschland","","","",""
"Mieter","1985","Westdeutschland","","","",""
"Mieter","1985","Ostdeutschland","","","",""
"Hauptmieter","1986","Westdeutschland","8147","0.514851827244517","0.506535614801129","0.523168039687906"
"Hauptmieter","1986","Ostdeutschland","","","",""
"Untermieter","1986","Westdeutschland","233","0.0158914739912027","0.0138105757943786","0.0179723721880268"
"Untermieter","1986","Ostdeutschland","","","",""
"Eigentuemer","1986","Westdeutschland","5494","0.46925669876428","0.460952557142893","0.477560840385667"
"Eigentuemer","1986","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Ostdeutschland","","","",""
"Mieter","1986","Westdeutschland","","","",""
"Mieter","1986","Ostdeutschland","","","",""
"Hauptmieter","1987","Westdeutschland","7958","0.514272665622067","0.505881755135838","0.522663576108295"
"Hauptmieter","1987","Ostdeutschland","","","",""
"Untermieter","1987","Westdeutschland","252","0.020406611581115","0.0180329190296725","0.0227803041325574"
"Untermieter","1987","Ostdeutschland","","","",""
"Eigentuemer","1987","Westdeutschland","5419","0.465320722796818","0.456946606876374","0.473694838717263"
"Eigentuemer","1987","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Ostdeutschland","","","",""
"Mieter","1987","Westdeutschland","","","",""
"Mieter","1987","Ostdeutschland","","","",""
"Hauptmieter","1988","Westdeutschland","7617","0.511730861110078","0.503140859027955","0.5203208631922"
"Hauptmieter","1988","Ostdeutschland","","","",""
"Untermieter","1988","Westdeutschland","242","0.0238594536679052","0.0212368706136529","0.0264820367221576"
"Untermieter","1988","Ostdeutschland","","","",""
"Eigentuemer","1988","Westdeutschland","5149","0.464409685222017","0.455839113008283","0.472980257435751"
"Eigentuemer","1988","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Ostdeutschland","","","",""
"Mieter","1988","Westdeutschland","","","",""
"Mieter","1988","Ostdeutschland","","","",""
"Hauptmieter","1989","Westdeutschland","7323","0.50537093386172","0.49663586309308","0.51410600463036"
"Hauptmieter","1989","Ostdeutschland","","","",""
"Untermieter","1989","Westdeutschland","223","0.0223990439713795","0.0198137077487586","0.0249843801940004"
"Untermieter","1989","Ostdeutschland","","","",""
"Eigentuemer","1989","Westdeutschland","5024","0.470308529362296","0.461588370468382","0.479028688256211"
"Eigentuemer","1989","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Ostdeutschland","","","",""
"Mieter","1989","Westdeutschland","","","",""
"Mieter","1989","Ostdeutschland","","","",""
"Hauptmieter","1990","Westdeutschland","7108","0.50589499339717","0.497106439747069","0.514683547047271"
"Hauptmieter","1990","Ostdeutschland","3898","0.666003948721407","0.654150794055536","0.677857103387279"
"Untermieter","1990","Westdeutschland","258","0.0244730187166208","0.0217569484309107","0.0271890890023308"
"Untermieter","1990","Ostdeutschland","218","0.0353986273568711","0.0307546292734973","0.0400426254402449"
"Eigentuemer","1990","Westdeutschland","5059","0.469313617260123","0.460541021046943","0.478086213473304"
"Eigentuemer","1990","Ostdeutschland","1959","0.297447519207102","0.285958857419508","0.308936180994696"
"Altersheim/Seniorenwohnheim","1990","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1990","Ostdeutschland","","","",""
"Mieter","1990","Westdeutschland","","","",""
"Mieter","1990","Ostdeutschland","","","",""
"Hauptmieter","1991","Westdeutschland","7123","0.503193257406095","0.494413800623141","0.51197271418905"
"Hauptmieter","1991","Ostdeutschland","3531","0.646990921084144","0.634548253022204","0.659433589146083"
"Untermieter","1991","Westdeutschland","243","0.0235900708901453","0.0209251322454419","0.0262550095348487"
"Untermieter","1991","Ostdeutschland","287","0.0528113743238866","0.0469882849407233","0.0586344637070498"
"Eigentuemer","1991","Westdeutschland","5093","0.47321667170376","0.464449641002855","0.481983702404664"
"Eigentuemer","1991","Ostdeutschland","1842","0.298559443183788","0.286644764707179","0.310474121660398"
"Altersheim/Seniorenwohnheim","1991","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1991","Ostdeutschland","","","",""
"Mieter","1991","Westdeutschland","","","",""
"Mieter","1991","Ostdeutschland","","","",""
"Hauptmieter","1992","Westdeutschland","6998","0.492321240359456","0.483536291667601","0.501106189051311"
"Hauptmieter","1992","Ostdeutschland","3511","0.678985925897461","0.666532643109291","0.691439208685631"
"Untermieter","1992","Westdeutschland","283","0.0269240311126247","0.0240798066884159","0.0297682555368335"
"Untermieter","1992","Ostdeutschland","153","0.0262285771723548","0.0219656559618987","0.030491498382811"
