"hlf0001_h","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1985","Schleswig-Holstein","Städtischer Raum","53","0.585068480317083","0.48153518697429","0.688601773659875"
"Hauptmieter","1985","Schleswig-Holstein","Ländlicher Raum","35","0.430881729141364","0.330237953629112","0.531525504653615"
"Hauptmieter","1985","Hamburg","Städtischer Raum","134","0.858662942677135","0.804170327913353","0.913155557440917"
"Hauptmieter","1985","Hamburg","Ländlicher Raum","2","","",""
"Hauptmieter","1985","Niedersachsen","Städtischer Raum","159","0.639506649210737","0.579506587233006","0.699506711188468"
"Hauptmieter","1985","Niedersachsen","Ländlicher Raum","121","0.44579567375034","0.386725735127574","0.504865612373107"
"Hauptmieter","1985","Bremen","Städtischer Raum","48","0.740259678584866","0.632831097900913","0.84768825926882"
"Hauptmieter","1985","Bremen","Ländlicher Raum","","","",""
"Hauptmieter","1985","Nordrhein-Westfalen","Städtischer Raum","971","0.67162648370324","0.646911642253263","0.696341325153218"
"Hauptmieter","1985","Nordrhein-Westfalen","Ländlicher Raum","13","","",""
"Hauptmieter","1985","Hessen","Städtischer Raum","320","0.580510746182437","0.535561423987375","0.625460068377499"
"Hauptmieter","1985","Hessen","Ländlicher Raum","38","0.504421798527307","0.386450443872961","0.622393153181652"
"Hauptmieter","1985","Rheinland-Pfalz,Saarland","Städtischer Raum","148","0.452448391363369","0.395261215431632","0.509635567295107"
"Hauptmieter","1985","Rheinland-Pfalz,Saarland","Ländlicher Raum","18","","",""
"Hauptmieter","1985","Baden-Württemberg","Städtischer Raum","504","0.523272144986691","0.488833862570378","0.557710427403004"
"Hauptmieter","1985","Baden-Württemberg","Ländlicher Raum","72","0.450727976581299","0.36552329838003","0.535932654782567"
"Hauptmieter","1985","Bayern","Städtischer Raum","293","0.582834803482891","0.538303602240719","0.627366004725062"
"Hauptmieter","1985","Bayern","Ländlicher Raum","202","0.46643769522062","0.418556007066178","0.514319383375063"
"Hauptmieter","1985","Saarland","Städtischer Raum","","","",""
"Hauptmieter","1985","Saarland","Ländlicher Raum","","","",""
"Hauptmieter","1985","Berlin","Städtischer Raum","182","0.888297027669649","0.844964747618087","0.931629307721211"
"Hauptmieter","1985","Berlin","Ländlicher Raum","","","",""
"Hauptmieter","1985","Brandenburg","Städtischer Raum","","","",""
"Hauptmieter","1985","Brandenburg","Ländlicher Raum","","","",""
"Hauptmieter","1985","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Hauptmieter","1985","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Hauptmieter","1985","Sachsen","Städtischer Raum","","","",""
"Hauptmieter","1985","Sachsen","Ländlicher Raum","","","",""
"Hauptmieter","1985","Sachsen-Anhalt","Städtischer Raum","","","",""
"Hauptmieter","1985","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Hauptmieter","1985","Thüringen","Städtischer Raum","","","",""
"Hauptmieter","1985","Thüringen","Ländlicher Raum","","","",""
"Untermieter","1985","Schleswig-Holstein","Städtischer Raum","2","","",""
"Untermieter","1985","Schleswig-Holstein","Ländlicher Raum","2","","",""
"Untermieter","1985","Hamburg","Städtischer Raum","4","","",""
"Untermieter","1985","Hamburg","Ländlicher Raum","","","",""
"Untermieter","1985","Niedersachsen","Städtischer Raum","2","","",""
"Untermieter","1985","Niedersachsen","Ländlicher Raum","5","","",""
"Untermieter","1985","Bremen","Städtischer Raum","1","","",""
"Untermieter","1985","Bremen","Ländlicher Raum","","","",""
"Untermieter","1985","Nordrhein-Westfalen","Städtischer Raum","31","0.0191120909750416","0.0119064328487242","0.026317749101359"
"Untermieter","1985","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Untermieter","1985","Hessen","Städtischer Raum","9","","",""
"Untermieter","1985","Hessen","Ländlicher Raum","1","","",""
"Untermieter","1985","Rheinland-Pfalz,Saarland","Städtischer Raum","4","","",""
"Untermieter","1985","Rheinland-Pfalz,Saarland","Ländlicher Raum","1","","",""
"Untermieter","1985","Baden-Württemberg","Städtischer Raum","14","","",""
"Untermieter","1985","Baden-Württemberg","Ländlicher Raum","","","",""
"Untermieter","1985","Bayern","Städtischer Raum","8","","",""
"Untermieter","1985","Bayern","Ländlicher Raum","7","","",""
"Untermieter","1985","Saarland","Städtischer Raum","","","",""
"Untermieter","1985","Saarland","Ländlicher Raum","","","",""
"Untermieter","1985","Berlin","Städtischer Raum","3","","",""
"Untermieter","1985","Berlin","Ländlicher Raum","","","",""
"Untermieter","1985","Brandenburg","Städtischer Raum","","","",""
"Untermieter","1985","Brandenburg","Ländlicher Raum","","","",""
"Untermieter","1985","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Untermieter","1985","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Untermieter","1985","Sachsen","Städtischer Raum","","","",""
"Untermieter","1985","Sachsen","Ländlicher Raum","","","",""
"Untermieter","1985","Sachsen-Anhalt","Städtischer Raum","","","",""
"Untermieter","1985","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Untermieter","1985","Thüringen","Städtischer Raum","","","",""
"Untermieter","1985","Thüringen","Ländlicher Raum","","","",""
"Eigentümer","1985","Schleswig-Holstein","Städtischer Raum","32","0.390335886574368","0.287829005121698","0.492842768027038"
"Eigentümer","1985","Schleswig-Holstein","Ländlicher Raum","56","0.550077448535712","0.448969006616402","0.651185890455023"
"Eigentümer","1985","Hamburg","Städtischer Raum","19","","",""
"Eigentümer","1985","Hamburg","Ländlicher Raum","1","","",""
"Eigentümer","1985","Niedersachsen","Städtischer Raum","85","0.356752264613911","0.296890014143612","0.416614515084211"
"Eigentümer","1985","Niedersachsen","Ländlicher Raum","146","0.53672999428844","0.477470401432445","0.595989587144435"
"Eigentümer","1985","Bremen","Städtischer Raum","15","","",""
"Eigentümer","1985","Bremen","Ländlicher Raum","","","",""
"Eigentümer","1985","Nordrhein-Westfalen","Städtischer Raum","385","0.309261425321718","0.284937727911541","0.333585122731896"
"Eigentümer","1985","Nordrhein-Westfalen","Ländlicher Raum","21","","",""
"Eigentümer","1985","Hessen","Städtischer Raum","134","0.400122407971234","0.355496676054301","0.444748139888166"
"Eigentümer","1985","Hessen","Ländlicher Raum","30","0.476701920562108","0.358854096838938","0.594549744285277"
"Eigentümer","1985","Rheinland-Pfalz,Saarland","Städtischer Raum","139","0.526346007752339","0.468978251502429","0.583713764002249"
"Eigentümer","1985","Rheinland-Pfalz,Saarland","Ländlicher Raum","42","0.632136918467939","0.511123967022485","0.753149869913392"
"Eigentümer","1985","Baden-Württemberg","Städtischer Raum","290","0.461807416776609","0.427432495150711","0.496182338402507"
"Eigentümer","1985","Baden-Württemberg","Ländlicher Raum","59","0.549272023418701","0.464067345217432","0.63447670161997"
"Eigentümer","1985","Bayern","Städtischer Raum","170","0.402384204949995","0.358097931885924","0.446670478014066"
"Eigentümer","1985","Bayern","Ländlicher Raum","208","0.515679960610899","0.467713639501689","0.563646281720108"
"Eigentümer","1985","Saarland","Städtischer Raum","","","",""
"Eigentümer","1985","Saarland","Ländlicher Raum","","","",""
"Eigentümer","1985","Berlin","Städtischer Raum","18","","",""
"Eigentümer","1985","Berlin","Ländlicher Raum","","","",""
"Eigentümer","1985","Brandenburg","Städtischer Raum","","","",""
"Eigentümer","1985","Brandenburg","Ländlicher Raum","","","",""
"Eigentümer","1985","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Eigentümer","1985","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Eigentümer","1985","Sachsen","Städtischer Raum","","","",""
"Eigentümer","1985","Sachsen","Ländlicher Raum","","","",""
"Eigentümer","1985","Sachsen-Anhalt","Städtischer Raum","","","",""
"Eigentümer","1985","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Eigentümer","1985","Thüringen","Städtischer Raum","","","",""
"Eigentümer","1985","Thüringen","Ländlicher Raum","","","",""
"Altersheim","1985","Schleswig-Holstein","Städtischer Raum","","","",""
"Altersheim","1985","Schleswig-Holstein","Ländlicher Raum","","","",""
"Altersheim","1985","Hamburg","Städtischer Raum","","","",""
"Altersheim","1985","Hamburg","Ländlicher Raum","","","",""
"Altersheim","1985","Niedersachsen","Städtischer Raum","","","",""
"Altersheim","1985","Niedersachsen","Ländlicher Raum","","","",""
"Altersheim","1985","Bremen","Städtischer Raum","","","",""
"Altersheim","1985","Bremen","Ländlicher Raum","","","",""
"Altersheim","1985","Nordrhein-Westfalen","Städtischer Raum","","","",""
"Altersheim","1985","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Altersheim","1985","Hessen","Städtischer Raum","","","",""
"Altersheim","1985","Hessen","Ländlicher Raum","","","",""
"Altersheim","1985","Rheinland-Pfalz,Saarland","Städtischer Raum","","","",""
"Altersheim","1985","Rheinland-Pfalz,Saarland","Ländlicher Raum","","","",""
"Altersheim","1985","Baden-Württemberg","Städtischer Raum","","","",""
"Altersheim","1985","Baden-Württemberg","Ländlicher Raum","","","",""
"Altersheim","1985","Bayern","Städtischer Raum","","","",""
"Altersheim","1985","Bayern","Ländlicher Raum","","","",""
"Altersheim","1985","Saarland","Städtischer Raum","","","",""
"Altersheim","1985","Saarland","Ländlicher Raum","","","",""
"Altersheim","1985","Berlin","Städtischer Raum","","","",""
"Altersheim","1985","Berlin","Ländlicher Raum","","","",""
"Altersheim","1985","Brandenburg","Städtischer Raum","","","",""
"Altersheim","1985","Brandenburg","Ländlicher Raum","","","",""
"Altersheim","1985","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Altersheim","1985","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Altersheim","1985","Sachsen","Städtischer Raum","","","",""
"Altersheim","1985","Sachsen","Ländlicher Raum","","","",""
"Altersheim","1985","Sachsen-Anhalt","Städtischer Raum","","","",""
"Altersheim","1985","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Altersheim","1985","Thüringen","Städtischer Raum","","","",""
"Altersheim","1985","Thüringen","Ländlicher Raum","","","",""
"Mieter","1985","Schleswig-Holstein","Städtischer Raum","","","",""
"Mieter","1985","Schleswig-Holstein","Ländlicher Raum","","","",""
"Mieter","1985","Hamburg","Städtischer Raum","","","",""
"Mieter","1985","Hamburg","Ländlicher Raum","","","",""
"Mieter","1985","Niedersachsen","Städtischer Raum","","","",""
"Mieter","1985","Niedersachsen","Ländlicher Raum","","","",""
"Mieter","1985","Bremen","Städtischer Raum","","","",""
"Mieter","1985","Bremen","Ländlicher Raum","","","",""
"Mieter","1985","Nordrhein-Westfalen","Städtischer Raum","","","",""
"Mieter","1985","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Mieter","1985","Hessen","Städtischer Raum","","","",""
"Mieter","1985","Hessen","Ländlicher Raum","","","",""
"Mieter","1985","Rheinland-Pfalz,Saarland","Städtischer Raum","","","",""
"Mieter","1985","Rheinland-Pfalz,Saarland","Ländlicher Raum","","","",""
"Mieter","1985","Baden-Württemberg","Städtischer Raum","","","",""
"Mieter","1985","Baden-Württemberg","Ländlicher Raum","","","",""
"Mieter","1985","Bayern","Städtischer Raum","","","",""
"Mieter","1985","Bayern","Ländlicher Raum","","","",""
"Mieter","1985","Saarland","Städtischer Raum","","","",""
"Mieter","1985","Saarland","Ländlicher Raum","","","",""
"Mieter","1985","Berlin","Städtischer Raum","","","",""
"Mieter","1985","Berlin","Ländlicher Raum","","","",""
"Mieter","1985","Brandenburg","Städtischer Raum","","","",""
"Mieter","1985","Brandenburg","Ländlicher Raum","","","",""
"Mieter","1985","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Mieter","1985","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Mieter","1985","Sachsen","Städtischer Raum","","","",""
"Mieter","1985","Sachsen","Ländlicher Raum","","","",""
"Mieter","1985","Sachsen-Anhalt","Städtischer Raum","","","",""
"Mieter","1985","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Mieter","1985","Thüringen","Städtischer Raum","","","",""
"Mieter","1985","Thüringen","Ländlicher Raum","","","",""
"Hauptmieter","1986","Schleswig-Holstein","Städtischer Raum","49","0.603322149519696","0.494756008748659","0.711888290290734"
"Hauptmieter","1986","Schleswig-Holstein","Ländlicher Raum","26","","",""
"Hauptmieter","1986","Hamburg","Städtischer Raum","118","0.840532136144409","0.780526254384834","0.900538017903984"
"Hauptmieter","1986","Hamburg","Ländlicher Raum","2","","",""
