"hlf0001_h","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1985","Städtischer Raum","2812","0.627292397106098","0.612628986653882","0.641955807558313"
"Hauptmieter","1985","Ländlicher Raum","501","0.448158422046743","0.418499237666098","0.477817606427389"
"Untermieter","1985","Städtischer Raum","78","0.0168615067313874","0.012956953088386","0.0207660603743888"
"Untermieter","1985","Ländlicher Raum","16","","",""
"Eigentümer","1985","Städtischer Raum","1287","0.355846096162515","0.341326926579084","0.370365265745946"
"Eigentümer","1985","Ländlicher Raum","563","0.535490340594196","0.505745653224211","0.565235027964181"
"Altersheim","1985","Städtischer Raum","","","",""
"Altersheim","1985","Ländlicher Raum","","","",""
"Mieter","1985","Städtischer Raum","","","",""
"Mieter","1985","Ländlicher Raum","","","",""
"Hauptmieter","1986","Städtischer Raum","2634","0.623489123828724","0.608487384189388","0.638490863468059"
"Hauptmieter","1986","Ländlicher Raum","450","0.438903416290031","0.408493616068681","0.469313216511381"
"Untermieter","1986","Städtischer Raum","88","0.0210019586827508","0.016562201371034","0.0254417159944676"
"Untermieter","1986","Ländlicher Raum","26","","",""
"Eigentümer","1986","Städtischer Raum","1285","0.355508917488526","0.340688101146471","0.37032973383058"
"Eigentümer","1986","Ländlicher Raum","547","0.537261315731901","0.506707112464841","0.567815518998961"
"Altersheim","1986","Städtischer Raum","","","",""
"Altersheim","1986","Ländlicher Raum","","","",""
"Mieter","1986","Städtischer Raum","","","",""
"Mieter","1986","Ländlicher Raum","","","",""
"Hauptmieter","1987","Städtischer Raum","2558","0.619210448788086","0.604084696292864","0.634336201283308"
"Hauptmieter","1987","Ländlicher Raum","451","0.430785276567403","0.400261307727599","0.461309245407207"
"Untermieter","1987","Städtischer Raum","103","0.0270457607756341","0.0219927392463972","0.032098782304871"
"Untermieter","1987","Ländlicher Raum","28","","",""
"Eigentümer","1987","Städtischer Raum","1298","0.35374379043628","0.338850107052196","0.368637473820364"
"Eigentümer","1987","Ländlicher Raum","532","0.536865709973154","0.506128898400052","0.567602521546256"
"Altersheim","1987","Städtischer Raum","","","",""
"Altersheim","1987","Ländlicher Raum","","","",""
"Mieter","1987","Städtischer Raum","","","",""
"Mieter","1987","Ländlicher Raum","","","",""
"Hauptmieter","1988","Städtischer Raum","2460","0.60988507088369","0.594398726845551","0.62537141492183"
