"hlf0001_h","year","bula_h","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1984","Schleswig-Holstein","1-Pers.- Haushalt","37","0.663903716425026","0.536730820425266","0.791076612424785"
"Hauptmieter","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","36","0.376261508501327","0.275044633671473","0.477478383331181"
"Hauptmieter","1984","Schleswig-Holstein","Alleinerziehende","22","","",""
"Hauptmieter","1984","Schleswig-Holstein","Paar mit Kind(ern)","120","0.344415076269665","0.291347617822689","0.397482534716642"
"Hauptmieter","1984","Schleswig-Holstein","Sonstige","12","","",""
"Hauptmieter","1984","Hamburg","1-Pers.- Haushalt","49","0.930847425486388","0.862542254342288","0.999152596630487"
"Hauptmieter","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","78","0.827581206963773","0.750392851592493","0.904769562335053"
"Hauptmieter","1984","Hamburg","Alleinerziehende","24","","",""
"Hauptmieter","1984","Hamburg","Paar mit Kind(ern)","161","0.710573961944281","0.648343008948828","0.772804914939734"
"Hauptmieter","1984","Hamburg","Sonstige","20","","",""
"Hauptmieter","1984","Niedersachsen","1-Pers.- Haushalt","89","0.726975153938003","0.646248671383552","0.807701636492454"
"Hauptmieter","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","148","0.48990690666346","0.431561719203819","0.548252094123101"
"Hauptmieter","1984","Niedersachsen","Alleinerziehende","46","0.473592571069895","0.367446952168357","0.579738189971433"
"Hauptmieter","1984","Niedersachsen","Paar mit Kind(ern)","491","0.39157450283293","0.361061690528843","0.422087315137017"
"Hauptmieter","1984","Niedersachsen","Sonstige","36","0.196828454834569","0.131432329527056","0.262224580142081"
"Hauptmieter","1984","Bremen","1-Pers.- Haushalt","24","","",""
"Hauptmieter","1984","Bremen","(Ehe-)Paar ohne Kind(er)","34","0.739492697767662","0.612655665801642","0.866329729733682"
"Hauptmieter","1984","Bremen","Alleinerziehende","5","","",""
"Hauptmieter","1984","Bremen","Paar mit Kind(ern)","58","0.502454769545707","0.392199510079797","0.612710029011616"
"Hauptmieter","1984","Bremen","Sonstige","2","","",""
"Hauptmieter","1984","Nordrhein-Westfalen","1-Pers.- Haushalt","293","0.789117672014361","0.747438876472148","0.830796467556573"
"Hauptmieter","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","502","0.658986170267302","0.62411688360476","0.693855456929844"
"Hauptmieter","1984","Nordrhein-Westfalen","Alleinerziehende","183","0.759181471313122","0.703311997470935","0.815050945155309"
"Hauptmieter","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","1919","0.527136874179943","0.508943917011486","0.5453298313484"
"Hauptmieter","1984","Nordrhein-Westfalen","Sonstige","117","0.48315673321695","0.413900870646677","0.552412595787223"
"Hauptmieter","1984","Hessen","1-Pers.- Haushalt","94","0.745646420628281","0.668050158516462","0.8232426827401"
"Hauptmieter","1984","Hessen","(Ehe-)Paar ohne Kind(er)","176","0.527999796560492","0.470143178356455","0.585856414764529"
"Hauptmieter","1984","Hessen","Alleinerziehende","53","0.645588671661104","0.531052559356312","0.760124783965897"
"Hauptmieter","1984","Hessen","Paar mit Kind(ern)","708","0.514457761115987","0.483740960087883","0.54517456214409"
"Hauptmieter","1984","Hessen","Sonstige","102","0.466708808066233","0.384362574701067","0.549055041431399"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","46","0.569792309883146","0.459206321252186","0.680378298514106"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","90","0.388005528210682","0.321461791131424","0.454549265289941"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","39","0.590682892839161","0.467289951092924","0.714075834585397"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","291","0.329264284998189","0.293024979934604","0.365503590061773"
"Hauptmieter","1984","Rheinland-Pfalz,Saarland","Sonstige","31","0.204685675574855","0.123552324147836","0.285819027001875"
"Hauptmieter","1984","Baden-Wuerttemberg","1-Pers.- Haushalt","143","0.645804758541132","0.580964172794636","0.710645344287628"
"Hauptmieter","1984","Baden-Wuerttemberg","(Ehe-)Paar ohne Kind(er)","226","0.426008875896602","0.377908664344916","0.474109087448288"
"Hauptmieter","1984","Baden-Wuerttemberg","Alleinerziehende","113","0.588546949759219","0.51229713386099","0.664796765657447"
"Hauptmieter","1984","Baden-Wuerttemberg","Paar mit Kind(ern)","1315","0.400126964022386","0.379442082689474","0.420811845355298"
"Hauptmieter","1984","Baden-Wuerttemberg","Sonstige","105","0.204272922295102","0.14601880191932","0.262527042670885"
"Hauptmieter","1984","Bayern","1-Pers.- Haushalt","130","0.666370695642681","0.599502216226325","0.733239175059037"
"Hauptmieter","1984","Bayern","(Ehe-)Paar ohne Kind(er)","266","0.510493450245053","0.465866324900854","0.555120575589252"
"Hauptmieter","1984","Bayern","Alleinerziehende","74","0.582051443185364","0.4945308452946","0.669572041076127"
"Hauptmieter","1984","Bayern","Paar mit Kind(ern)","939","0.402249822331989","0.379502160247286","0.424997484416692"
"Hauptmieter","1984","Bayern","Sonstige","62","0.360680719678066","0.284089324241768","0.437272115114364"
"Hauptmieter","1984","Saarland","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Saarland","Alleinerziehende","","","",""
"Hauptmieter","1984","Saarland","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Saarland","Sonstige","","","",""
"Hauptmieter","1984","Berlin","1-Pers.- Haushalt","68","0.940577808234404","0.885970151616365","0.995185464852443"
"Hauptmieter","1984","Berlin","(Ehe-)Paar ohne Kind(er)","96","0.907828907219682","0.852234539748904","0.96342327469046"
"Hauptmieter","1984","Berlin","Alleinerziehende","47","1","1","1"
"Hauptmieter","1984","Berlin","Paar mit Kind(ern)","257","0.85486980363544","0.814047834094505","0.895691773176375"
"Hauptmieter","1984","Berlin","Sonstige","29","","",""
"Hauptmieter","1984","Brandenburg","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Brandenburg","Alleinerziehende","","","",""
"Hauptmieter","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Brandenburg","Sonstige","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Hauptmieter","1984","Sachsen","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Sachsen","Alleinerziehende","","","",""
"Hauptmieter","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Sachsen","Sonstige","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Sachsen-Anhalt","Sonstige","","","",""
"Hauptmieter","1984","Thueringen","1-Pers.- Haushalt","","","",""
"Hauptmieter","1984","Thueringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Hauptmieter","1984","Thueringen","Alleinerziehende","","","",""
"Hauptmieter","1984","Thueringen","Paar mit Kind(ern)","","","",""
"Hauptmieter","1984","Thueringen","Sonstige","","","",""
"Untermieter","1984","Schleswig-Holstein","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Untermieter","1984","Schleswig-Holstein","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Schleswig-Holstein","Sonstige","","","",""
"Untermieter","1984","Hamburg","1-Pers.- Haushalt","1","","",""
"Untermieter","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Hamburg","Alleinerziehende","","","",""
"Untermieter","1984","Hamburg","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Hamburg","Sonstige","","","",""
"Untermieter","1984","Niedersachsen","1-Pers.- Haushalt","6","","",""
"Untermieter","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","6","","",""
"Untermieter","1984","Niedersachsen","Alleinerziehende","6","","",""
"Untermieter","1984","Niedersachsen","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Niedersachsen","Sonstige","","","",""
"Untermieter","1984","Bremen","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Bremen","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Bremen","Alleinerziehende","","","",""
"Untermieter","1984","Bremen","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Bremen","Sonstige","","","",""
"Untermieter","1984","Nordrhein-Westfalen","1-Pers.- Haushalt","19","","",""
"Untermieter","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","6","","",""
"Untermieter","1984","Nordrhein-Westfalen","Alleinerziehende","","","",""
"Untermieter","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","15","","",""
"Untermieter","1984","Nordrhein-Westfalen","Sonstige","","","",""
"Untermieter","1984","Hessen","1-Pers.- Haushalt","7","","",""
"Untermieter","1984","Hessen","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Hessen","Alleinerziehende","","","",""
"Untermieter","1984","Hessen","Paar mit Kind(ern)","6","","",""
"Untermieter","1984","Hessen","Sonstige","","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","2","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","2","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","15","","",""
"Untermieter","1984","Rheinland-Pfalz,Saarland","Sonstige","","","",""
"Untermieter","1984","Baden-Wuerttemberg","1-Pers.- Haushalt","13","","",""
"Untermieter","1984","Baden-Wuerttemberg","(Ehe-)Paar ohne Kind(er)","2","","",""
"Untermieter","1984","Baden-Wuerttemberg","Alleinerziehende","","","",""
"Untermieter","1984","Baden-Wuerttemberg","Paar mit Kind(ern)","24","","",""
"Untermieter","1984","Baden-Wuerttemberg","Sonstige","","","",""
"Untermieter","1984","Bayern","1-Pers.- Haushalt","7","","",""
"Untermieter","1984","Bayern","(Ehe-)Paar ohne Kind(er)","8","","",""
"Untermieter","1984","Bayern","Alleinerziehende","","","",""
"Untermieter","1984","Bayern","Paar mit Kind(ern)","21","","",""
"Untermieter","1984","Bayern","Sonstige","2","","",""
"Untermieter","1984","Saarland","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Saarland","Alleinerziehende","","","",""
"Untermieter","1984","Saarland","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Saarland","Sonstige","","","",""
"Untermieter","1984","Berlin","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Berlin","Alleinerziehende","","","",""
"Untermieter","1984","Berlin","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Berlin","Sonstige","","","",""
"Untermieter","1984","Brandenburg","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Brandenburg","Alleinerziehende","","","",""
"Untermieter","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Brandenburg","Sonstige","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Untermieter","1984","Sachsen","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Sachsen","Alleinerziehende","","","",""
"Untermieter","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Sachsen","Sonstige","","","",""
"Untermieter","1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Untermieter","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Sachsen-Anhalt","Sonstige","","","",""
"Untermieter","1984","Thueringen","1-Pers.- Haushalt","","","",""
"Untermieter","1984","Thueringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Untermieter","1984","Thueringen","Alleinerziehende","","","",""
"Untermieter","1984","Thueringen","Paar mit Kind(ern)","","","",""
"Untermieter","1984","Thueringen","Sonstige","","","",""
"Eigentuemer","1984","Schleswig-Holstein","1-Pers.- Haushalt","16","","",""
"Eigentuemer","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","52","0.623738491498673","0.522521616668819","0.724955366328527"
"Eigentuemer","1984","Schleswig-Holstein","Alleinerziehende","8","","",""
"Eigentuemer","1984","Schleswig-Holstein","Paar mit Kind(ern)","188","0.655584923730335","0.602517465283358","0.708652382177311"
"Eigentuemer","1984","Schleswig-Holstein","Sonstige","18","","",""
"Eigentuemer","1984","Hamburg","1-Pers.- Haushalt","3","","",""
"Eigentuemer","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","14","","",""
"Eigentuemer","1984","Hamburg","Alleinerziehende","","","",""
"Eigentuemer","1984","Hamburg","Paar mit Kind(ern)","43","0.289426038055719","0.227195085060266","0.351656991051172"
"Eigentuemer","1984","Hamburg","Sonstige","","","",""
"Eigentuemer","1984","Niedersachsen","1-Pers.- Haushalt","22","","",""
"Eigentuemer","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","128","0.494601241074879","0.436247564590162","0.552954917559596"
"Eigentuemer","1984","Niedersachsen","Alleinerziehende","33","0.447449665373452","0.34174439409664","0.553154936650265"
"Eigentuemer","1984","Niedersachsen","Paar mit Kind(ern)","488","0.604088109757735","0.573516328159392","0.634659891356078"
"Eigentuemer","1984","Niedersachsen","Sonstige","106","0.803171545165431","0.737775419857919","0.868567670472943"
"Eigentuemer","1984","Bremen","1-Pers.- Haushalt","3","","",""
"Eigentuemer","1984","Bremen","(Ehe-)Paar ohne Kind(er)","12","","",""
"Eigentuemer","1984","Bremen","Alleinerziehende","2","","",""
"Eigentuemer","1984","Bremen","Paar mit Kind(ern)","21","","",""
"Eigentuemer","1984","Bremen","Sonstige","6","","",""
"Eigentuemer","1984","Nordrhein-Westfalen","1-Pers.- Haushalt","54","0.176554977239459","0.137598339331936","0.215511615146982"
"Eigentuemer","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","202","0.334085973657198","0.299391754362513","0.368780192951882"
"Eigentuemer","1984","Nordrhein-Westfalen","Alleinerziehende","42","0.240818528686878","0.184949054844691","0.296688002529065"
"Eigentuemer","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","950","0.462786252901274","0.444616975406266","0.480955530396283"
"Eigentuemer","1984","Nordrhein-Westfalen","Sonstige","83","0.51684326678305","0.447587404212777","0.586099129353324"
"Eigentuemer","1984","Hessen","1-Pers.- Haushalt","20","","",""
"Eigentuemer","1984","Hessen","(Ehe-)Paar ohne Kind(er)","106","0.453094687833162","0.395402683087754","0.51078669257857"
"Eigentuemer","1984","Hessen","Alleinerziehende","14","","",""
"Eigentuemer","1984","Hessen","Paar mit Kind(ern)","303","0.484625320220459","0.453910201094563","0.515340439346355"
"Eigentuemer","1984","Hessen","Sonstige","39","0.533291191933767","0.450944958568601","0.615637425298933"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","29","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","116","0.611994471789318","0.545450734710059","0.678538208868576"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","20","","",""
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","336","0.64872389385803","0.61191217605124","0.68553561166482"
"Eigentuemer","1984","Rheinland-Pfalz,Saarland","Sonstige","64","0.795314324425145","0.714180972998125","0.876447675852164"
"Eigentuemer","1984","Baden-Wuerttemberg","1-Pers.- Haushalt","52","0.302239690665933","0.23998044894497","0.364498932386897"
"Eigentuemer","1984","Baden-Wuerttemberg","(Ehe-)Paar ohne Kind(er)","178","0.573441934916193","0.525333760412947","0.621550109419439"
"Eigentuemer","1984","Baden-Wuerttemberg","Alleinerziehende","47","0.411453050240781","0.335203234342553","0.48770286613901"
"Eigentuemer","1984","Baden-Wuerttemberg","Paar mit Kind(ern)","807","0.586839567038376","0.566050092634619","0.607629041442133"
"Eigentuemer","1984","Baden-Wuerttemberg","Sonstige","79","0.795727077704898","0.737472957329115","0.85398119808068"
"Eigentuemer","1984","Bayern","1-Pers.- Haushalt","53","0.305440967983743","0.240120448085748","0.370761487881738"
