year,rentown,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Owner,West,Yes,0.53029,2643,4244,0.51528,0.54531
2005,Owner,West,No,0.45581,1601,4244,0.44083,0.47080
2005,Owner,East,Yes,0.48120,604,1091,0.45154,0.51086
2005,Owner,East,No,0.50213,487,1091,0.47245,0.53182
2005,Tenant,West,Yes,0.43527,2074,4198,0.42027,0.45027
2005,Tenant,West,No,0.55653,2124,4198,0.54150,0.57156
2005,Tenant,East,Yes,0.34300,637,1567,0.31949,0.36652
2005,Tenant,East,No,0.63984,930,1567,0.61606,0.66361
2007,Owner,West,Yes,0.61904,3127,4443,0.60476,0.63332
2007,Owner,West,No,0.36512,1316,4443,0.35096,0.37928
2007,Owner,East,Yes,0.53082,703,1132,0.50173,0.55990
2007,Owner,East,No,0.45801,429,1132,0.42898,0.48705
2007,Tenant,West,Yes,0.51220,2411,4185,0.49705,0.52734
2007,Tenant,West,No,0.47764,1774,4185,0.46251,0.49278
2007,Tenant,East,Yes,0.39184,734,1606,0.36796,0.41572
2007,Tenant,East,No,0.60057,872,1606,0.57661,0.62453
2011,Owner,West,Yes,0.67126,3731,4761,0.65792,0.68461
2011,Owner,West,No,0.25997,1030,4761,0.24751,0.27243
2011,Owner,East,Yes,0.61755,829,1151,0.58946,0.64564
2011,Owner,East,No,0.31217,322,1151,0.28539,0.33895
2011,Tenant,West,Yes,0.58751,3161,4387,0.57294,0.60208
2011,Tenant,West,No,0.31230,1226,4387,0.29859,0.32602
2011,Tenant,East,Yes,0.49496,1047,1723,0.47134,0.51857
2011,Tenant,East,No,0.42093,676,1723,0.39761,0.44425
2013,Owner,West,Yes,0.72785,4205,4964,0.71547,0.74024
2013,Owner,West,No,0.20531,759,4964,0.19407,0.21655
2013,Owner,East,Yes,0.65852,842,1098,0.63046,0.68658
2013,Owner,East,No,0.27135,256,1098,0.24503,0.29766
2013,Tenant,West,Yes,0.66222,4850,6039,0.65029,0.67415
2013,Tenant,West,No,0.26234,1189,6039,0.25124,0.27343
2013,Tenant,East,Yes,0.55064,1178,1771,0.52747,0.57382
2013,Tenant,East,No,0.37271,593,1771,0.35019,0.39524
2014,Owner,West,Yes,0.78018,5043,5804,0.76953,0.79084
2014,Owner,West,No,0.21565,761,5804,0.20507,0.22623
2014,Owner,East,Yes,0.73242,990,1231,0.70767,0.75716
2014,Owner,East,No,0.26670,241,1231,0.24198,0.29141
2014,Tenant,West,Yes,0.73140,5491,6608,0.72071,0.74208
2014,Tenant,West,No,0.26407,1117,6608,0.25344,0.27470
2014,Tenant,East,Yes,0.60858,1526,2133,0.58786,0.62930
2014,Tenant,East,No,0.38096,607,2133,0.36035,0.40158
2015,Owner,West,Yes,0.80489,4901,5537,0.79445,0.81533
2015,Owner,West,No,0.19109,636,5537,0.18073,0.20144
2015,Owner,East,Yes,0.73512,963,1185,0.70998,0.76025
2015,Owner,East,No,0.25486,222,1185,0.23004,0.27968
2015,Tenant,West,Yes,0.75831,5896,6925,0.74823,0.76840
2015,Tenant,West,No,0.23791,1029,6925,0.22788,0.24794
2015,Tenant,East,Yes,0.65045,1543,2074,0.62992,0.67098
2015,Tenant,East,No,0.33547,531,2074,0.31514,0.35579
2016,Owner,West,Yes,0.82438,4628,5141,0.81397,0.83478
2016,Owner,West,No,0.17263,513,5141,0.16229,0.18296
2016,Owner,East,Yes,0.78774,958,1155,0.76414,0.81133
2016,Owner,East,No,0.21191,197,1155,0.18833,0.23549
2016,Tenant,West,Yes,0.77693,5237,6073,0.76645,0.78740
2016,Tenant,West,No,0.21998,836,6073,0.20956,0.23040
2016,Tenant,East,Yes,0.69689,1448,1913,0.67629,0.71749
2016,Tenant,East,No,0.29998,465,1913,0.27943,0.32052
2017,Owner,West,Yes,0.84763,5293,5743,0.83833,0.85692
2017,Owner,West,No,0.14922,450,5743,0.14000,0.15844
2017,Owner,East,Yes,0.80785,1126,1311,0.78651,0.82919
2017,Owner,East,No,0.19013,185,1311,0.16888,0.21138
2017,Tenant,West,Yes,0.79798,7089,7999,0.78918,0.80678
2017,Tenant,West,No,0.20110,910,7999,0.19231,0.20988
2017,Tenant,East,Yes,0.71822,1913,2403,0.70023,0.73621
2017,Tenant,East,No,0.27855,490,2403,0.26062,0.29648
2018,Owner,West,Yes,0.85582,5103,5501,0.84654,0.86511
2018,Owner,West,No,0.14290,398,5501,0.13365,0.15215
2018,Owner,East,Yes,0.83538,1109,1253,0.81484,0.85592
2018,Owner,East,No,0.16244,144,1253,0.14201,0.18287
2018,Tenant,West,Yes,0.80837,7678,8587,0.80005,0.81670
2018,Tenant,West,No,0.18945,909,8587,0.18117,0.19774
2018,Tenant,East,Yes,0.74309,2067,2521,0.72603,0.76015
2018,Tenant,East,No,0.25497,454,2521,0.23796,0.27199
2019,Owner,West,Yes,0.87586,5977,6316,0.86773,0.88399
2019,Owner,West,No,0.12304,339,6316,0.11494,0.13114
2019,Owner,East,Yes,0.85568,1419,1548,0.83817,0.87319
2019,Owner,East,No,0.14352,129,1548,0.12605,0.16100
2019,Tenant,West,Yes,0.84063,7444,8133,0.83268,0.84859
2019,Tenant,West,No,0.15685,689,8133,0.14894,0.16475
2019,Tenant,East,Yes,0.76215,1998,2356,0.74496,0.77935
2019,Tenant,East,No,0.23396,358,2356,0.21687,0.25106
2020,Tenant,West,Yes,0.01810,2441,2584,0.01296,0.02325
2020,Tenant,West,No,0.00155,143,2584,0.00003,0.00307
2020,Tenant,East,Yes,0.01186,366,366,0.00075,0.02296
2021,Owner,West,Yes,0.90782,3964,4143,0.89901,0.91663
2021,Owner,West,No,0.09074,179,4143,0.08199,0.09948
2021,Owner,East,Yes,0.92148,902,954,0.90440,0.93856
2021,Owner,East,No,0.07852,52,954,0.06144,0.09560
2021,Tenant,West,Yes,0.87318,5488,5826,0.86464,0.88173
2021,Tenant,West,No,0.12466,338,5826,0.11617,0.13314
2021,Tenant,East,Yes,0.83132,1447,1633,0.81315,0.84948
2021,Tenant,East,No,0.16443,186,1633,0.14644,0.18241
