year,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,West,Yes,0.47707,4717,8442,0.46642,0.48773
2005,West,No,0.51222,3725,8442,0.50156,0.52289
2005,East,Yes,0.38820,1242,2659,0.36967,0.40673
2005,East,No,0.59482,1417,2659,0.57615,0.61348
2007,West,Yes,0.56001,5538,8628,0.54953,0.57048
2007,West,No,0.42729,3090,8628,0.41685,0.43773
2007,East,Yes,0.43769,1437,2738,0.41911,0.45628
2007,East,No,0.55354,1301,2738,0.53491,0.57216
2011,West,Yes,0.62772,6892,9148,0.61781,0.63762
2011,West,No,0.28718,2256,9148,0.27791,0.29645
2011,East,Yes,0.53782,1876,2874,0.51959,0.55605
2011,East,No,0.38291,998,2874,0.36513,0.40068
2013,West,Yes,0.69342,9055,11003,0.68481,0.70204
2013,West,No,0.23523,1948,11003,0.22730,0.24315
2013,East,Yes,0.58971,2020,2869,0.57170,0.60771
2013,East,No,0.33601,849,2869,0.31872,0.35330
2014,West,Yes,0.75474,10534,12412,0.74717,0.76231
2014,West,No,0.24090,1878,12412,0.23338,0.24843
2014,East,Yes,0.65118,2516,3364,0.63507,0.66729
2014,East,No,0.34166,848,3364,0.32563,0.35769
2015,West,Yes,0.78068,10797,12462,0.77342,0.78795
2015,West,No,0.21542,1665,12462,0.20821,0.22264
2015,East,Yes,0.68008,2506,3259,0.66407,0.69610
2015,East,No,0.30725,753,3259,0.29141,0.32310
2016,West,Yes,0.79922,11174,12924,0.79232,0.80613
2016,West,No,0.19768,1750,12924,0.19082,0.20455
2016,East,Yes,0.72941,2673,3457,0.71460,0.74422
2016,East,No,0.26844,784,3457,0.25367,0.28322
2017,West,Yes,0.82187,12954,14460,0.81563,0.82811
2017,West,No,0.17614,1506,14460,0.16993,0.18234
2017,East,Yes,0.75091,3102,3793,0.73714,0.76467
2017,East,No,0.24628,691,3793,0.23257,0.26000
2018,West,Yes,0.83142,12781,14088,0.82524,0.83760
2018,West,No,0.16684,1307,14088,0.16069,0.17300
2018,East,Yes,0.77688,3176,3774,0.76360,0.79017
2018,East,No,0.22109,598,3774,0.20785,0.23434
2019,West,Yes,0.85768,13422,14450,0.85199,0.86338
2019,West,No,0.14049,1028,14450,0.13482,0.14615
2019,East,Yes,0.79746,3417,3904,0.78486,0.81007
2019,East,No,0.19982,487,3904,0.18727,0.21236
2020,West,Yes,0.00940,2457,2601,0.00569,0.01311
2020,West,No,0.00080,144,2601,-0.00029,0.00189
2020,East,Yes,0.00747,367,367,-0.00135,0.01629
2021,West,Yes,0.88953,9454,9971,0.88338,0.89568
2021,West,No,0.10809,517,9971,0.10200,0.11418
2021,East,Yes,0.86542,2350,2588,0.85227,0.87857
2021,East,No,0.13193,238,2588,0.11889,0.14497
