year,quintil_oecd_hh,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Owner,Yes,0.27864,111,320,0.22944,0.32783
2005,1st Quintile,Owner,No,0.68153,209,320,0.63041,0.73266
2005,1st Quintile,Tenant,Yes,0.28759,518,1625,0.26558,0.30961
2005,1st Quintile,Tenant,No,0.69775,1107,1625,0.67541,0.72008
2005,2nd Quintile,Owner,Yes,0.38259,310,754,0.34787,0.41730
2005,2nd Quintile,Owner,No,0.60277,444,754,0.56782,0.63772
2005,2nd Quintile,Tenant,Yes,0.34992,498,1294,0.32392,0.37591
2005,2nd Quintile,Tenant,No,0.63940,796,1294,0.61323,0.66557
2005,3rd Quintile,Owner,Yes,0.47755,536,1010,0.44673,0.50838
2005,3rd Quintile,Owner,No,0.51094,474,1010,0.48010,0.54179
2005,3rd Quintile,Tenant,Yes,0.42182,503,1071,0.39223,0.45141
2005,3rd Quintile,Tenant,No,0.56590,568,1071,0.53620,0.59560
2005,4th Quintile,Owner,Yes,0.53470,780,1292,0.50749,0.56191
2005,4th Quintile,Owner,No,0.45419,512,1292,0.42703,0.48135
2005,4th Quintile,Tenant,Yes,0.49775,516,906,0.46518,0.53033
2005,4th Quintile,Tenant,No,0.49894,390,906,0.46637,0.53152
2005,5th Quintile,Owner,Yes,0.68599,1510,1958,0.66543,0.70655
2005,5th Quintile,Owner,No,0.30172,448,1958,0.28139,0.32206
2005,5th Quintile,Tenant,Yes,0.70188,676,867,0.67141,0.73234
2005,5th Quintile,Tenant,No,0.29369,191,867,0.26336,0.32403
2007,1st Quintile,Owner,Yes,0.36862,135,326,0.31617,0.42107
2007,1st Quintile,Owner,No,0.60430,191,326,0.55114,0.65747
2007,1st Quintile,Tenant,Yes,0.35771,652,1616,0.33433,0.38108
2007,1st Quintile,Tenant,No,0.63364,964,1616,0.61014,0.65714
2007,2nd Quintile,Owner,Yes,0.45196,361,737,0.41601,0.48792
2007,2nd Quintile,Owner,No,0.53439,376,737,0.49836,0.57043
2007,2nd Quintile,Tenant,Yes,0.40920,626,1356,0.38302,0.43538
2007,2nd Quintile,Tenant,No,0.58047,730,1356,0.55419,0.60675
2007,3rd Quintile,Owner,Yes,0.54186,663,1110,0.51254,0.57118
2007,3rd Quintile,Owner,No,0.44131,447,1110,0.41208,0.47053
2007,3rd Quintile,Tenant,Yes,0.50031,594,1081,0.47049,0.53013
2007,3rd Quintile,Tenant,No,0.48554,487,1081,0.45573,0.51534
2007,4th Quintile,Owner,Yes,0.63642,979,1379,0.61102,0.66181
2007,4th Quintile,Owner,No,0.34689,400,1379,0.32175,0.37202
2007,4th Quintile,Tenant,Yes,0.61201,629,937,0.58079,0.64323
2007,4th Quintile,Tenant,No,0.37813,308,937,0.34706,0.40919
2007,5th Quintile,Owner,Yes,0.76680,1692,2023,0.74837,0.78524
2007,5th Quintile,Owner,No,0.22286,331,2023,0.20472,0.24100
2007,5th Quintile,Tenant,Yes,0.74204,641,798,0.71166,0.77241
2007,5th Quintile,Tenant,No,0.25462,157,798,0.22437,0.28486
2011,1st Quintile,Owner,Yes,0.32503,185,379,0.27781,0.37225
2011,1st Quintile,Owner,No,0.55649,194,379,0.50641,0.60658
2011,1st Quintile,Tenant,Yes,0.39608,1069,1860,0.37385,0.41832
2011,1st Quintile,Tenant,No,0.45507,791,1860,0.43243,0.47771
2011,2nd Quintile,Owner,Yes,0.48272,510,853,0.44917,0.51628
2011,2nd Quintile,Owner,No,0.41654,343,853,0.38343,0.44964
2011,2nd Quintile,Tenant,Yes,0.48861,830,1372,0.46215,0.51507
2011,2nd Quintile,Tenant,No,0.40297,542,1372,0.37701,0.42894
2011,3rd Quintile,Owner,Yes,0.57663,839,1226,0.54896,0.60430
2011,3rd Quintile,Owner,No,0.35033,387,1226,0.32362,0.37705
2011,3rd Quintile,Tenant,Yes,0.63591,836,1137,0.60793,0.66390
2011,3rd Quintile,Tenant,No,0.28783,301,1137,0.26150,0.31416
2011,4th Quintile,Owner,Yes,0.73686,1217,1462,0.71428,0.75944
2011,4th Quintile,Owner,No,0.19886,245,1462,0.17839,0.21932
2011,4th Quintile,Tenant,Yes,0.75323,791,963,0.72598,0.78047
2011,4th Quintile,Tenant,No,0.20053,172,963,0.17523,0.22583
2011,5th Quintile,Owner,Yes,0.84448,1809,1992,0.82856,0.86039
2011,5th Quintile,Owner,No,0.11464,183,1992,0.10065,0.12863
2011,5th Quintile,Tenant,Yes,0.81943,681,775,0.79233,0.84653
2011,5th Quintile,Tenant,No,0.14347,94,775,0.11878,0.16817
2013,1st Quintile,Owner,Yes,0.42545,241,387,0.37613,0.47477
2013,1st Quintile,Owner,No,0.43951,146,387,0.39000,0.48903
2013,1st Quintile,Tenant,Yes,0.50457,1858,2640,0.48549,0.52365
2013,1st Quintile,Tenant,No,0.39348,782,2640,0.37484,0.41212
2013,2nd Quintile,Owner,Yes,0.50324,596,878,0.47015,0.53633
2013,2nd Quintile,Owner,No,0.38306,282,878,0.35089,0.41524
2013,2nd Quintile,Tenant,Yes,0.58067,1379,1905,0.55851,0.60284
