year,quintil_oecd_hh,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Yes,0.28617,629,1945,0.26608,0.30626
2005,1st Quintile,No,0.69518,1316,1945,0.67471,0.71564
2005,2nd Quintile,Yes,0.36106,808,2048,0.34026,0.38187
2005,2nd Quintile,No,0.62690,1240,2048,0.60595,0.64785
2005,3rd Quintile,Yes,0.44667,1040,2082,0.42531,0.46803
2005,3rd Quintile,No,0.54140,1042,2082,0.51999,0.56281
2005,4th Quintile,Yes,0.51753,1296,2198,0.49663,0.53843
2005,4th Quintile,No,0.47498,902,2198,0.45410,0.49587
2005,5th Quintile,Yes,0.69204,2186,2825,0.67502,0.70907
2005,5th Quintile,No,0.29866,639,2825,0.28178,0.31554
2007,1st Quintile,Yes,0.35950,787,1942,0.33815,0.38085
2007,1st Quintile,No,0.62882,1155,1942,0.60733,0.65031
2007,2nd Quintile,Yes,0.42298,987,2093,0.40181,0.44415
2007,2nd Quintile,No,0.56562,1106,2093,0.54438,0.58686
2007,3rd Quintile,Yes,0.51968,1257,2191,0.49875,0.54060
2007,3rd Quintile,No,0.46492,934,2191,0.44403,0.48581
2007,4th Quintile,Yes,0.62510,1608,2316,0.60538,0.64482
2007,4th Quintile,No,0.36137,708,2316,0.34180,0.38094
2007,5th Quintile,Yes,0.75785,2333,2821,0.74204,0.77366
2007,5th Quintile,No,0.23434,488,2821,0.21870,0.24997
2011,1st Quintile,Yes,0.38444,1254,2239,0.36429,0.40460
2011,1st Quintile,No,0.47169,985,2239,0.45101,0.49237
2011,2nd Quintile,Yes,0.48645,1340,2225,0.46568,0.50722
2011,2nd Quintile,No,0.40796,885,2225,0.38753,0.42838
2011,3rd Quintile,Yes,0.60668,1675,2363,0.58698,0.62638
2011,3rd Quintile,No,0.31865,688,2363,0.29986,0.33744
2011,4th Quintile,Yes,0.74374,2008,2425,0.72636,0.76112
2011,4th Quintile,No,0.19956,417,2425,0.18365,0.21547
2011,5th Quintile,Yes,0.83644,2490,2767,0.82266,0.85022
2011,5th Quintile,No,0.12389,277,2767,0.11161,0.13617
2013,1st Quintile,Yes,0.49247,2099,3027,0.47465,0.51028
2013,1st Quintile,No,0.40052,928,3027,0.38306,0.41798
2013,2nd Quintile,Yes,0.55382,1975,2783,0.53535,0.57230
2013,2nd Quintile,No,0.34685,808,2783,0.32916,0.36453
2013,3rd Quintile,Yes,0.67070,2065,2618,0.65269,0.68871
2013,3rd Quintile,No,0.26363,553,2618,0.24675,0.28051
2013,4th Quintile,Yes,0.78100,2250,2577,0.76503,0.79697
2013,4th Quintile,No,0.17071,327,2577,0.15618,0.18524
2013,5th Quintile,Yes,0.87523,2682,2860,0.86311,0.88734
2013,5th Quintile,No,0.08557,178,2860,0.07532,0.09583
2014,1st Quintile,Yes,0.58866,2545,3439,0.57221,0.60511
2014,1st Quintile,No,0.40293,894,3439,0.38653,0.41932
2014,2nd Quintile,Yes,0.63540,2528,3301,0.61898,0.65183
2014,2nd Quintile,No,0.35788,773,3301,0.34152,0.37424
2014,3rd Quintile,Yes,0.71618,2531,3099,0.70030,0.73206
2014,3rd Quintile,No,0.27950,568,3099,0.26370,0.29530
2014,4th Quintile,Yes,0.82650,2599,2920,0.81276,0.84023
2014,4th Quintile,No,0.17035,321,2920,0.15671,0.18398
2014,5th Quintile,Yes,0.91281,2844,3012,0.90273,0.92288
2014,5th Quintile,No,0.08546,168,3012,0.07547,0.09544
2015,1st Quintile,Yes,0.63256,2727,3542,0.61668,0.64844
2015,1st Quintile,No,0.36265,815,3542,0.34681,0.37849
2015,2nd Quintile,Yes,0.65645,2648,3368,0.64041,0.67249
2015,2nd Quintile,No,0.33457,720,3368,0.31863,0.35051
2015,3rd Quintile,Yes,0.75293,2545,3010,0.73751,0.76834
2015,3rd Quintile,No,0.23872,465,3010,0.22349,0.25396
2015,4th Quintile,Yes,0.84977,2555,2822,0.83659,0.86296
2015,4th Quintile,No,0.14688,267,2822,0.13381,0.15994
