year,bula_h,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Owner,Yes,0.59694,136,202,0.52912,0.66475
2005,Schleswig-Holstein,Owner,No,0.38918,66,202,0.32177,0.45658
2005,Schleswig-Holstein,Tenant,Yes,0.40212,72,154,0.32442,0.47981
2005,Schleswig-Holstein,Tenant,No,0.59078,82,154,0.51286,0.66869
2005,Hamburg,Owner,Yes,0.76603,36,36,0.62578,0.90629
2005,Hamburg,Tenant,Yes,0.45527,71,128,0.36866,0.54188
2005,Hamburg,Tenant,No,0.51657,57,128,0.42966,0.60349
2005,Lower Saxony,Owner,Yes,0.56122,371,561,0.52012,0.60232
2005,Lower Saxony,Owner,No,0.40973,190,561,0.36900,0.45046
2005,Lower Saxony,Tenant,Yes,0.45387,191,373,0.40327,0.50446
2005,Lower Saxony,Tenant,No,0.52929,182,373,0.47857,0.58001
2005,North Rhine-Westphalia,Owner,Yes,0.54087,687,1077,0.51110,0.57065
2005,North Rhine-Westphalia,Owner,No,0.44748,390,1077,0.41777,0.47719
2005,North Rhine-Westphalia,Tenant,Yes,0.42429,622,1270,0.39710,0.45149
2005,North Rhine-Westphalia,Tenant,No,0.56921,648,1270,0.54197,0.59646
2005,Hesse,Owner,Yes,0.57062,239,368,0.51998,0.62127
2005,Hesse,Owner,No,0.42009,129,368,0.36959,0.47059
2005,Hesse,Tenant,Yes,0.50738,217,393,0.45788,0.55687
2005,Hesse,Tenant,No,0.48769,176,393,0.43821,0.53717
2005,"Rhineland-Palatinate, Saarland",Owner,Yes,0.43523,192,383,0.38551,0.48495
2005,"Rhineland-Palatinate, Saarland",Owner,No,0.56076,191,383,0.51099,0.61053
2005,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.31935,110,290,0.26560,0.37310
2005,"Rhineland-Palatinate, Saarland",Tenant,No,0.67984,180,290,0.62606,0.73363
2005,Baden-Wuerttemberg,Owner,Yes,0.51744,415,668,0.47952,0.55536
2005,Baden-Wuerttemberg,Owner,No,0.47421,253,668,0.43631,0.51210
2005,Baden-Wuerttemberg,Tenant,Yes,0.44036,290,643,0.40196,0.47876
2005,Baden-Wuerttemberg,Tenant,No,0.55260,353,643,0.51413,0.59106
2005,Bavaria,Owner,Yes,0.50406,509,848,0.47039,0.53773
2005,Bavaria,Owner,No,0.47986,339,848,0.44621,0.51350
2005,Bavaria,Tenant,Yes,0.43540,368,694,0.39849,0.47232
2005,Bavaria,Tenant,No,0.55356,326,694,0.51655,0.59057
2005,Berlin,Owner,Yes,0.54593,52,52,0.40928,0.68258
2005,Berlin,Tenant,Yes,0.46517,202,379,0.41489,0.51545
2005,Berlin,Tenant,No,0.53055,177,379,0.48023,0.58086
2005,Brandenburg,Owner,Yes,0.47838,107,182,0.40561,0.55115
2005,Brandenburg,Owner,No,0.48965,75,182,0.41683,0.56248
2005,Brandenburg,Tenant,Yes,0.38659,118,284,0.32985,0.44332
2005,Brandenburg,Tenant,No,0.61117,166,284,0.55437,0.66796
2005,Mecklenburg-Western Pomerania,Owner,Yes,0.44784,65,116,0.35695,0.53872
2005,Mecklenburg-Western Pomerania,Owner,No,0.55001,51,116,0.45909,0.64094
2005,Mecklenburg-Western Pomerania,Tenant,Yes,0.28959,56,155,0.21795,0.36122
2005,Mecklenburg-Western Pomerania,Tenant,No,0.67976,99,155,0.60607,0.75345
2005,Saxony,Owner,Yes,0.54608,189,321,0.49153,0.60063
2005,Saxony,Owner,No,0.43544,132,321,0.38111,0.48976
2005,Saxony,Tenant,Yes,0.35625,205,478,0.31328,0.39923
2005,Saxony,Tenant,No,0.62182,273,478,0.57830,0.66534
2005,Saxony-Anhalt,Owner,Yes,0.40887,112,220,0.34376,0.47399
2005,Saxony-Anhalt,Owner,No,0.56994,108,220,0.50437,0.63551
2005,Saxony-Anhalt,Tenant,Yes,0.29938,89,245,0.24191,0.35684
2005,Saxony-Anhalt,Tenant,No,0.67685,156,245,0.61817,0.73553
2005,Thuringa,Owner,Yes,0.45607,115,228,0.39128,0.52087
2005,Thuringa,Owner,No,0.53733,113,228,0.47246,0.60219
2005,Thuringa,Tenant,Yes,0.25825,79,231,0.20169,0.31481
2005,Thuringa,Tenant,No,0.72759,152,231,0.67005,0.78512
2007,Schleswig-Holstein,Owner,Yes,0.65324,139,193,0.58592,0.72056
2007,Schleswig-Holstein,Owner,No,0.34676,54,193,0.27944,0.41408
2007,Schleswig-Holstein,Tenant,Yes,0.46233,86,166,0.38625,0.53841
2007,Schleswig-Holstein,Tenant,No,0.50950,80,166,0.43322,0.58578
2007,Hamburg,Owner,Yes,0.63950,38,38,0.48479,0.79421
2007,Hamburg,Tenant,Yes,0.53245,89,140,0.44950,0.61539
2007,Hamburg,Tenant,No,0.43823,51,140,0.35575,0.52072
2007,Lower Saxony,Owner,Yes,0.63707,427,591,0.59827,0.67587
2007,Lower Saxony,Owner,No,0.35243,164,591,0.31388,0.39098
2007,Lower Saxony,Tenant,Yes,0.50099,229,410,0.45253,0.54945
2007,Lower Saxony,Tenant,No,0.49316,181,410,0.44471,0.54162
2007,North Rhine-Westphalia,Owner,Yes,0.64623,796,1106,0.61803,0.67442
2007,North Rhine-Westphalia,Owner,No,0.33685,310,1106,0.30898,0.36472
2007,North Rhine-Westphalia,Tenant,Yes,0.49962,703,1218,0.47153,0.52771
2007,North Rhine-Westphalia,Tenant,No,0.49006,515,1218,0.46197,0.51815
2007,Hesse,Owner,Yes,0.65942,282,386,0.61208,0.70676
2007,Hesse,Owner,No,0.31369,104,386,0.26734,0.36004
2007,Hesse,Tenant,Yes,0.57113,246,391,0.52201,0.62025
2007,Hesse,Tenant,No,0.41583,145,391,0.36691,0.46475
2007,"Rhineland-Palatinate, Saarland",Owner,Yes,0.53725,234,377,0.48685,0.58765
2007,"Rhineland-Palatinate, Saarland",Owner,No,0.44510,143,377,0.39487,0.49533
2007,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.43504,135,281,0.37697,0.49311
2007,"Rhineland-Palatinate, Saarland",Tenant,No,0.56496,146,281,0.50689,0.62303
2007,Baden-Wuerttemberg,Owner,Yes,0.58956,501,726,0.55375,0.62537
2007,Baden-Wuerttemberg,Owner,No,0.38717,225,726,0.35171,0.42263
2007,Baden-Wuerttemberg,Tenant,Yes,0.48941,328,614,0.44984,0.52898
2007,Baden-Wuerttemberg,Tenant,No,0.49683,286,614,0.45725,0.53641
2007,Bavaria,Owner,Yes,0.59967,635,918,0.56796,0.63138
