year,quintil_oecd,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.20025,551,2868,0.18560,0.21490
2009,1st Quintile,No,0.79975,2317,2868,0.78510,0.81440
2009,2nd Quintile,Yes,0.20339,597,3162,0.18936,0.21743
2009,2nd Quintile,No,0.79661,2565,3162,0.78257,0.81064
2009,3rd Quintile,Yes,0.20854,677,3407,0.19490,0.22219
2009,3rd Quintile,No,0.79146,2730,3407,0.77781,0.80510
2009,4th Quintile,Yes,0.20312,744,3770,0.19027,0.21596
2009,4th Quintile,No,0.79688,3026,3770,0.78404,0.80973
2009,5th Quintile,Yes,0.19711,923,4806,0.18586,0.20835
2009,5th Quintile,No,0.80289,3883,4806,0.79165,0.81414
2011,1st Quintile,Yes,0.16105,386,2493,0.14662,0.17548
2011,1st Quintile,No,0.83895,2107,2493,0.82452,0.85338
2011,2nd Quintile,Yes,0.14454,376,2727,0.13134,0.15775
2011,2nd Quintile,No,0.85546,2351,2727,0.84225,0.86866
2011,3rd Quintile,Yes,0.14704,428,3064,0.13450,0.15959
2011,3rd Quintile,No,0.85296,2636,3064,0.84041,0.86550
2011,4th Quintile,Yes,0.14764,459,3289,0.13551,0.15976
2011,4th Quintile,No,0.85236,2830,3289,0.84024,0.86449
2011,5th Quintile,Yes,0.15939,618,4089,0.14817,0.17061
2011,5th Quintile,No,0.84061,3471,4089,0.82939,0.85183
2013,1st Quintile,Yes,0.15364,480,3100,0.14095,0.16634
2013,1st Quintile,No,0.84636,2620,3100,0.83366,0.85905
2013,2nd Quintile,Yes,0.15154,491,3441,0.13956,0.16352
2013,2nd Quintile,No,0.84846,2950,3441,0.83648,0.86044
2013,3rd Quintile,Yes,0.14147,504,3604,0.13009,0.15285
2013,3rd Quintile,No,0.85853,3100,3604,0.84715,0.86991
2013,4th Quintile,Yes,0.15310,578,3917,0.14182,0.16438
2013,4th Quintile,No,0.84690,3339,3917,0.83562,0.85818
2013,5th Quintile,Yes,0.13393,676,4800,0.12429,0.14356
2013,5th Quintile,No,0.86607,4124,4800,0.85644,0.87571
2015,1st Quintile,Yes,0.16790,759,5082,0.15762,0.17818
2015,1st Quintile,No,0.83210,4323,5082,0.82182,0.84238
2015,2nd Quintile,Yes,0.15299,723,5249,0.14325,0.16273
2015,2nd Quintile,No,0.84701,4526,5249,0.83727,0.85675
2015,3rd Quintile,Yes,0.14265,641,4842,0.13280,0.15250
2015,3rd Quintile,No,0.85735,4201,4842,0.84750,0.86720
2015,4th Quintile,Yes,0.15274,686,4755,0.14252,0.16297
2015,4th Quintile,No,0.84726,4069,4755,0.83703,0.85748
2015,5th Quintile,Yes,0.13414,688,5108,0.12479,0.14349
2015,5th Quintile,No,0.86586,4420,5108,0.85651,0.87521
2017,1st Quintile,Yes,0.17905,745,4717,0.16811,0.19000
2017,1st Quintile,No,0.82095,3972,4717,0.81000,0.83189
2017,2nd Quintile,Yes,0.14986,636,4793,0.13975,0.15996
2017,2nd Quintile,No,0.85014,4157,4793,0.84004,0.86025
2017,3rd Quintile,Yes,0.14634,659,4414,0.13591,0.15677
2017,3rd Quintile,No,0.85366,3755,4414,0.84323,0.86409
2017,4th Quintile,Yes,0.14479,608,4358,0.13434,0.15524
2017,4th Quintile,No,0.85521,3750,4358,0.84476,0.86566
2017,5th Quintile,Yes,0.15346,661,4554,0.14299,0.16393
2017,5th Quintile,No,0.84654,3893,4554,0.83607,0.85701
2019,1st Quintile,Yes,0.16825,670,4445,0.15725,0.17924
2019,1st Quintile,No,0.83175,3775,4445,0.82076,0.84275
2019,2nd Quintile,Yes,0.14235,633,4769,0.13243,0.15227
2019,2nd Quintile,No,0.85765,4136,4769,0.84773,0.86757
2019,3rd Quintile,Yes,0.13804,581,4422,0.12787,0.14821
2019,3rd Quintile,No,0.86196,3841,4422,0.85179,0.87213
2019,4th Quintile,Yes,0.14820,593,4273,0.13754,0.15885
2019,4th Quintile,No,0.85180,3680,4273,0.84115,0.86246
2019,5th Quintile,Yes,0.12962,627,4818,0.12014,0.13911
2019,5th Quintile,No,0.87038,4191,4818,0.86089,0.87986
2021,1st Quintile,Yes,0.16606,621,4782,0.15551,0.17661
2021,1st Quintile,No,0.83394,4161,4782,0.82339,0.84449
2021,2nd Quintile,Yes,0.13627,492,3531,0.12495,0.14759
2021,2nd Quintile,No,0.86373,3039,3531,0.85241,0.87505
2021,3rd Quintile,Yes,0.14871,446,3129,0.13624,0.16118
2021,3rd Quintile,No,0.85129,2683,3129,0.83882,0.86376
2021,4th Quintile,Yes,0.12238,397,3189,0.11100,0.13376
2021,4th Quintile,No,0.87762,2792,3189,0.86624,0.88900
2021,5th Quintile,Yes,0.13387,521,4267,0.12365,0.14408
2021,5th Quintile,No,0.86613,3746,4267,0.85592,0.87635
