year,quintil_oecd,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,male,Yes,0.14271,223,1199,0.12290,0.16251
2009,1st Quintile,male,No,0.63537,976,1199,0.60811,0.66262
2009,1st Quintile,female,Yes,0.17756,328,1669,0.15922,0.19590
2009,1st Quintile,female,No,0.65732,1341,1669,0.63454,0.68010
2009,2nd Quintile,male,Yes,0.16796,266,1412,0.14845,0.18746
2009,2nd Quintile,male,No,0.61845,1146,1412,0.59311,0.64380
2009,2nd Quintile,female,Yes,0.16290,331,1750,0.14560,0.18021
2009,2nd Quintile,female,No,0.67131,1419,1750,0.64929,0.69332
2009,3rd Quintile,male,Yes,0.14875,287,1659,0.13162,0.16588
2009,3rd Quintile,male,No,0.68614,1372,1659,0.66380,0.70847
2009,3rd Quintile,female,Yes,0.20298,390,1748,0.18412,0.22184
2009,3rd Quintile,female,No,0.64431,1358,1748,0.62187,0.66676
2009,4th Quintile,male,Yes,0.14098,305,1866,0.12519,0.15678
2009,4th Quintile,male,No,0.72131,1561,1866,0.70096,0.74166
2009,4th Quintile,female,Yes,0.20839,439,1904,0.19015,0.22664
2009,4th Quintile,female,No,0.64361,1465,1904,0.62209,0.66513
2009,5th Quintile,male,Yes,0.16480,434,2460,0.15014,0.17946
2009,5th Quintile,male,No,0.73543,2026,2460,0.71799,0.75286
2009,5th Quintile,female,Yes,0.19123,489,2346,0.17531,0.20715
2009,5th Quintile,female,No,0.70368,1857,2346,0.68520,0.72216
2011,1st Quintile,male,Yes,0.08954,147,1043,0.07221,0.10688
2011,1st Quintile,male,No,0.56227,896,1043,0.53215,0.59239
2011,1st Quintile,female,Yes,0.12186,239,1450,0.10502,0.13871
2011,1st Quintile,female,No,0.55711,1211,1450,0.53154,0.58269
2011,2nd Quintile,male,Yes,0.09625,153,1224,0.07972,0.11278
2011,2nd Quintile,male,No,0.62162,1071,1224,0.59444,0.64880
2011,2nd Quintile,female,Yes,0.11322,223,1503,0.09720,0.12925
2011,2nd Quintile,female,No,0.62481,1280,1503,0.60032,0.64930
2011,3rd Quintile,male,Yes,0.09945,181,1464,0.08411,0.11478
2011,3rd Quintile,male,No,0.66039,1283,1464,0.63613,0.68466
2011,3rd Quintile,female,Yes,0.13004,247,1600,0.11356,0.14653
2011,3rd Quintile,female,No,0.67209,1353,1600,0.64908,0.69510
2011,4th Quintile,male,Yes,0.10751,220,1659,0.09260,0.12242
