year,quintil_oecd,sampreg,ple0023,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,Yes,0.20729,395,18013,0.20704,0.20754
2009,1st Quintile,West,No,0.79271,1554,18013,0.79246,0.79296
2009,1st Quintile,East,Yes,0.19608,171,18013,0.19565,0.19651
2009,1st Quintile,East,No,0.80392,759,18013,0.80349,0.80435
2009,2nd Quintile,West,Yes,0.21357,396,18013,0.21331,0.21382
2009,2nd Quintile,West,No,0.78643,1678,18013,0.78618,0.78669
2009,2nd Quintile,East,Yes,0.18070,195,18013,0.18027,0.18113
2009,2nd Quintile,East,No,0.81930,897,18013,0.81887,0.81973
2009,3rd Quintile,West,Yes,0.20654,486,18013,0.20630,0.20679
2009,3rd Quintile,West,No,0.79346,1869,18013,0.79321,0.79370
2009,3rd Quintile,East,Yes,0.17825,199,18013,0.17783,0.17868
2009,3rd Quintile,East,No,0.82175,880,18013,0.82132,0.82217
2009,4th Quintile,West,Yes,0.20253,571,18013,0.20230,0.20276
2009,4th Quintile,West,No,0.79747,2393,18013,0.79724,0.79770
2009,4th Quintile,East,Yes,0.22707,158,18013,0.22649,0.22764
2009,4th Quintile,East,No,0.77293,610,18013,0.77236,0.77351
2009,5th Quintile,West,Yes,0.19531,809,18013,0.19509,0.19552
2009,5th Quintile,West,No,0.80469,3321,18013,0.80448,0.80491
2009,5th Quintile,East,Yes,0.20385,112,18013,0.20318,0.20452
2009,5th Quintile,East,No,0.79615,560,18013,0.79548,0.79682
2011,1st Quintile,West,Yes,0.15438,262,15662,0.15409,0.15467
2011,1st Quintile,West,No,0.84562,1373,15662,0.84533,0.84591
2011,1st Quintile,East,Yes,0.16667,118,15662,0.16616,0.16717
2011,1st Quintile,East,No,0.83333,709,15662,0.83283,0.83384
2011,2nd Quintile,West,Yes,0.16041,254,15662,0.16012,0.16069
2011,2nd Quintile,West,No,0.83959,1503,15662,0.83931,0.83988
2011,2nd Quintile,East,Yes,0.12758,135,15662,0.12714,0.12801
2011,2nd Quintile,East,No,0.87242,870,15662,0.87199,0.87286
2011,3rd Quintile,West,Yes,0.13364,292,15662,0.13339,0.13388
2011,3rd Quintile,West,No,0.86636,1894,15662,0.86612,0.86661
2011,3rd Quintile,East,Yes,0.15603,117,15662,0.15554,0.15653
2011,3rd Quintile,East,No,0.84397,767,15662,0.84347,0.84446
2011,4th Quintile,West,Yes,0.15103,366,15662,0.15078,0.15127
2011,4th Quintile,West,No,0.84897,2192,15662,0.84873,0.84922
2011,4th Quintile,East,Yes,0.16211,97,15662,0.16153,0.16269
2011,4th Quintile,East,No,0.83789,563,15662,0.83731,0.83847
2011,5th Quintile,West,Yes,0.16010,562,15662,0.15987,0.16034
2011,5th Quintile,West,No,0.83990,3062,15662,0.83966,0.84013
2011,5th Quintile,East,Yes,0.14457,64,15662,0.14384,0.14530
2011,5th Quintile,East,No,0.85543,462,15662,0.85470,0.85616
2013,1st Quintile,West,Yes,0.16118,341,18862,0.16090,0.16146
2013,1st Quintile,West,No,0.83882,1756,18862,0.83854,0.83910
2013,1st Quintile,East,Yes,0.14197,146,18862,0.14156,0.14238
2013,1st Quintile,East,No,0.85803,860,18862,0.85762,0.85844
2013,2nd Quintile,West,Yes,0.15263,350,18862,0.15237,0.15288
2013,2nd Quintile,West,No,0.84737,1938,18862,0.84712,0.84763
2013,2nd Quintile,East,Yes,0.13124,139,18862,0.13083,0.13164
2013,2nd Quintile,East,No,0.86876,1009,18862,0.86836,0.86917
2013,3rd Quintile,West,Yes,0.14803,379,18862,0.14780,0.14827
2013,3rd Quintile,West,No,0.85197,2277,18862,0.85173,0.85220
2013,3rd Quintile,East,Yes,0.11753,121,18862,0.11712,0.11794
2013,3rd Quintile,East,No,0.88247,815,18862,0.88206,0.88288
2013,4th Quintile,West,Yes,0.15719,465,18862,0.15697,0.15741
2013,4th Quintile,West,No,0.84281,2698,18862,0.84259,0.84303
2013,4th Quintile,East,Yes,0.14579,111,18862,0.14529,0.14629
2013,4th Quintile,East,No,0.85421,664,18862,0.85371,0.85471
2013,5th Quintile,West,Yes,0.13563,606,18862,0.13544,0.13583
2013,5th Quintile,West,No,0.86437,3600,18862,0.86417,0.86456
2013,5th Quintile,East,Yes,0.12402,71,18862,0.12343,0.12461
2013,5th Quintile,East,No,0.87598,516,18862,0.87539,0.87657
2015,1st Quintile,West,Yes,0.17129,570,25036,0.17105,0.17153
2015,1st Quintile,West,No,0.82871,3156,25036,0.82847,0.82895
2015,1st Quintile,East,Yes,0.15753,178,25036,0.15711,0.15795
2015,1st Quintile,East,No,0.84247,1103,25036,0.84205,0.84289
2015,2nd Quintile,West,Yes,0.16035,515,25036,0.16012,0.16058
2015,2nd Quintile,West,No,0.83965,3269,25036,0.83942,0.83988
2015,2nd Quintile,East,Yes,0.15916,226,25036,0.15876,0.15956
2015,2nd Quintile,East,No,0.84084,1271,25036,0.84044,0.84124
2015,3rd Quintile,West,Yes,0.14673,502,25036,0.14652,0.14694
2015,3rd Quintile,West,No,0.85327,3331,25036,0.85306,0.85348
2015,3rd Quintile,East,Yes,0.14286,160,25036,0.14243,0.14329
2015,3rd Quintile,East,No,0.85714,887,25036,0.85671,0.85757
2015,4th Quintile,West,Yes,0.14338,545,25036,0.14318,0.14358
2015,4th Quintile,West,No,0.85662,3379,25036,0.85642,0.85682
2015,4th Quintile,East,Yes,0.12443,107,25036,0.12398,0.12488
2015,4th Quintile,East,No,0.87557,736,25036,0.87512,0.87602
2015,5th Quintile,West,Yes,0.13852,619,25036,0.13834,0.13871
2015,5th Quintile,West,No,0.86148,3898,25036,0.86129,0.86166
2015,5th Quintile,East,Yes,0.12568,75,25036,0.12509,0.12627
2015,5th Quintile,East,No,0.87432,509,25036,0.87373,0.87491
2017,1st Quintile,West,Yes,0.18134,579,22836,0.18107,0.18160
2017,1st Quintile,West,No,0.81866,2911,22836,0.81840,0.81893
2017,1st Quintile,East,Yes,0.17213,167,22836,0.17166,0.17260
2017,1st Quintile,East,No,0.82787,1019,22836,0.82740,0.82834
2017,2nd Quintile,West,Yes,0.15565,469,22836,0.15542,0.15589
2017,2nd Quintile,West,No,0.84435,3102,22836,0.84411,0.84458
2017,2nd Quintile,East,Yes,0.12233,168,22836,0.12193,0.12273
2017,2nd Quintile,East,No,0.87767,1112,22836,0.87727,0.87807
2017,3rd Quintile,West,Yes,0.14818,516,22836,0.14795,0.14840
2017,3rd Quintile,West,No,0.85182,2888,22836,0.85160,0.85205
2017,3rd Quintile,East,Yes,0.16799,159,22836,0.16751,0.16847
2017,3rd Quintile,East,No,0.83201,852,22836,0.83153,0.83249
2017,4th Quintile,West,Yes,0.13727,473,22836,0.13707,0.13748
2017,4th Quintile,West,No,0.86273,3151,22836,0.86252,0.86293
2017,4th Quintile,East,Yes,0.14386,107,22836,0.14332,0.14441
2017,4th Quintile,East,No,0.85614,609,22836,0.85559,0.85668
2017,5th Quintile,West,Yes,0.15656,589,22836,0.15635,0.15677
2017,5th Quintile,West,No,0.84344,3397,22836,0.84323,0.84365
2017,5th Quintile,East,Yes,0.15731,82,22836,0.15660,0.15801
2017,5th Quintile,East,No,0.84269,486,22836,0.84199,0.84340
2019,1st Quintile,West,Yes,0.16914,477,22726,0.16890,0.16938
