year,bula_h,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Yes,0.17969,104,510,0.14634,0.21304
2009,Schleswig-Holstein,No,0.66427,406,510,0.62324,0.70530
2009,Hamburg,Yes,0.24712,64,267,0.19529,0.29896
2009,Hamburg,No,0.67280,203,267,0.61641,0.72918
2009,Lower Saxony,Yes,0.17820,308,1633,0.15963,0.19677
2009,Lower Saxony,No,0.66983,1325,1633,0.64701,0.69264
2009,Bremen,No,0.73747,101,101,0.65123,0.82371
2009,North Rhine-Westphalia,Yes,0.16037,701,3628,0.14842,0.17231
2009,North Rhine-Westphalia,No,0.67665,2927,3628,0.66142,0.69187
2009,Hesse,Yes,0.17745,276,1217,0.15598,0.19893
2009,Hesse,No,0.64098,941,1217,0.61402,0.66794
2009,"Rhineland-Palatinate, Saarland",Yes,0.16784,224,1024,0.14494,0.19074
2009,"Rhineland-Palatinate, Saarland",No,0.65599,800,1024,0.62688,0.68511
2009,Baden-Wuerttemberg,Yes,0.15187,344,2107,0.13654,0.16720
2009,Baden-Wuerttemberg,No,0.67731,1763,2107,0.65734,0.69727
2009,Bavaria,Yes,0.17702,529,2609,0.16237,0.19167
2009,Bavaria,No,0.66240,2080,2609,0.64425,0.68055
2009,Berlin,Yes,0.22017,156,683,0.18907,0.25127
2009,Berlin,No,0.64683,527,683,0.61096,0.68270
2009,Brandenburg,Yes,0.17107,155,789,0.14478,0.19737
2009,Brandenburg,No,0.68071,634,789,0.64816,0.71326
2009,Mecklenburg-Western Pomerania,Yes,0.14423,68,470,0.11243,0.17602
2009,Mecklenburg-Western Pomerania,No,0.74101,402,470,0.70136,0.78066
2009,Saxony,Yes,0.16448,265,1369,0.14483,0.18412
2009,Saxony,No,0.70126,1104,1369,0.67700,0.72551
2009,Saxony-Anhalt,Yes,0.17934,145,769,0.15221,0.20647
2009,Saxony-Anhalt,No,0.70532,624,769,0.67307,0.73756
2009,Thuringa,Yes,0.15036,134,823,0.12593,0.17480
2009,Thuringa,No,0.69974,689,823,0.66841,0.73108
2011,Schleswig-Holstein,Yes,0.10506,92,651,0.08149,0.12863
2011,Schleswig-Holstein,No,0.65121,559,651,0.61457,0.68785
2011,Hamburg,Yes,0.11819,44,311,0.08225,0.15413
2011,Hamburg,No,0.69018,267,311,0.63870,0.74166
2011,Lower Saxony,Yes,0.09532,253,1908,0.08214,0.10850
2011,Lower Saxony,No,0.66461,1655,1908,0.64341,0.68580
2011,Bremen,No,0.59968,105,105,0.50551,0.69385
2011,North Rhine-Westphalia,Yes,0.10805,558,4131,0.09858,0.11752
2011,North Rhine-Westphalia,No,0.65572,3573,4131,0.64123,0.67021
2011,Hesse,Yes,0.12083,234,1409,0.10380,0.13785
2011,Hesse,No,0.61267,1175,1409,0.58722,0.63811
2011,"Rhineland-Palatinate, Saarland",Yes,0.11481,184,1206,0.09681,0.13281
2011,"Rhineland-Palatinate, Saarland",No,0.64270,1022,1206,0.61564,0.66975
2011,Baden-Wuerttemberg,Yes,0.09564,319,2486,0.08408,0.10721
2011,Baden-Wuerttemberg,No,0.65278,2167,2486,0.63406,0.67150
2011,Bavaria,Yes,0.12345,476,3184,0.11203,0.13488
2011,Bavaria,No,0.64659,2708,3184,0.62998,0.66320
2011,Berlin,Yes,0.14133,115,781,0.11688,0.16578
2011,Berlin,No,0.65953,666,781,0.62628,0.69279
2011,Brandenburg,Yes,0.11035,116,882,0.08966,0.13104
2011,Brandenburg,No,0.68284,766,882,0.65211,0.71357
2011,Mecklenburg-Western Pomerania,Yes,0.08777,44,515,0.06331,0.11224
2011,Mecklenburg-Western Pomerania,No,0.71163,471,515,0.67247,0.75080
2011,Saxony,Yes,0.11769,208,1404,0.10083,0.13455
2011,Saxony,No,0.67626,1196,1404,0.65178,0.70075
2011,Saxony-Anhalt,Yes,0.11499,119,867,0.09374,0.13623
2011,Saxony-Anhalt,No,0.68684,748,867,0.65595,0.71773
2011,Thuringa,Yes,0.11251,108,884,0.09166,0.13335
2011,Thuringa,No,0.68665,776,884,0.65605,0.71725
2013,Schleswig-Holstein,Yes,0.10799,91,593,0.08299,0.13300
2013,Schleswig-Holstein,No,0.61067,502,593,0.57139,0.64995
2013,Hamburg,Yes,0.13000,50,309,0.09244,0.16756
2013,Hamburg,No,0.59878,259,309,0.54404,0.65352
2013,Lower Saxony,Yes,0.10929,267,1775,0.09477,0.12381
2013,Lower Saxony,No,0.61010,1508,1775,0.58740,0.63280
2013,Bremen,No,0.55371,105,105,0.45817,0.64925
2013,North Rhine-Westphalia,Yes,0.09217,511,3718,0.08287,0.10147
2013,North Rhine-Westphalia,No,0.59750,3207,3718,0.58174,0.61327
2013,Hesse,Yes,0.11128,214,1290,0.09411,0.12845
2013,Hesse,No,0.57467,1076,1290,0.54768,0.60166
2013,"Rhineland-Palatinate, Saarland",Yes,0.10771,174,1098,0.08937,0.12606
2013,"Rhineland-Palatinate, Saarland",No,0.60078,924,1098,0.57180,0.62976
2013,Baden-Wuerttemberg,Yes,0.08951,282,2123,0.07737,0.10166
2013,Baden-Wuerttemberg,No,0.58393,1841,2123,0.56296,0.60490
2013,Bavaria,Yes,0.11615,462,2947,0.10458,0.12772
2013,Bavaria,No,0.59061,2485,2947,0.57285,0.60837
2013,Berlin,Yes,0.13621,132,768,0.11194,0.16049
2013,Berlin,No,0.58515,636,768,0.55028,0.62002
2013,Brandenburg,Yes,0.09100,102,780,0.07080,0.11120
2013,Brandenburg,No,0.66508,678,780,0.63194,0.69822
2013,Mecklenburg-Western Pomerania,Yes,0.08911,41,454,0.06287,0.11534
2013,Mecklenburg-Western Pomerania,No,0.69886,413,454,0.65662,0.74111
2013,Saxony,Yes,0.10306,176,1335,0.08675,0.11938
2013,Saxony,No,0.69188,1159,1335,0.66710,0.71666
2013,Saxony-Anhalt,Yes,0.10555,105,759,0.08368,0.12742
2013,Saxony-Anhalt,No,0.67818,654,759,0.64492,0.71143
2013,Thuringa,Yes,0.10752,109,799,0.08603,0.12902
2013,Thuringa,No,0.68094,690,799,0.64860,0.71328
2015,Schleswig-Holstein,Yes,0.13911,131,874,0.11615,0.16207
2015,Schleswig-Holstein,No,0.70169,743,874,0.67134,0.73204
2015,Hamburg,Yes,0.12806,54,426,0.09629,0.15983
2015,Hamburg,No,0.69489,372,426,0.65111,0.73866
2015,Lower Saxony,Yes,0.14071,354,2421,0.12685,0.15456
2015,Lower Saxony,No,0.68801,2067,2421,0.66955,0.70647
2015,Bremen,No,0.68491,146,146,0.60930,0.76053
2015,North Rhine-Westphalia,Yes,0.12139,746,5165,0.11248,0.13029
2015,North Rhine-Westphalia,No,0.69722,4419,5165,0.68469,0.70975
2015,Hesse,Yes,0.11402,243,1705,0.09893,0.12911
2015,Hesse,No,0.68681,1462,1705,0.66479,0.70883
2015,"Rhineland-Palatinate, Saarland",Yes,0.10994,179,1496,0.09409,0.12580
2015,"Rhineland-Palatinate, Saarland",No,0.72829,1317,1496,0.70574,0.75084
2015,Baden-Wuerttemberg,Yes,0.09626,342,2985,0.08567,0.10684
2015,Baden-Wuerttemberg,No,0.72890,2643,2985,0.71295,0.74485
2015,Bavaria,Yes,0.13819,580,4027,0.12753,0.14885
2015,Bavaria,No,0.67715,3447,4027,0.66270,0.69159
2015,Berlin,Yes,0.15297,162,912,0.12959,0.17634
2015,Berlin,No,0.66751,750,912,0.63691,0.69810
2015,Brandenburg,Yes,0.11426,134,984,0.09438,0.13415
2015,Brandenburg,No,0.72313,850,984,0.69516,0.75110
2015,Mecklenburg-Western Pomerania,Yes,0.11258,67,557,0.08630,0.13885
2015,Mecklenburg-Western Pomerania,No,0.73971,490,557,0.70323,0.77618
2015,Saxony,Yes,0.12567,221,1511,0.10895,0.14238
2015,Saxony,No,0.72490,1290,1511,0.70238,0.74743
2015,Saxony-Anhalt,Yes,0.12381,127,885,0.10210,0.14552
2015,Saxony-Anhalt,No,0.74085,758,885,0.71197,0.76974
2015,Thuringa,Yes,0.11826,131,920,0.09739,0.13914
2015,Thuringa,No,0.70854,789,920,0.67916,0.73792
2017,Schleswig-Holstein,Yes,0.13225,134,951,0.11070,0.15379
2017,Schleswig-Holstein,No,0.69361,817,951,0.66429,0.72292
2017,Hamburg,Yes,0.12734,69,466,0.09704,0.15763
2017,Hamburg,No,0.69472,397,466,0.65286,0.73657
2017,Lower Saxony,Yes,0.13327,407,2697,0.12044,0.14610
2017,Lower Saxony,No,0.70265,2290,2697,0.68539,0.71990
2017,Bremen,No,0.65944,192,192,0.59223,0.72665
2017,North Rhine-Westphalia,Yes,0.13558,865,5524,0.12655,0.14460
2017,North Rhine-Westphalia,No,0.69821,4659,5524,0.68610,0.71031
2017,Hesse,Yes,0.13346,287,1789,0.11770,0.14922
2017,Hesse,No,0.69214,1502,1789,0.67075,0.71354
2017,"Rhineland-Palatinate, Saarland",Yes,0.13557,214,1524,0.11838,0.15277
2017,"Rhineland-Palatinate, Saarland",No,0.69052,1310,1524,0.66731,0.71374
2017,Baden-Wuerttemberg,Yes,0.10990,391,3018,0.09874,0.12106
2017,Baden-Wuerttemberg,No,0.71804,2627,3018,0.70198,0.73409
2017,Bavaria,Yes,0.12835,613,4211,0.11825,0.13846
2017,Bavaria,No,0.70944,3598,4211,0.69573,0.72316
2017,Berlin,Yes,0.17668,183,989,0.15289,0.20046
2017,Berlin,No,0.68187,806,989,0.65283,0.71091
2017,Brandenburg,Yes,0.12716,163,1033,0.10683,0.14748
2017,Brandenburg,No,0.69609,870,1033,0.66803,0.72416
2017,Mecklenburg-Western Pomerania,Yes,0.08745,56,573,0.06430,0.11060
2017,Mecklenburg-Western Pomerania,No,0.73787,517,573,0.70183,0.77391
2017,Saxony,Yes,0.11885,225,1653,0.10325,0.13446
2017,Saxony,No,0.73090,1428,1653,0.70951,0.75228
2017,Saxony-Anhalt,Yes,0.12652,125,923,0.10506,0.14797
2017,Saxony-Anhalt,No,0.71355,798,923,0.68437,0.74274
2017,Thuringa,Yes,0.14714,162,978,0.12493,0.16935
2017,Thuringa,No,0.70464,816,978,0.67603,0.73324
2019,Schleswig-Holstein,Yes,0.12206,131,956,0.10130,0.14282
2019,Schleswig-Holstein,No,0.68154,825,956,0.65199,0.71108
2019,Hamburg,Yes,0.12987,64,529,0.10120,0.15854
2019,Hamburg,No,0.68445,465,529,0.64480,0.72409
2019,Lower Saxony,Yes,0.12603,363,2494,0.11300,0.13906
2019,Lower Saxony,No,0.70520,2131,2494,0.68730,0.72309
2019,Bremen,No,0.72887,192,192,0.66583,0.79192
2019,North Rhine-Westphalia,Yes,0.11765,737,5406,0.10906,0.12624
2019,North Rhine-Westphalia,No,0.72239,4669,5406,0.71046,0.73433
2019,Hesse,Yes,0.13285,269,1711,0.11676,0.14894
2019,Hesse,No,0.69759,1442,1711,0.67582,0.71936
2019,"Rhineland-Palatinate, Saarland",Yes,0.09955,151,1466,0.08422,0.11488
2019,"Rhineland-Palatinate, Saarland",No,0.73560,1315,1466,0.71301,0.75818
2019,Baden-Wuerttemberg,Yes,0.10617,362,2799,0.09475,0.11758
2019,Baden-Wuerttemberg,No,0.71177,2437,2799,0.69499,0.72856
2019,Bavaria,Yes,0.13180,535,3951,0.12125,0.14235
2019,Bavaria,No,0.69584,3416,3951,0.68149,0.71019
2019,Berlin,Yes,0.17280,194,1027,0.14967,0.19593
2019,Berlin,No,0.67385,833,1027,0.64517,0.70254
2019,Brandenburg,Yes,0.11655,161,1111,0.09767,0.13543
2019,Brandenburg,No,0.69382,950,1111,0.66671,0.72094
2019,Mecklenburg-Western Pomerania,Yes,0.06299,55,611,0.04371,0.08227
2019,Mecklenburg-Western Pomerania,No,0.76612,556,611,0.73253,0.79972
2019,Saxony,Yes,0.12950,230,1634,0.11322,0.14579
2019,Saxony,No,0.72324,1404,1634,0.70154,0.74494
2019,Saxony-Anhalt,Yes,0.10205,126,889,0.08214,0.12196
2019,Saxony-Anhalt,No,0.74294,763,889,0.71419,0.77168
2019,Thuringa,Yes,0.14508,146,923,0.12235,0.16782
2019,Thuringa,No,0.70445,777,923,0.67499,0.73390
2021,Schleswig-Holstein,Yes,0.05585,77,826,0.04018,0.07152
2021,Schleswig-Holstein,No,0.70913,749,826,0.67814,0.74013
2021,Hamburg,Yes,0.16675,60,450,0.13227,0.20123
2021,Hamburg,No,0.68178,390,450,0.63869,0.72486
2021,Lower Saxony,Yes,0.09729,210,1886,0.08391,0.11066
2021,Lower Saxony,No,0.72368,1676,1886,0.70349,0.74386
2021,Bremen,No,0.83198,132,132,0.76795,0.89600
2021,North Rhine-Westphalia,Yes,0.12322,534,4118,0.11318,0.13326
2021,North Rhine-Westphalia,No,0.70336,3584,4118,0.68940,0.71731
2021,Hesse,Yes,0.11173,176,1325,0.09476,0.12870
2021,Hesse,No,0.72548,1149,1325,0.70144,0.74952
2021,"Rhineland-Palatinate, Saarland",Yes,0.11646,108,999,0.09656,0.13637
2021,"Rhineland-Palatinate, Saarland",No,0.72220,891,999,0.69441,0.74999
2021,Baden-Wuerttemberg,Yes,0.11557,274,2170,0.10211,0.12902
2021,Baden-Wuerttemberg,No,0.70575,1896,2170,0.68658,0.72493
2021,Bavaria,Yes,0.12688,424,2857,0.11468,0.13909
2021,Bavaria,No,0.69560,2433,2857,0.67872,0.71248
2021,Berlin,Yes,0.14450,141,907,0.12160,0.16739
2021,Berlin,No,0.67915,766,907,0.64876,0.70955
2021,Brandenburg,Yes,0.10729,108,704,0.08441,0.13017
2021,Brandenburg,No,0.70365,596,704,0.66989,0.73740
2021,Mecklenburg-Western Pomerania,Yes,0.13249,59,409,0.09959,0.16539
2021,Mecklenburg-Western Pomerania,No,0.71617,350,409,0.67243,0.75992
2021,Saxony,Yes,0.11499,144,1165,0.09667,0.13332
2021,Saxony,No,0.72378,1021,1165,0.69809,0.74947
2021,Saxony-Anhalt,Yes,0.12167,74,600,0.09549,0.14785
2021,Saxony-Anhalt,No,0.71860,526,600,0.68259,0.75462
2021,Thuringa,Yes,0.10591,94,634,0.08194,0.12989
2021,Thuringa,No,0.70979,540,634,0.67444,0.74515
