year,bula_h,regtyp,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,Yes,0.18797,37,193,0.13271,0.24323
2009,Schleswig-Holstein,Urban regions,No,0.81203,156,193,0.75677,0.86729
2009,Schleswig-Holstein,Rural regions,Yes,0.22565,67,317,0.17956,0.27174
2009,Schleswig-Holstein,Rural regions,No,0.77435,250,317,0.72826,0.82044
2009,Hamburg,Urban regions,Yes,0.26863,64,267,0.21537,0.32190
2009,Hamburg,Urban regions,No,0.73137,203,267,0.67810,0.78463
2009,Lower Saxony,Urban regions,Yes,0.20324,144,770,0.17480,0.23168
2009,Lower Saxony,Urban regions,No,0.79676,626,770,0.76832,0.82520
2009,Lower Saxony,Rural regions,Yes,0.21627,164,863,0.18878,0.24375
2009,Lower Saxony,Rural regions,No,0.78373,699,863,0.75625,0.81122
2009,Bremen,Urban regions,No,0.80192,101,101,0.72380,0.88004
2009,North Rhine-Westphalia,Urban regions,Yes,0.19344,686,3522,0.18040,0.20649
2009,North Rhine-Westphalia,Urban regions,No,0.80656,2836,3522,0.79351,0.81960
2009,North Rhine-Westphalia,Rural regions,No,0.86102,91,91,0.78955,0.93249
2009,Hesse,Urban regions,Yes,0.22135,223,997,0.19557,0.24713
2009,Hesse,Urban regions,No,0.77865,774,997,0.75287,0.80443
2009,Hesse,Rural regions,Yes,0.19868,53,220,0.14583,0.25153
2009,Hesse,Rural regions,No,0.80132,167,220,0.74847,0.85417
2009,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.21337,178,775,0.18450,0.24223
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,0.78663,597,775,0.75777,0.81550
2009,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.17442,46,249,0.12719,0.22165
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,0.82558,203,249,0.77835,0.87281
2009,Baden-Wuerttemberg,Urban regions,Yes,0.18334,313,1917,0.16601,0.20066
2009,Baden-Wuerttemberg,Urban regions,No,0.81666,1604,1917,0.79934,0.83399
2009,Baden-Wuerttemberg,Rural regions,Yes,0.18175,31,190,0.12677,0.23673
2009,Baden-Wuerttemberg,Rural regions,No,0.81825,159,190,0.76327,0.87323
2009,Bavaria,Urban regions,Yes,0.23796,293,1263,0.21447,0.26146
2009,Bavaria,Urban regions,No,0.76204,970,1263,0.73854,0.78553
2009,Bavaria,Rural regions,Yes,0.18453,236,1346,0.16380,0.20526
2009,Bavaria,Rural regions,No,0.81547,1110,1346,0.79474,0.83620
2009,Berlin,Urban regions,Yes,0.25394,156,683,0.22128,0.28661
2009,Berlin,Urban regions,No,0.74606,527,683,0.71339,0.77872
2009,Brandenburg,Urban regions,No,0.80861,53,53,0.70169,0.91554
2009,Brandenburg,Rural regions,Yes,0.20175,143,724,0.17250,0.23101
2009,Brandenburg,Rural regions,No,0.79825,581,724,0.76899,0.82750
2009,Mecklenburg-Western Pomerania,Urban regions,No,0.90989,53,53,0.83206,0.98772
2009,Mecklenburg-Western Pomerania,Rural regions,Yes,0.17144,63,412,0.13500,0.20788
2009,Mecklenburg-Western Pomerania,Rural regions,No,0.82856,349,412,0.79212,0.86500
2009,Saxony,Urban regions,Yes,0.19215,130,695,0.16284,0.22146
2009,Saxony,Urban regions,No,0.80785,565,695,0.77854,0.83716
2009,Saxony,Rural regions,Yes,0.18810,135,674,0.15857,0.21762
2009,Saxony,Rural regions,No,0.81190,539,674,0.78238,0.84143
2009,Saxony-Anhalt,Urban regions,Yes,0.27719,32,148,0.20483,0.34955
2009,Saxony-Anhalt,Urban regions,No,0.72281,116,148,0.65045,0.79517
2009,Saxony-Anhalt,Rural regions,Yes,0.18515,113,621,0.15457,0.21572
2009,Saxony-Anhalt,Rural regions,No,0.81485,508,621,0.78428,0.84543
2009,Thuringa,Urban regions,Yes,0.19477,51,246,0.14518,0.24436
2009,Thuringa,Urban regions,No,0.80523,195,246,0.75564,0.85482
2009,Thuringa,Rural regions,Yes,0.16925,83,577,0.13863,0.19988
2009,Thuringa,Rural regions,No,0.83075,494,577,0.80012,0.86137
2011,Schleswig-Holstein,Urban regions,No,0.86275,176,176,0.81177,0.91374
2011,Schleswig-Holstein,Rural regions,Yes,0.13964,63,446,0.10743,0.17184
2011,Schleswig-Holstein,Rural regions,No,0.86036,383,446,0.82816,0.89257
2011,Hamburg,Urban regions,Yes,0.14621,44,311,0.10688,0.18554
2011,Hamburg,Urban regions,No,0.85379,267,311,0.81446,0.89312
2011,Lower Saxony,Urban regions,Yes,0.14260,119,861,0.11923,0.16597
2011,Lower Saxony,Urban regions,No,0.85740,742,861,0.83403,0.88077
2011,Lower Saxony,Rural regions,Yes,0.11119,134,1047,0.09213,0.13024
2011,Lower Saxony,Rural regions,No,0.88881,913,1047,0.86976,0.90787
2011,Bremen,Urban regions,No,0.78317,105,105,0.70397,0.86237
2011,North Rhine-Westphalia,Urban regions,Yes,0.14215,543,3996,0.13132,0.15298
2011,North Rhine-Westphalia,Urban regions,No,0.85785,3453,3996,0.84702,0.86868
2011,North Rhine-Westphalia,Rural regions,No,0.87874,120,120,0.82009,0.93739
2011,Hesse,Urban regions,Yes,0.15849,188,1157,0.13744,0.17954
2011,Hesse,Urban regions,No,0.84151,969,1157,0.82046,0.86256
2011,Hesse,Rural regions,Yes,0.19225,46,252,0.14350,0.24100
2011,Hesse,Rural regions,No,0.80775,206,252,0.75900,0.85650
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.16273,140,878,0.13830,0.18716
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.83727,738,878,0.81284,0.86170
2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.12495,44,328,0.08911,0.16079
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.87505,284,328,0.83921,0.91089
2011,Baden-Wuerttemberg,Urban regions,Yes,0.12777,283,2240,0.11394,0.14160
2011,Baden-Wuerttemberg,Urban regions,No,0.87223,1957,2240,0.85840,0.88606
2011,Baden-Wuerttemberg,Rural regions,Yes,0.12797,36,246,0.08614,0.16980
2011,Baden-Wuerttemberg,Rural regions,No,0.87203,210,246,0.83020,0.91386
2011,Bavaria,Urban regions,Yes,0.16800,249,1528,0.14925,0.18676
2011,Bavaria,Urban regions,No,0.83200,1279,1528,0.81324,0.85075
2011,Bavaria,Rural regions,Yes,0.15273,227,1656,0.13539,0.17006
2011,Bavaria,Rural regions,No,0.84727,1429,1656,0.82994,0.86461
2011,Berlin,Urban regions,Yes,0.17647,115,781,0.14972,0.20322
2011,Berlin,Urban regions,No,0.82353,666,781,0.79678,0.85028
2011,Brandenburg,Urban regions,No,0.84973,57,57,0.75613,0.94332
2011,Brandenburg,Rural regions,Yes,0.13824,104,813,0.11450,0.16198
2011,Brandenburg,Rural regions,No,0.86176,709,813,0.83802,0.88550
2011,Mecklenburg-Western Pomerania,Urban regions,No,0.85816,38,38,0.74574,0.97058
2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.10750,37,470,0.07946,0.13553
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.89250,433,470,0.86447,0.92054
2011,Saxony,Urban regions,Yes,0.16523,122,724,0.13816,0.19230
2011,Saxony,Urban regions,No,0.83477,602,724,0.80770,0.86184
2011,Saxony,Rural regions,Yes,0.13342,86,680,0.10784,0.15900
2011,Saxony,Rural regions,No,0.86658,594,680,0.84100,0.89216
2011,Saxony-Anhalt,Urban regions,Yes,0.19546,37,205,0.14104,0.24988
2011,Saxony-Anhalt,Urban regions,No,0.80454,168,205,0.75012,0.85896
2011,Saxony-Anhalt,Rural regions,Yes,0.12957,82,662,0.10396,0.15517
2011,Saxony-Anhalt,Rural regions,No,0.87043,580,662,0.84483,0.89604
2011,Thuringa,Urban regions,Yes,0.16499,44,266,0.12030,0.20968
2011,Thuringa,Urban regions,No,0.83501,222,266,0.79032,0.87970
2011,Thuringa,Rural regions,Yes,0.12923,64,618,0.10276,0.15570
2011,Thuringa,Rural regions,No,0.87077,554,618,0.84430,0.89724
2013,Schleswig-Holstein,Urban regions,No,0.81700,141,141,0.75295,0.88105
2013,Schleswig-Holstein,Rural regions,Yes,0.13715,64,425,0.10441,0.16990
2013,Schleswig-Holstein,Rural regions,No,0.86285,361,425,0.83010,0.89559
2013,Hamburg,Urban regions,Yes,0.17838,50,309,0.13562,0.22113
2013,Hamburg,Urban regions,No,0.82162,259,309,0.77887,0.86438
2013,Lower Saxony,Urban regions,Yes,0.15221,112,740,0.12631,0.17811
2013,Lower Saxony,Urban regions,No,0.84779,628,740,0.82189,0.87369
2013,Lower Saxony,Rural regions,Yes,0.15172,155,1035,0.12985,0.17358
