,Unnamed: 0,year,bula_h,quintil_oecd,ple0023,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,1st Quintile,No,1.0,66,17353,0.82521,1.19895
1,1,2009,Schleswig-Holstein,2nd Quintile,No,1.0,66,17353,0.83328,1.1779
2,2,2009,Schleswig-Holstein,3rd Quintile,Yes,0.27431,34,17353,0.21734,0.34802
3,3,2009,Schleswig-Holstein,3rd Quintile,No,0.72569,75,17353,0.60448,0.85064
4,4,2009,Schleswig-Holstein,4th Quintile,No,1.0,96,17353,0.83753,1.17034
5,5,2009,Schleswig-Holstein,5th Quintile,No,1.0,101,17353,0.81613,1.22074
6,6,2009,Hamburg,1st Quintile,No,1.0,32,17353,0.78949,1.20837
7,7,2009,Hamburg,2nd Quintile,No,1.0,35,17353,0.7996,1.21368
8,8,2009,Hamburg,4th Quintile,No,1.0,43,17353,0.7189,1.32344
9,9,2009,Hamburg,5th Quintile,No,1.0,71,17353,0.77235,1.26515
10,10,2009,Lower Saxony,1st Quintile,Yes,0.22785,53,17353,0.17629,0.27443
11,11,2009,Lower Saxony,1st Quintile,No,0.77215,191,17353,0.69111,0.87082
12,12,2009,Lower Saxony,2nd Quintile,Yes,0.20505,40,17353,0.16469,0.24948
13,13,2009,Lower Saxony,2nd Quintile,No,0.79495,220,17353,0.70209,0.91276
14,14,2009,Lower Saxony,3rd Quintile,Yes,0.19488,46,17353,0.15266,0.23576
15,15,2009,Lower Saxony,3rd Quintile,No,0.80512,251,17353,0.74022,0.88312
16,16,2009,Lower Saxony,4th Quintile,Yes,0.22155,75,17353,0.17719,0.26839
17,17,2009,Lower Saxony,4th Quintile,No,0.77845,283,17353,0.69215,0.87982
18,18,2009,Lower Saxony,5th Quintile,Yes,0.20076,94,17353,0.16312,0.23856
19,19,2009,Lower Saxony,5th Quintile,No,0.79924,379,17353,0.71617,0.87582
20,20,2009,North Rhine-Westphalia,1st Quintile,Yes,0.1815,107,17353,0.15463,0.20391
21,21,2009,North Rhine-Westphalia,1st Quintile,No,0.8185,490,17353,0.77117,0.87533
22,22,2009,North Rhine-Westphalia,2nd Quintile,Yes,0.17958,109,17353,0.15396,0.21134
23,23,2009,North Rhine-Westphalia,2nd Quintile,No,0.82042,484,17353,0.75306,0.88133
24,24,2009,North Rhine-Westphalia,3rd Quintile,Yes,0.19878,120,17353,0.17385,0.2242
25,25,2009,North Rhine-Westphalia,3rd Quintile,No,0.80122,456,17353,0.74031,0.86652
26,26,2009,North Rhine-Westphalia,4th Quintile,Yes,0.2038,148,17353,0.17577,0.22957
27,27,2009,North Rhine-Westphalia,4th Quintile,No,0.7962,636,17353,0.74385,0.84466
28,28,2009,North Rhine-Westphalia,5th Quintile,Yes,0.19641,217,17353,0.16782,0.22526
29,29,2009,North Rhine-Westphalia,5th Quintile,No,0.80359,860,17353,0.74677,0.86704
30,30,2009,Hesse,1st Quintile,Yes,0.22663,40,17353,0.18062,0.28027
31,31,2009,Hesse,1st Quintile,No,0.77337,128,17353,0.6877,0.87793
32,32,2009,Hesse,2nd Quintile,Yes,0.24182,36,17353,0.1765,0.32455
33,33,2009,Hesse,2nd Quintile,No,0.75818,98,17353,0.63677,0.87235
34,34,2009,Hesse,3rd Quintile,Yes,0.21103,50,17353,0.17035,0.27803
35,35,2009,Hesse,3rd Quintile,No,0.78897,196,17353,0.69626,0.88312
36,36,2009,Hesse,4th Quintile,Yes,0.23376,59,17353,0.18521,0.28653
37,37,2009,Hesse,4th Quintile,No,0.76624,186,17353,0.65772,0.86509
38,38,2009,Hesse,5th Quintile,Yes,0.19021,91,17353,0.15682,0.226
39,39,2009,Hesse,5th Quintile,No,0.80979,333,17353,0.72715,0.89629
40,40,2009,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.21483,42,17353,0.16758,0.26669
41,41,2009,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.78517,127,17353,0.67672,0.87929
42,42,2009,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.22106,35,17353,0.18122,0.26275
43,43,2009,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.77894,142,17353,0.67653,0.89155
44,44,2009,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.1826,40,17353,0.14536,0.22451
45,45,2009,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.8174,148,17353,0.71476,0.90694
46,46,2009,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.21896,60,17353,0.17366,0.26166
47,47,2009,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.78104,197,17353,0.70011,0.8631
48,48,2009,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.17652,47,17353,0.13147,0.21873
49,49,2009,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.82348,186,17353,0.71894,0.95105
50,50,2009,Baden-Wuerttemberg,1st Quintile,Yes,0.16501,39,17353,0.12848,0.20986
51,51,2009,Baden-Wuerttemberg,1st Quintile,No,0.83499,199,17353,0.73991,0.92736
52,52,2009,Baden-Wuerttemberg,2nd Quintile,Yes,0.24275,54,17353,0.19535,0.30312
53,53,2009,Baden-Wuerttemberg,2nd Quintile,No,0.75725,232,17353,0.66455,0.84132
54,54,2009,Baden-Wuerttemberg,3rd Quintile,Yes,0.18709,68,17353,0.14688,0.23223
55,55,2009,Baden-Wuerttemberg,3rd Quintile,No,0.81291,318,17353,0.74167,0.88432
56,56,2009,Baden-Wuerttemberg,4th Quintile,Yes,0.17402,75,17353,0.13837,0.21677
57,57,2009,Baden-Wuerttemberg,4th Quintile,No,0.82598,409,17353,0.73601,0.90271
58,58,2009,Baden-Wuerttemberg,5th Quintile,Yes,0.16089,108,17353,0.12782,0.19819
59,59,2009,Baden-Wuerttemberg,5th Quintile,No,0.83911,605,17353,0.75814,0.92004
60,60,2009,Bavaria,1st Quintile,Yes,0.25094,71,17353,0.20641,0.28521
61,61,2009,Bavaria,1st Quintile,No,0.74906,250,17353,0.68444,0.82019
62,62,2009,Bavaria,2nd Quintile,Yes,0.21926,87,17353,0.17671,0.26662
63,63,2009,Bavaria,2nd Quintile,No,0.78074,336,17353,0.70459,0.85165
64,64,2009,Bavaria,3rd Quintile,Yes,0.21153,99,17353,0.18016,0.24584
65,65,2009,Bavaria,3rd Quintile,No,0.78847,352,17353,0.71523,0.86797
66,66,2009,Bavaria,4th Quintile,Yes,0.19075,108,17353,0.16027,0.22698
67,67,2009,Bavaria,4th Quintile,No,0.80925,473,17353,0.74291,0.88343
68,68,2009,Bavaria,5th Quintile,Yes,0.19732,164,17353,0.16638,0.22793
69,69,2009,Bavaria,5th Quintile,No,0.80268,668,17353,0.75044,0.86049
70,70,2009,Berlin,1st Quintile,No,1.0,95,17353,0.88059,1.12755
71,71,2009,Berlin,2nd Quintile,Yes,0.29731,33,17353,0.20588,0.38379
72,72,2009,Berlin,2nd Quintile,No,0.70269,104,17353,0.60938,0.79929
73,73,2009,Berlin,3rd Quintile,No,1.0,103,17353,0.83484,1.17234
74,74,2009,Berlin,4th Quintile,No,1.0,81,17353,0.82077,1.19333
75,75,2009,Berlin,5th Quintile,Yes,0.27165,47,17353,0.19993,0.35007
76,76,2009,Berlin,5th Quintile,No,0.72835,144,17353,0.59681,0.86516
77,77,2009,Brandenburg,1st Quintile,No,1.0,130,17353,0.87213,1.13918
78,78,2009,Brandenburg,2nd Quintile,No,1.0,142,17353,0.90173,1.10314
79,79,2009,Brandenburg,3rd Quintile,Yes,0.17682,41,17353,0.12332,0.2464
80,80,2009,Brandenburg,3rd Quintile,No,0.82318,150,17353,0.70157,0.96408
81,81,2009,Brandenburg,4th Quintile,Yes,0.32812,37,17353,0.22492,0.42006
82,82,2009,Brandenburg,4th Quintile,No,0.67188,104,17353,0.56532,0.82182
83,83,2009,Brandenburg,5th Quintile,No,1.0,108,17353,0.85704,1.21937
84,84,2009,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,97,17353,0.84469,1.16003
85,85,2009,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,83,17353,0.83061,1.15043
86,86,2009,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,87,17353,0.80652,1.25047
87,87,2009,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,66,17353,0.76982,1.20822
88,88,2009,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,69,17353,0.77531,1.28806
89,89,2009,Saxony,1st Quintile,Yes,0.16424,45,17353,0.12811,0.2098
90,90,2009,Saxony,1st Quintile,No,0.83576,222,17353,0.73566,0.92951
91,91,2009,Saxony,2nd Quintile,Yes,0.19779,75,17353,0.16246,0.24591
