year,bula_h,sampreg,plh0191,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Berlin,East,Agree,0.01296149757573325,50,4376,0.01289901366848847,0.01302398148297803
1990,Berlin,East,Disagree,0.028133808336724006,106,4376,0.028042462020060246,0.028225154653387766
1990,Berlin,East,Disagree completely,0.030714789988174496,123,4376,0.03061947238598984,0.030810107590359154
1990,Brandenburg,East,Agree completely,0.014120383044418858,54,4376,0.014055203889786979,0.014185562199050736
1990,Brandenburg,East,Agree,0.040381465135506854,168,4376,0.04027271898547065,0.04049021128554306
1990,Brandenburg,East,Disagree,0.053820352667737256,242,4376,0.05369569080523043,0.053945014530244084
1990,Brandenburg,East,Disagree completely,0.059318312864539556,261,4376,0.05918781924410766,0.05944880648497145
1990,Mecklenburg-Western Pomerania,East,Agree completely,0.010648758318176419,44,4376,0.010592056331266165,0.010705460305086673
1990,Mecklenburg-Western Pomerania,East,Agree,0.028068148648789377,118,4376,0.02797690590599862,0.028159391391580135
1990,Mecklenburg-Western Pomerania,East,Disagree,0.0406640057935273,180,4376,0.0405548959357748,0.040773115651279807
1990,Mecklenburg-Western Pomerania,East,Disagree completely,0.03669523537265953,162,4376,0.03659137252310708,0.03679909822221197
1990,Saxony,East,Agree completely,0.02647492610002282,103,4376,0.026386238175913148,0.02656361402413249
1990,Saxony,East,Agree,0.057455770726137584,261,4376,0.05732721505578031,0.057584326396494856
1990,Saxony,East,Disagree,0.10904688110536286,489,4376,0.10887469123814608,0.10921907097257963
1990,Saxony,East,Disagree completely,0.10718629793797797,473,4376,0.10701540520328343,0.10735719067267252
1990,Saxony-Anhalt,East,Agree completely,0.02013611691654432,76,4376,0.020058520033291827,0.02021371379979681
1990,Saxony-Anhalt,East,Agree,0.03786788447956174,167,4376,0.0377624393759072,0.03797332958321628
1990,Saxony-Anhalt,East,Disagree,0.061817119415466054,276,4376,0.06168408265089121,0.0619501561800409
1990,Saxony-Anhalt,East,Disagree completely,0.06074405054087393,282,4376,0.060612098111018815,0.060876002970729044
1990,Thuringa,East,Agree completely,0.014569101005409145,56,4376,0.014502909386131628,0.014635292624686661
1990,Thuringa,East,Agree,0.029199804738094248,132,4376,0.029106794995660216,0.02929281448052828
1990,Thuringa,East,Disagree,0.06468196915420284,292,4376,0.06454609251063696,0.06481784579776871
1990,Thuringa,East,Disagree completely,0.05529332013435965,261,4376,0.05516706229069699,0.05541957797802231
1991,Berlin,East,Agree,0.01530172484201812,43,4085,0.015235192254820413,0.015368257429215826
1991,Berlin,East,Disagree,0.02893442029062203,115,4085,0.02884356623841602,0.029025274342828037
1991,Berlin,East,Disagree completely,0.026916843607847674,98,4085,0.02682912339589962,0.02700456381979573
1991,Brandenburg,East,Agree completely,0.01686574030574599,67,4085,0.016795945717607008,0.016935534893884975
1991,Brandenburg,East,Agree,0.038445543067500386,136,4085,0.03834132990587503,0.038549756229125744
1991,Brandenburg,East,Disagree,0.07444547139006372,291,4085,0.07430319502002104,0.07458774776010639
1991,Brandenburg,East,Disagree completely,0.04260030922610356,180,4085,0.04249084665460847,0.042709771797598654
1991,Mecklenburg-Western Pomerania,East,Agree completely,0.00829517052286096,33,4085,0.008246009998975802,0.008344331046746119
1991,Mecklenburg-Western Pomerania,East,Agree,0.029893648205697062,117,4085,0.02980134606723492,0.029985950344159205
1991,Mecklenburg-Western Pomerania,East,Disagree,0.04115241399340805,170,4085,0.041044746382413205,0.04126008160440289
1991,Mecklenburg-Western Pomerania,East,Disagree completely,0.036044324467873645,149,4085,0.035943292315143816,0.036145356620603475
1991,Saxony,East,Agree completely,0.028014788255516183,95,4085,0.02792534736182945,0.028104229149202915
1991,Saxony,East,Agree,0.0711770206567447,283,4085,0.07103765716869838,0.07131638414479101
1991,Saxony,East,Disagree,0.12145236302020329,490,4085,0.12127531206622581,0.12162941397418077
1991,Saxony,East,Disagree completely,0.08148547767780717,345,4085,0.08133719318002229,0.08163376217559205
1991,Saxony-Anhalt,East,Agree completely,0.024104022711983236,78,4085,0.024020892448501627,0.024187152975464844
1991,Saxony-Anhalt,East,Agree,0.04822735354876053,207,4085,0.04811122848801037,0.048343478609510694
1991,Saxony-Anhalt,East,Disagree,0.05981880364925516,279,4085,0.05969026395243945,0.059947343346070874
1991,Saxony-Anhalt,East,Disagree completely,0.047926282772528764,217,4085,0.04781050244062657,0.04804206310443096
1991,Thuringa,East,Agree completely,0.012617231702379621,57,4085,0.012556734200705084,0.012677729204054158
1991,Thuringa,East,Agree,0.03942821557944692,163,4085,0.03932273291212145,0.039533698246772386
1991,Thuringa,East,Disagree,0.06536862388486249,298,4085,0.0652346508243499,0.06550259694537508
1991,Thuringa,East,Disagree completely,0.04148420662077067,174,4085,0.04137612454920216,0.04159228869233917
1992,Schleswig-Holstein,West,Disagree,0.011270951028404738,69,10660,0.011244014669433667,0.01129788738737581
1992,Schleswig-Holstein,West,Disagree completely,0.020543583336212933,137,10660,0.02050738816630287,0.020579778506122998
1992,Hamburg,West,Disagree completely,0.009494334026752201,66,10660,0.009469589411911774,0.009519078641592628
1992,Lower Saxony,West,Agree,0.011018024491048658,81,10660,0.010991388674340276,0.01104466030775704
1992,Lower Saxony,West,Disagree,0.02786031817006114,241,10660,0.027818325128272533,0.02790231121184975
1992,Lower Saxony,West,Disagree completely,0.05142923820626546,486,10660,0.05137287964790064,0.05148559676463028
1992,Bremen,West,Disagree completely,0.00662966629211093,58,10660,0.006608959091547885,0.006650373492673976
