"plh0191","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","Staedtischer Raum","73","0.179104087033665","0.145153534563692","0.213054639503637"
"Stimmt ganz u.gar","1990","Hauptschule","Laendlicher Raum","127","0.12089548997484","0.101954517894592","0.139836462055088"
"Stimmt ganz u.gar","1990","Realschule","Staedtischer Raum","32","0.0679488345887188","0.0458461868199267","0.090051482357511"
"Stimmt ganz u.gar","1990","Realschule","Laendlicher Raum","55","0.0557473181776016","0.0417085011434464","0.0697861352117568"
"Stimmt ganz u.gar","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Stimmt ganz u.gar","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","Staedtischer Raum","","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","Laendlicher Raum","","","",""
"Stimmt eher","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Stimmt eher","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Stimmt eher","1990","Hauptschule","Staedtischer Raum","108","0.216039558725072","0.179600783918014","0.25247833353213"
"Stimmt eher","1990","Hauptschule","Laendlicher Raum","258","0.222989464021983","0.198805216135486","0.24717371190848"
"Stimmt eher","1990","Realschule","Staedtischer Raum","104","0.195092703763275","0.160288887639495","0.229896519887055"
"Stimmt eher","1990","Realschule","Laendlicher Raum","198","0.197394218070933","0.173038958282252","0.221749477859613"
"Stimmt eher","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Stimmt eher","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Stimmt eher","1990","AkademikerIn","Staedtischer Raum","70","0.191565815346648","0.152608735238055","0.230522895455241"
"Stimmt eher","1990","AkademikerIn","Laendlicher Raum","103","0.175518201387249","0.144532564631172","0.206503838143325"
"Stimmt eher nicht","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Stimmt eher nicht","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Stimmt eher nicht","1990","Hauptschule","Staedtischer Raum","156","0.315676484930077","0.274523447152157","0.356829522707998"
"Stimmt eher nicht","1990","Hauptschule","Laendlicher Raum","378","0.330203978448167","0.302880285734134","0.357527671162199"
"Stimmt eher nicht","1990","Realschule","Staedtischer Raum","173","0.348445271314241","0.306597131524132","0.390293411104349"
"Stimmt eher nicht","1990","Realschule","Laendlicher Raum","383","0.373337479780778","0.3437408631654","0.402934096396157"
"Stimmt eher nicht","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Stimmt eher nicht","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Stimmt eher nicht","1990","AkademikerIn","Staedtischer Raum","153","0.382636826914488","0.334523121986944","0.430750531842033"
"Stimmt eher nicht","1990","AkademikerIn","Laendlicher Raum","234","0.406326634618777","0.366321085374295","0.44633218386326"
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Stimmt ganz u.gar nicht","1990","Hauptschule","Staedtischer Raum","153","0.289179869311186","0.249036489088672","0.3293232495337"
"Stimmt ganz u.gar nicht","1990","Hauptschule","Laendlicher Raum","375","0.32591106755501","0.298678718017728","0.353143417092293"
"Stimmt ganz u.gar nicht","1990","Realschule","Staedtischer Raum","189","0.388513190333766","0.34570470612421","0.431321674543322"
"Stimmt ganz u.gar nicht","1990","Realschule","Laendlicher Raum","390","0.373520983970687","0.343921429268664","0.403120538672711"
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Stimmt ganz u.gar nicht","1990","AkademikerIn","Staedtischer Raum","144","0.362730044498612","0.315135349943168","0.410324739054055"
"Stimmt ganz u.gar nicht","1990","AkademikerIn","Laendlicher Raum","219","0.380763732566501","0.341212065895433","0.420315399237568"
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
