"plh0036","year","age_gr","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","17-29","Schleswig-Holstein","61","0.67249898394275","0.578620813627869","0.766377154257632"
"Grosse Sorgen","1984","17-29","Hamburg","45","0.779089876804604","0.679752593360867","0.87842716024834"
"Grosse Sorgen","1984","17-29","Niedersachsen","205","0.656952525303997","0.605887546533135","0.708017504074858"
"Grosse Sorgen","1984","17-29","Bremen","20","","",""
"Grosse Sorgen","1984","17-29","Nordrhein-Westfalen","538","0.617608652126091","0.586705911078295","0.648511393173887"
"Grosse Sorgen","1984","17-29","Hessen","203","0.634097361171477","0.585083165533125","0.683111556809829"
"Grosse Sorgen","1984","17-29","Rheinland-Pfalz,Saarland","124","0.521667095316023","0.459244418518864","0.584089772113181"
"Grosse Sorgen","1984","17-29","Baden-Württemberg","334","0.583980450078026","0.545941873430907","0.622019026725145"
"Grosse Sorgen","1984","17-29","Bayern","314","0.589800166735657","0.54895217790766","0.630648155563654"
"Grosse Sorgen","1984","17-29","Saarland","","","",""
"Grosse Sorgen","1984","17-29","Berlin","51","0.524218360243439","0.42483305473347","0.623603665753409"
"Grosse Sorgen","1984","17-29","Brandenburg","","","",""
"Grosse Sorgen","1984","17-29","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","17-29","Sachsen","","","",""
"Grosse Sorgen","1984","17-29","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","17-29","Thüringen","","","",""
"Grosse Sorgen","1984","30-45","Schleswig-Holstein","69","0.497766155892236","0.415528714706026","0.580003597078445"
"Grosse Sorgen","1984","30-45","Hamburg","75","0.666841218190786","0.582508845608808","0.751173590772764"
"Grosse Sorgen","1984","30-45","Niedersachsen","188","0.51818512285447","0.468338354031645","0.568031891677296"
"Grosse Sorgen","1984","30-45","Bremen","20","","",""
"Grosse Sorgen","1984","30-45","Nordrhein-Westfalen","561","0.584381984505312","0.554880335617711","0.613883633392914"
"Grosse Sorgen","1984","30-45","Hessen","164","0.513405279837565","0.462129116742068","0.564681442933062"
"Grosse Sorgen","1984","30-45","Rheinland-Pfalz,Saarland","90","0.478956899338457","0.410738814557554","0.547174984119361"
"Grosse Sorgen","1984","30-45","Baden-Württemberg","335","0.532475540307447","0.496429199559403","0.568521881055491"
"Grosse Sorgen","1984","30-45","Bayern","342","0.548657761069798","0.510693069481372","0.586622452658224"
"Grosse Sorgen","1984","30-45","Saarland","","","",""
"Grosse Sorgen","1984","30-45","Berlin","86","0.719559102623635","0.643782502369523","0.795335702877747"
"Grosse Sorgen","1984","30-45","Brandenburg","","","",""
"Grosse Sorgen","1984","30-45","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","30-45","Sachsen","","","",""
"Grosse Sorgen","1984","30-45","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","30-45","Thüringen","","","",""
"Grosse Sorgen","1984","46-65","Schleswig-Holstein","44","0.426568123449855","0.330587598701148","0.522548648198563"
"Grosse Sorgen","1984","46-65","Hamburg","43","0.631919432022323","0.521285343703242","0.742553520341403"
