year,sampreg,plh0036,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very concerned,0.52285,5970,11997,0.51391,0.53179
1984,West,Somewhat concerned,0.39641,4778,11997,0.38766,0.40517
1984,West,Not concerned at all,0.08073,1249,11997,0.07586,0.08561
1985,West,Very concerned,0.47070,4922,10870,0.46131,0.48008
1985,West,Somewhat concerned,0.45002,4884,10870,0.44066,0.45937
1985,West,Not concerned at all,0.07928,1064,10870,0.07420,0.08436
1986,West,Very concerned,0.43003,4367,10446,0.42054,0.43953
1986,West,Somewhat concerned,0.46669,4902,10446,0.45712,0.47626
1986,West,Not concerned at all,0.10328,1177,10446,0.09744,0.10911
1987,West,Very concerned,0.58262,5686,10331,0.57311,0.59213
1987,West,Somewhat concerned,0.36438,3901,10331,0.35510,0.37366
1987,West,Not concerned at all,0.05300,744,10331,0.04868,0.05732
1988,West,Very concerned,0.56200,5237,9865,0.55221,0.57179
1988,West,Somewhat concerned,0.38609,3946,9865,0.37648,0.39569
1988,West,Not concerned at all,0.05192,682,9865,0.04754,0.05629
1989,West,Very concerned,0.62667,5636,9567,0.61698,0.63637
1989,West,Somewhat concerned,0.32822,3317,9567,0.31881,0.33763
1989,West,Not concerned at all,0.04511,614,9567,0.04095,0.04927
1990,West,Very concerned,0.62294,5595,9378,0.61313,0.63275
1990,West,Somewhat concerned,0.32882,3218,9378,0.31932,0.33833
1990,West,Not concerned at all,0.04824,565,9378,0.04390,0.05257
1990,East,Very concerned,0.58226,2588,4408,0.56770,0.59682
1990,East,Somewhat concerned,0.38660,1701,4408,0.37222,0.40098
1990,East,Not concerned at all,0.03114,119,4408,0.02601,0.03627
1991,West,Very concerned,0.52182,4644,9388,0.51172,0.53193
1991,West,Somewhat concerned,0.42384,4081,9388,0.41384,0.43383
1991,West,Not concerned at all,0.05434,663,9388,0.04976,0.05893
1991,East,Very concerned,0.46063,1900,4116,0.44540,0.47586
1991,East,Somewhat concerned,0.50271,2079,4116,0.48743,0.51798
1991,East,Not concerned at all,0.03666,137,4116,0.03092,0.04240
1992,West,Very concerned,0.58280,5168,9270,0.57276,0.59284
1992,West,Somewhat concerned,0.37363,3597,9270,0.36378,0.38348
1992,West,Not concerned at all,0.04357,505,9270,0.03942,0.04773
