"plh0036","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","17-29","(noch) kein Abschluss","194","0.581749182321029","0.533165907219767","0.63033245742229"
"Grosse Sorgen","1984","17-29","Hauptschule","725","0.508407363868379","0.483575324663081","0.533239403073677"
"Grosse Sorgen","1984","17-29","Realschule","527","0.654195362982199","0.621420342841605","0.686970383122792"
"Grosse Sorgen","1984","17-29","(Fach-)Abitur","348","0.777440541139675","0.740189625298689","0.81469145698066"
"Grosse Sorgen","1984","17-29","AkademikerIn","93","0.7855709751642","0.714190287041782","0.856951663286618"
"Grosse Sorgen","1984","30-45","(noch) kein Abschluss","117","0.272817060498466","0.230815655251105","0.314818465745828"
"Grosse Sorgen","1984","30-45","Hauptschule","1077","0.505895669891969","0.485373632312731","0.526417707471207"
"Grosse Sorgen","1984","30-45","Realschule","319","0.616896205566733","0.575031553385934","0.658760857747531"
"Grosse Sorgen","1984","30-45","(Fach-)Abitur","129","0.695601126677272","0.633216639889683","0.757985613464862"
"Grosse Sorgen","1984","30-45","AkademikerIn","268","0.723288272873838","0.677948244843374","0.768628300904302"
"Grosse Sorgen","1984","46-65","(noch) kein Abschluss","109","0.295301515507895","0.25076358076502","0.33983945025077"
"Grosse Sorgen","1984","46-65","Hauptschule","1117","0.48264209787425","0.46251997928754","0.50276421646096"
"Grosse Sorgen","1984","46-65","Realschule","207","0.563456472231607","0.512506803810401","0.614406140652812"
"Grosse Sorgen","1984","46-65","(Fach-)Abitur","75","0.621028633910064","0.535982985725037","0.706074282095092"
"Grosse Sorgen","1984","46-65","AkademikerIn","132","0.620007603087862","0.555426689375132","0.684588516800592"
"Grosse Sorgen","1984","66","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1984","66","Hauptschule","","","",""
"Grosse Sorgen","1984","66","Realschule","","","",""
"Grosse Sorgen","1984","66","(Fach-)Abitur","","","",""
"Grosse Sorgen","1984","66","AkademikerIn","","","",""
"Einige Sorgen","1984","17-29","(noch) kein Abschluss","139","0.325824838215755","0.279663438807883","0.371986237623627"
"Einige Sorgen","1984","17-29","Hauptschule","668","0.41947340200308","0.394962061663795","0.443984742342365"
"Einige Sorgen","1984","17-29","Realschule","258","0.320476446968384","0.288319549124335","0.352633344812433"
"Einige Sorgen","1984","17-29","(Fach-)Abitur","104","0.189957169768404","0.154828462295245","0.225085877241563"
"Einige Sorgen","1984","17-29","AkademikerIn","29","","",""
"Einige Sorgen","1984","30-45","(noch) kein Abschluss","181","0.428461271375068","0.381796962733902","0.475125580016234"
"Einige Sorgen","1984","30-45","Hauptschule","975","0.421231622396015","0.400964431967747","0.441498812824284"
"Einige Sorgen","1984","30-45","Realschule","183","0.353618377781576","0.312447026138808","0.394789729424345"
"Einige Sorgen","1984","30-45","(Fach-)Abitur","66","0.273163066753441","0.212753679372183","0.333572454134699"
"Einige Sorgen","1984","30-45","AkademikerIn","96","0.252231549371043","0.208217070662974","0.296246028079113"
"Einige Sorgen","1984","46-65","(noch) kein Abschluss","184","0.441608100268378","0.393125752976376","0.49009044756038"
"Einige Sorgen","1984","46-65","Hauptschule","1034","0.440363848826547","0.420373320570262","0.460354377082832"
"Einige Sorgen","1984","46-65","Realschule","147","0.406203139848326","0.355750024768306","0.456656254928346"
"Einige Sorgen","1984","46-65","(Fach-)Abitur","47","0.374735813308766","0.289878854729602","0.459592771887929"
"Einige Sorgen","1984","46-65","AkademikerIn","73","0.330654789201611","0.268061076387719","0.393248502015503"
"Einige Sorgen","1984","66","(noch) kein Abschluss","","","",""
"Einige Sorgen","1984","66","Hauptschule","","","",""
"Einige Sorgen","1984","66","Realschule","","","",""
"Einige Sorgen","1984","66","(Fach-)Abitur","","","",""
"Einige Sorgen","1984","66","AkademikerIn","","","",""
"Keine Sorgen","1984","17-29","(noch) kein Abschluss","63","0.0924259794632165","0.063900131926948","0.120951826999485"
"Keine Sorgen","1984","17-29","Hauptschule","164","0.0721192341285409","0.059270053807016","0.0849684144500658"
"Keine Sorgen","1984","17-29","Realschule","24","","",""
"Keine Sorgen","1984","17-29","(Fach-)Abitur","27","","",""
"Keine Sorgen","1984","17-29","AkademikerIn","5","","",""
"Keine Sorgen","1984","30-45","(noch) kein Abschluss","134","0.298721668126466","0.25556133474312","0.341882001509811"
"Keine Sorgen","1984","30-45","Hauptschule","228","0.0728727077120158","0.062203484434487","0.0835419309895446"
"Keine Sorgen","1984","30-45","Realschule","16","","",""
"Keine Sorgen","1984","30-45","(Fach-)Abitur","14","","",""
"Keine Sorgen","1984","30-45","AkademikerIn","10","","",""
"Keine Sorgen","1984","46-65","(noch) kein Abschluss","110","0.263090384223727","0.220101599560772","0.306079168886681"
"Keine Sorgen","1984","46-65","Hauptschule","218","0.0769940532992025","0.066259192879453","0.0877289137189519"
"Keine Sorgen","1984","46-65","Realschule","10","","",""
"Keine Sorgen","1984","46-65","(Fach-)Abitur","3","","",""
"Keine Sorgen","1984","46-65","AkademikerIn","12","","",""
"Keine Sorgen","1984","66","(noch) kein Abschluss","","","",""
"Keine Sorgen","1984","66","Hauptschule","","","",""
"Keine Sorgen","1984","66","Realschule","","","",""
"Keine Sorgen","1984","66","(Fach-)Abitur","","","",""
"Keine Sorgen","1984","66","AkademikerIn","","","",""
"Grosse Sorgen","1985","17-29","(noch) kein Abschluss","164","0.579878354227091","0.527719883727443","0.632036824726738"
"Grosse Sorgen","1985","17-29","Hauptschule","580","0.464717989832595","0.438132429905175","0.491303549760015"
"Grosse Sorgen","1985","17-29","Realschule","478","0.615238245246709","0.58122450202659","0.649251988466828"
"Grosse Sorgen","1985","17-29","(Fach-)Abitur","300","0.742343675900306","0.70124513795804","0.783442213842571"
"Grosse Sorgen","1985","17-29","AkademikerIn","82","0.698293833374747","0.615825767878602","0.780761898870893"
"Grosse Sorgen","1985","30-45","(noch) kein Abschluss","96","0.265011240785642","0.218373085294109","0.311649396277175"
"Grosse Sorgen","1985","30-45","Hauptschule","856","0.444773062690752","0.423042917651696","0.466503207729808"
"Grosse Sorgen","1985","30-45","Realschule","274","0.557415486713512","0.513835665912212","0.600995307514813"
"Grosse Sorgen","1985","30-45","(Fach-)Abitur","108","0.599125015086688","0.529071106526629","0.669178923646748"
"Grosse Sorgen","1985","30-45","AkademikerIn","241","0.66391263187754","0.615117285927103","0.712707977827977"
"Grosse Sorgen","1985","46-65","(noch) kein Abschluss","94","0.276742292440745","0.229938738127858","0.323545846753633"
"Grosse Sorgen","1985","46-65","Hauptschule","895","0.423314613607911","0.402597775408582","0.444031451807241"
"Grosse Sorgen","1985","46-65","Realschule","173","0.493790622576643","0.441487087250461","0.546094157902826"
"Grosse Sorgen","1985","46-65","(Fach-)Abitur","56","0.471533595739769","0.37989874485888","0.563168446620659"
"Grosse Sorgen","1985","46-65","AkademikerIn","104","0.494370951073825","0.427385006671025","0.561356895476625"
"Grosse Sorgen","1985","66","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1985","66","Hauptschule","","","",""
"Grosse Sorgen","1985","66","Realschule","","","",""
"Grosse Sorgen","1985","66","(Fach-)Abitur","","","",""
"Grosse Sorgen","1985","66","AkademikerIn","","","",""
