"plh0036","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","1930","0.624343820254056","0.607268218051004","0.641419422457108"
"Grosse Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","552","0.445580512975008","0.419222960534368","0.471938065415648"
"Grosse Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","54","0.609991124448956","0.513911898194146","0.706070350703765"
"Grosse Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","2291","0.529069877748679","0.514129710619158","0.5440100448782"
"Grosse Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","655","0.398544161321621","0.376796867937818","0.420291454705423"
"Grosse Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","kein Migrationshintergrund","485","0.385620811189169","0.358386004960282","0.412855617418056"
"Grosse Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","1026","0.332487037287097","0.315876408901061","0.349097665673134"
"Einige Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","576","0.41861594009339","0.392454467738397","0.444777412448382"
"Einige Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","35","0.33827814309742","0.245080441394018","0.431475844800822"
"Einige Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","1757","0.412723747802405","0.397988017927834","0.427459477676976"
"Einige Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","840","0.430916169047961","0.408919869081786","0.452912469014135"
"Einige Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","kein Migrationshintergrund","554","0.451958984503606","0.424111764050692","0.47980620495652"
"Einige Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
