"plh0036","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1984","(Fach-)Abitur","235","","",""
"Einige Sorgen","1984","(noch) kein Abschluss","510","0.365458666785533","0.338752229056499","0.392165104514567"
"Einige Sorgen","1984","AkademikerIn","226","","",""
"Einige Sorgen","1984","Hauptschule","3110","0.434893366655486","0.423405742518992","0.44638099079198"
"Einige Sorgen","1984","Realschule","664","0.363285399157603","0.341469540647027","0.385101257668179"
"Grosse Sorgen","1984","(Fach-)Abitur","576","0.715455010268464","0.685299581942041","0.745610438594887"
"Grosse Sorgen","1984","(noch) kein Abschluss","424","0.456150241128862","0.428527911958074","0.48377257029965"
"Grosse Sorgen","1984","AkademikerIn","522","0.666497730991159","0.63343251924568","0.699562942736638"
"Grosse Sorgen","1984","Hauptschule","3280","0.469747106157459","0.458182064446396","0.481312147868522"
"Grosse Sorgen","1984","Realschule","1131","","",""
"Keine Sorgen","1984","(Fach-)Abitur","49","0.0354591520770042","0.0230990131901177","0.0478192909638907"
"Keine Sorgen","1984","(noch) kein Abschluss","315","0.178391092085605","0.157159330756078","0.199622853415133"
"Keine Sorgen","1984","AkademikerIn","33","0.0382439931079297","0.0247935484021579","0.0516944378137015"
"Keine Sorgen","1984","Hauptschule","764","0.0953595271870546","0.0885535000787876","0.102165554295322"
"Keine Sorgen","1984","Realschule","72","0.0424969076936436","0.0333468319436492","0.0516469834436381"
"Einige Sorgen","1985","(Fach-)Abitur","256","","",""
"Einige Sorgen","1985","(noch) kein Abschluss","470","0.402609778188651","0.373016500097963","0.432203056279339"
"Einige Sorgen","1985","AkademikerIn","276","","",""
"Einige Sorgen","1985","Hauptschule","3094","0.48947476346688","0.477182484053667","0.501767042880093"
"Einige Sorgen","1985","Realschule","737","0.41444288344671","0.391666171596861","0.437219595296559"
"Grosse Sorgen","1985","(Fach-)Abitur","486","0.657058753043544","0.623724454084206","0.690393052002881"
"Grosse Sorgen","1985","(noch) kein Abschluss","355","0.450073089656819","0.420052731403465","0.480093447910174"
"Grosse Sorgen","1985","AkademikerIn","451","0.592005182605415","0.556808862431227","0.627201502779604"
"Grosse Sorgen","1985","Hauptschule","2587","","",""
"Grosse Sorgen","1985","Realschule","985","0.541863569906791","0.518827072722627","0.564900067090954"
"Keine Sorgen","1985","(Fach-)Abitur","37","0.0267871240030768","0.0154488661523716","0.038125381853782"
"Keine Sorgen","1985","(noch) kein Abschluss","230","","",""
"Keine Sorgen","1985","AkademikerIn","22","","",""
"Keine Sorgen","1985","Hauptschule","672","0.0969857825637092","0.0897086548880016","0.104262910239417"
"Keine Sorgen","1985","Realschule","75","0.0436935466464998","0.0342424708791507","0.0531446224138489"
"Einige Sorgen","1986","(Fach-)Abitur","299","","",""
"Einige Sorgen","1986","(noch) kein Abschluss","481","0.435275784066728","0.404714403285639","0.465837164847818"
"Einige Sorgen","1986","AkademikerIn","321","0.438293396217287","0.402664104983353","0.473922687451222"
"Einige Sorgen","1986","Hauptschule","2983","","",""
"Einige Sorgen","1986","Realschule","759","0.439075265444479","0.415863529732405","0.462287001156554"
"Grosse Sorgen","1986","(Fach-)Abitur","454","0.581360511606985","0.547238613751972","0.615482409461999"
"Grosse Sorgen","1986","(noch) kein Abschluss","311","0.37778376368405","0.347897967695026","0.407669559673074"
"Grosse Sorgen","1986","AkademikerIn","395","0.522459376277479","0.486591853760871","0.558326898794086"
"Grosse Sorgen","1986","Hauptschule","2270","","",""
"Grosse Sorgen","1986","Realschule","882","0.487300661379476","0.463922211360468","0.510679111398485"
"Keine Sorgen","1986","(Fach-)Abitur","50","0.0517539205699823","0.0364316730513958","0.0670761680885688"
"Keine Sorgen","1986","(noch) kein Abschluss","219","","",""
"Keine Sorgen","1986","AkademikerIn","29","","",""
"Keine Sorgen","1986","Hauptschule","743","0.122415319213799","0.114119110289568","0.130711528138031"
"Keine Sorgen","1986","Realschule","115","","",""
"Einige Sorgen","1987","(Fach-)Abitur","203","","",""
"Einige Sorgen","1987","(noch) kein Abschluss","424","0.34906304926248","0.319340160209052","0.378785938315908"
"Einige Sorgen","1987","AkademikerIn","219","","",""
"Einige Sorgen","1987","Hauptschule","2443","","",""
"Einige Sorgen","1987","Realschule","558","0.327798549601105","0.305761541369678","0.349835557832531"
"Grosse Sorgen","1987","(Fach-)Abitur","530","0.721500239452654","0.689879640378271","0.753120838527037"
"Grosse Sorgen","1987","(noch) kein Abschluss","402","0.527429143749637","0.496298711713375","0.558559575785899"
"Grosse Sorgen","1987","AkademikerIn","510","0.683943638770457","0.65049036970721","0.717396907833704"
"Grosse Sorgen","1987","Hauptschule","3035","0.535669633592407","0.522984645861939","0.548354621322875"
"Grosse Sorgen","1987","Realschule","1135","","",""
